Dependency=Electric Vehicle Ownership	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Option=Level 1 charger	Option=Level 2 charger	Option=None	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Yes	400%+	Multi-Family with 2 - 4 Units	Owner	0.659052	0.340948	0	0	1	13627.7	24	102853
Yes	400%+	Multi-Family with 2 - 4 Units	Renter	0.571961	0.428039	0	0	1	6363.2	14	94477.6
Yes	Not Available	Multi-Family with 2 - 4 Units	Not Available	0.736454	0.263546	0	0	5	48474.3	39	190794
Yes	Not Available	Multi-Family with 2 - 4 Units	Owner	0	0	0	1	1	14620.5	26	120357
Yes	Not Available	Multi-Family with 2 - 4 Units	Renter	0	0	0	1	4	33853.8	14	76928.7
Yes	0-100%	Multi-Family with 5+ Units	Not Available	0	0	0	1	5	42429.6	15	95844.8
Yes	0-100%	Multi-Family with 5+ Units	Owner	0.901144	0.0988564	0	0	1	4497.31	13	43667.5
Yes	0-100%	Multi-Family with 5+ Units	Renter	0.911961	0.088039	0	0	4	37932.3	22	113212
Yes	100-150%	Multi-Family with 5+ Units	Not Available	0	0	0	1	2	11164.3	15	95844.8
Yes	100-150%	Multi-Family with 5+ Units	Owner	0.901144	0.0988564	0	0	1	7389.12	13	43667.5
Yes	100-150%	Multi-Family with 5+ Units	Renter	0.911961	0.088039	0	0	1	3775.18	22	113212
Yes	150-200%	Multi-Family with 5+ Units	Not Available	0	0	0	1	2	16691.5	15	95844.8
Yes	150-200%	Multi-Family with 5+ Units	Owner	0.901144	0.0988564	0	0	1	11387.9	13	43667.5
Yes	150-200%	Multi-Family with 5+ Units	Renter	0.911961	0.088039	0	0	1	5303.64	22	113212
Yes	200-300%	Multi-Family with 5+ Units	Not Available	0	0	0	1	3	9933.23	20	61034.6
Yes	200-300%	Multi-Family with 5+ Units	Owner	0.901144	0.0988564	0	0	1	2889.01	13	43667.5
Yes	200-300%	Multi-Family with 5+ Units	Renter	0.911961	0.088039	0	0	2	7044.22	22	113212
Yes	300-400%	Multi-Family with 5+ Units	Not Available	0	0	0	1	2	14229.7	20	61034.6
Yes	300-400%	Multi-Family with 5+ Units	Owner	0.901144	0.0988564	0	0	0	0	13	43667.5
Yes	300-400%	Multi-Family with 5+ Units	Renter	0.911961	0.088039	0	0	2	14229.7	22	113212
