Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=Double, Clear, Metal, Air	Option=Double, Clear, Metal, Air, Exterior Clear Storm	Option=Double, Clear, Non-metal, Air	Option=Double, Clear, Non-metal, Air, Exterior Clear Storm	Option=Double, Low-E, Non-metal, Air, M-Gain	Option=Single, Clear, Metal	Option=Single, Clear, Metal, Exterior Clear Storm	Option=Single, Clear, Non-metal	Option=Single, Clear, Non-metal, Exterior Clear Storm	Option=Triple, Low-E, Non-metal, Air, L-Gain	Option=Void	source_count	source_weight	fallback_count	fallback_weight
1A	100-150%	Mobile Home	Owner	1980-99	0.184895	0.00850981	0.0719493	0.00620197	0.0628025	0.477607	0.0219819	0.133386	0.00613912	0.0265271	0	0	0	167	1.08995e+06
1A	100-150%	Mobile Home	Renter	1980-99	0.121312	0.00558341	0.0190121	0.00150636	0.0137169	0.542929	0.0249884	0.247614	0.0113965	0.0119411	0	0	0	55	318582
1A	150-200%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	0	0	222	1.40853e+06
1A	150-200%	Mobile Home	Owner	1980-99	0.184895	0.00850981	0.0719493	0.00620197	0.0628025	0.477607	0.0219819	0.133386	0.00613912	0.0265271	0	0	0	167	1.08995e+06
1A	150-200%	Mobile Home	Renter	1980-99	0.121312	0.00558341	0.0190121	0.00150636	0.0137169	0.542929	0.0249884	0.247614	0.0113965	0.0119411	0	0	0	55	318582
1A	200-300%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	0	0	287	1.3032e+06
1A	200-300%	Mobile Home	Owner	1980-99	0.290107	0.0133522	0.108184	0.00888126	0.084781	0.372986	0.0171667	0.0859144	0.00395422	0.0146723	0	0	0	239	1.06132e+06
1A	200-300%	Mobile Home	Renter	1980-99	0.211035	0.00971293	0.112776	0.00875234	0.0773888	0.141234	0.0065003	0.318276	0.0146487	0.099676	0	0	0	48	241882
1A	300-400%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	0	0	287	1.3032e+06
1A	300-400%	Mobile Home	Owner	1980-99	0.290107	0.0133522	0.108184	0.00888126	0.084781	0.372986	0.0171667	0.0859144	0.00395422	0.0146723	0	0	0	239	1.06132e+06
1A	300-400%	Mobile Home	Renter	1980-99	0.211035	0.00971293	0.112776	0.00875234	0.0773888	0.141234	0.0065003	0.318276	0.0146487	0.099676	0	0	0	48	241882
1A	400%+	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	0	0	301	1.98636e+06
1A	400%+	Mobile Home	Owner	1980-99	0.332008	0.0152807	0.148515	0.011584	0.103173	0.245306	0.0112902	0.11008	0.00506645	0.0176971	0	0	0	278	1.83528e+06
1A	400%+	Mobile Home	Renter	1980-99	0.335488	0.0154409	0.1118	0.00853994	0.0737491	0.331836	0.0152728	0.103127	0.00474642	0	0	0	0	23	151071
1A	Not Available	Mobile Home	Not Available	1980-99	0.268009	0.0123351	0.109839	0.00879775	0.0813126	0.345649	0.0159085	0.12985	0.00597635	0.0223236	0	0	0	582	4.69809e+06
1A	Not Available	Mobile Home	Owner	1980-99	0	0	0	0	0	0	0	0	0	0	1	0	0	489	3.98655e+06
1A	Not Available	Mobile Home	Renter	1980-99	0	0	0	0	0	0	0	0	0	0	1	0	0	93	711535
1A	0-100%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	0	0	94	518696
1A	0-100%	Mobile Home	Owner	2000-09	0.327397	0.0150685	0.0551362	0.00634412	0.0827042	0.392634	0.018071	0.0885625	0.0040761	0.0100063	0	0	0	78	437919
1A	0-100%	Mobile Home	Renter	2000-09	0.263234	0.0121154	0.176953	0.0203606	0.265429	0.161585	0.00743695	0.0887999	0.00408702	0	0	0	0	16	80777.4
1A	100-150%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	0	0	94	518696
1A	100-150%	Mobile Home	Owner	2000-09	0.327397	0.0150685	0.0551362	0.00634412	0.0827042	0.392634	0.018071	0.0885625	0.0040761	0.0100063	0	0	0	78	437919
1A	100-150%	Mobile Home	Renter	2000-09	0.263234	0.0121154	0.176953	0.0203606	0.265429	0.161585	0.00743695	0.0887999	0.00408702	0	0	0	0	16	80777.4
1A	150-200%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	0	0	94	518696
1A	150-200%	Mobile Home	Owner	2000-09	0.327397	0.0150685	0.0551362	0.00634412	0.0827042	0.392634	0.018071	0.0885625	0.0040761	0.0100063	0	0	0	78	437919
1A	150-200%	Mobile Home	Renter	2000-09	0.263234	0.0121154	0.176953	0.0203606	0.265429	0.161585	0.00743695	0.0887999	0.00408702	0	0	0	0	16	80777.4
1A	200-300%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	0	0	202	838423
1A	200-300%	Mobile Home	Owner	2000-09	0.342986	0.015786	0.0923278	0.0106235	0.138492	0.281129	0.012939	0.0753137	0.00346632	0.026937	0	0	0	170	717628
1A	200-300%	Mobile Home	Renter	2000-09	0.352884	0.0162415	0.0694682	0.0079932	0.104202	0.3144	0.0144703	0.115045	0.00529497	0	0	0	0	32	120795
1A	300-400%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	0	0	202	838423
1A	300-400%	Mobile Home	Owner	2000-09	0.342986	0.015786	0.0923278	0.0106235	0.138492	0.281129	0.012939	0.0753137	0.00346632	0.026937	0	0	0	170	717628
1A	300-400%	Mobile Home	Renter	2000-09	0.352884	0.0162415	0.0694682	0.0079932	0.104202	0.3144	0.0144703	0.115045	0.00529497	0	0	0	0	32	120795
1A	400%+	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	0	0	231	1.36441e+06
1A	400%+	Mobile Home	Owner	2000-09	0.422621	0.0194512	0.118097	0.0135885	0.177145	0.16998	0.00782332	0.0549528	0.00252921	0.0138126	0	0	0	212	1.26592e+06
1A	400%+	Mobile Home	Renter	2000-09	0.287482	0.0132314	0.050706	0.00583438	0.0760591	0.347874	0.0160109	0.193879	0.00892331	0	0	0	0	19	98495.6
1A	Not Available	Mobile Home	Not Available	2000-09	0.373583	0.0171942	0.0983205	0.011313	0.147481	0.247714	0.0114011	0.0744295	0.00342563	0.0151379	0	0	0	385	2.72153e+06
1A	Not Available	Mobile Home	Owner	2000-09	0	0	0	0	0	0	0	0	0	0	1	0	0	340	2.42146e+06
1A	Not Available	Mobile Home	Renter	2000-09	0	0	0	0	0	0	0	0	0	0	1	0	0	45	300068
1A	0-100%	Mobile Home	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	0	0	62	370245
1A	0-100%	Mobile Home	Owner	2010s	0.344917	0.0158749	0	0.0132554	0.288003	0.193352	0.00889903	0.10176	0.0046835	0.0292556	0	0	0	49	300625
1A	0-100%	Mobile Home	Renter	2010s	0.536587	0.0246965	0	0.0093519	0.203191	0.185299	0.00852842	0.0309224	0.00142321	0	0	0	0	13	69620.2
1A	100-150%	Mobile Home	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	0	0	62	370245
1A	100-150%	Mobile Home	Owner	2010s	0.344917	0.0158749	0	0.0132554	0.288003	0.193352	0.00889903	0.10176	0.0046835	0.0292556	0	0	0	49	300625
1A	100-150%	Mobile Home	Renter	2010s	0.536587	0.0246965	0	0.0093519	0.203191	0.185299	0.00852842	0.0309224	0.00142321	0	0	0	0	13	69620.2
1A	150-200%	Mobile Home	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	0	0	62	370245
1A	150-200%	Mobile Home	Owner	2010s	0.344917	0.0158749	0	0.0132554	0.288003	0.193352	0.00889903	0.10176	0.0046835	0.0292556	0	0	0	49	300625
1A	150-200%	Mobile Home	Renter	2010s	0.536587	0.0246965	0	0.0093519	0.203191	0.185299	0.00852842	0.0309224	0.00142321	0	0	0	0	13	69620.2
1A	200-300%	Mobile Home	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	1	8522.39	119	531988
1A	200-300%	Mobile Home	Owner	2010s	0.401728	0.0184896	0	0.015624	0.339467	0.0788295	0.00362814	0.104454	0.00480752	0.0329718	0	1	8522.39	107	497572
1A	200-300%	Mobile Home	Renter	2010s	0.549843	0.0253066	0	0	0	0.0290626	0.00133761	0.377094	0.0173558	0	0	0	0	12	34416.4
1A	300-400%	Mobile Home	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	1	7883.45	119	531988
1A	300-400%	Mobile Home	Owner	2010s	0.401728	0.0184896	0	0.015624	0.339467	0.0788295	0.00362814	0.104454	0.00480752	0.0329718	0	1	7883.45	107	497572
1A	300-400%	Mobile Home	Renter	2010s	0.549843	0.0253066	0	0	0	0.0290626	0.00133761	0.377094	0.0173558	0	0	0	0	12	34416.4
1A	400%+	Mobile Home	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	0	0	154	955535
1A	400%+	Mobile Home	Owner	2010s	0.495993	0.0228281	0	0.014602	0.317261	0.0651006	0.00299626	0.0453543	0.00208743	0.033777	0	0	0	147	919966
1A	400%+	Mobile Home	Renter	2010s	0.466558	0.0214734	0	0.0107803	0.234227	0.138386	0.00636922	0.116829	0.00537709	0	0	0	0	24	139606
1A	Not Available	Mobile Home	Not Available	2010s	0.444087	0.0204391	0	0.0143706	0.312234	0.0950385	0.00437416	0.0756819	0.00348327	0.0302914	0	1	16405.8	250	1.85777e+06
1A	Not Available	Mobile Home	Owner	2010s	0	0	0	0	0	0	0	0	0	0	1	1	16405.8	226	1.71816e+06
1A	Not Available	Mobile Home	Renter	2010s	0	0	0	0	0	0	0	0	0	0	1	0	0	24	139606
1A	0-100%	Mobile Home	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	108	694155
1A	0-100%	Mobile Home	Owner	<1940	0.103839	0.00477922	0.0664103	0.00611308	0.0664103	0.243083	0.0111879	0.463004	0.0213098	0.0138627	0	0	0	70	420175
1A	0-100%	Mobile Home	Renter	<1940	0.117003	0.00538507	0.0506571	0.004663	0.0506571	0.186017	0.00856146	0.551666	0.0253905	0	0	0	0	38	273980
1A	100-150%	Mobile Home	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	108	694155
1A	100-150%	Mobile Home	Owner	<1940	0.103839	0.00477922	0.0664103	0.00611308	0.0664103	0.243083	0.0111879	0.463004	0.0213098	0.0138627	0	0	0	70	420175
1A	100-150%	Mobile Home	Renter	<1940	0.117003	0.00538507	0.0506571	0.004663	0.0506571	0.186017	0.00856146	0.551666	0.0253905	0	0	0	0	38	273980
1A	150-200%	Mobile Home	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	108	694155
1A	150-200%	Mobile Home	Owner	<1940	0.103839	0.00477922	0.0664103	0.00611308	0.0664103	0.243083	0.0111879	0.463004	0.0213098	0.0138627	0	0	0	70	420175
1A	150-200%	Mobile Home	Renter	<1940	0.117003	0.00538507	0.0506571	0.004663	0.0506571	0.186017	0.00856146	0.551666	0.0253905	0	0	0	0	38	273980
1A	200-300%	Mobile Home	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	94	563992
1A	200-300%	Mobile Home	Owner	<1940	0.191933	0.00883373	0.106777	0.00982888	0.106777	0.281364	0.0129498	0.269149	0.0123876	0	0	0	0	82	475814
1A	200-300%	Mobile Home	Renter	<1940	0	0	0.155331	0.0142983	0.155331	0.332534	0.0153049	0.312804	0.0143968	0	0	0	0	12	88177.6
1A	300-400%	Mobile Home	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	94	563992
1A	300-400%	Mobile Home	Owner	<1940	0.191933	0.00883373	0.106777	0.00982888	0.106777	0.281364	0.0129498	0.269149	0.0123876	0	0	0	0	82	475814
1A	300-400%	Mobile Home	Renter	<1940	0	0	0.155331	0.0142983	0.155331	0.332534	0.0153049	0.312804	0.0143968	0	0	0	0	12	88177.6
1A	400%+	Mobile Home	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	89	568504
1A	400%+	Mobile Home	Owner	<1940	0.242332	0.0111534	0.117812	0.0108446	0.117812	0.196146	0.00902762	0.210051	0.00966763	0.0751538	0	0	0	79	521868
1A	400%+	Mobile Home	Renter	<1940	0.160939	0.00740722	0.202809	0.0186686	0.202809	0.0513711	0.00236436	0.338072	0.0155598	0	0	0	0	10	46635.5
1A	Not Available	Mobile Home	Not Available	<1940	0.164773	0.00758369	0.0970226	0.00893095	0.0970226	0.230509	0.0106092	0.343098	0.0157911	0.02466	0	0	0	217	1.82665e+06
1A	Not Available	Mobile Home	Owner	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	169	1.41786e+06
1A	Not Available	Mobile Home	Renter	<1940	0	0	0	0	0	0	0	0	0	0	1	0	0	48	408794
1A	0-100%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	4	30847.4	18	134653
1A	0-100%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	2	14297.3	27	247382
1A	0-100%	Multi-Family with 2 - 4 Units	Renter	1940-59	0	0	0.0276644	0.00254651	0.0276644	0.659824	0.0303685	0.164911	0.00759003	0.0794317	0	2	16550.2	15	118388
1A	100-150%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	2	2058.1	18	134653
1A	100-150%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	1	1968.05	27	247382
1A	100-150%	Multi-Family with 2 - 4 Units	Renter	1940-59	0	0	0.0276644	0.00254651	0.0276644	0.659824	0.0303685	0.164911	0.00759003	0.0794317	0	1	90.0531	15	118388
1A	150-200%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	1	2152.42	18	134653
1A	150-200%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
1A	150-200%	Multi-Family with 2 - 4 Units	Renter	1940-59	0	0	0.0276644	0.00254651	0.0276644	0.659824	0.0303685	0.164911	0.00759003	0.0794317	0	1	2152.42	15	118388
1A	200-300%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	2	825.854	12	57178.9
1A	200-300%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
1A	200-300%	Multi-Family with 2 - 4 Units	Renter	1940-59	0.110595	0.00509015	0.0540804	0.00497811	0.0540804	0.444981	0.0204803	0.249582	0.011487	0.0446463	0	2	825.854	22	210628
1A	300-400%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	2	1926.7	12	57178.9
1A	300-400%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
1A	300-400%	Multi-Family with 2 - 4 Units	Renter	1940-59	0.110595	0.00509015	0.0540804	0.00497811	0.0540804	0.444981	0.0204803	0.249582	0.011487	0.0446463	0	2	1926.7	22	210628
1A	400%+	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	0	0	27	247382
1A	400%+	Multi-Family with 2 - 4 Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	0	0	27	247382
1A	400%+	Multi-Family with 2 - 4 Units	Renter	1940-59	0.110595	0.00509015	0.0540804	0.00497811	0.0540804	0.444981	0.0204803	0.249582	0.011487	0.0446463	0	0	0	22	210628
1A	Not Available	Multi-Family with 2 - 4 Units	Not Available	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	7	37810.5	27	247382
1A	Not Available	Multi-Family with 2 - 4 Units	Owner	1940-59	0	0	0	0	0	0	0	0	0	0	1	2	16265.3	27	247382
1A	Not Available	Multi-Family with 2 - 4 Units	Renter	1940-59	0	0	0	0	0	0	0	0	0	0	1	5	21545.2	22	210628
1A	0-100%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	3	18754.8	14	126988
1A	0-100%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.220411	0.0101444	0.0517838	0.00476671	0.0517838	0.418	0.0192385	0.0901507	0.00414919	0.129572	0	0	0	33	340583
1A	0-100%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.173912	0.0080043	0	0	0	0.760959	0.0350232	0.0211294	0.000972485	0	0	3	18754.8	13	108382
1A	100-150%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	0	0	16	44354.2
1A	100-150%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.220411	0.0101444	0.0517838	0.00476671	0.0517838	0.418	0.0192385	0.0901507	0.00414919	0.129572	0	0	0	33	340583
1A	100-150%	Multi-Family with 2 - 4 Units	Renter	1960-79	0	0	0.0360677	0.00332004	0.0360677	0.869458	0.0400169	0.0144063	0.000663053	0	0	0	0	13	28265.9
1A	150-200%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	0	0	11	40825.5
1A	150-200%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.220411	0.0101444	0.0517838	0.00476671	0.0517838	0.418	0.0192385	0.0901507	0.00414919	0.129572	0	0	0	33	340583
1A	150-200%	Multi-Family with 2 - 4 Units	Renter	1960-79	0	0	0.0360677	0.00332004	0.0360677	0.869458	0.0400169	0.0144063	0.000663053	0	0	0	0	13	28265.9
1A	200-300%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	0	0	20	161918
1A	200-300%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.179985	0.00828381	0	0	0	0.529648	0.0243771	0.166384	0.00765785	0.0836647	0	0	0	19	114198
1A	200-300%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.361622	0.0166437	0	0	0	0.400741	0.0184442	0.193637	0.00891216	0	0	0	0	11	113253
1A	300-400%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	1	2052.85	17	110064
1A	300-400%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.0350847	0.00161478	0	0	0	0.64221	0.0295578	0.139325	0.00641247	0.145795	0	1	2052.85	10	65532.7
1A	300-400%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.452054	0.0208058	0	0	0	0.36496	0.0167973	0.138986	0.00639687	0	0	0	0	18	157784
1A	400%+	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	0	0	22	98101.9
1A	400%+	Multi-Family with 2 - 4 Units	Owner	1960-79	0.361207	0.0166246	0	0	0	0.391424	0.0180154	0.0744915	0.00342848	0.134809	0	0	0	10	58089.2
1A	400%+	Multi-Family with 2 - 4 Units	Renter	1960-79	0.193912	0.00892484	0.0236432	0.00217636	0.0236432	0.655711	0.0301792	0.0590904	0.00271964	0	0	0	0	12	40012.7
1A	Not Available	Multi-Family with 2 - 4 Units	Not Available	1960-79	0.257599	0.011856	0.00363024	0.000334165	0.00363024	0.567505	0.0261195	0.0929386	0.00427751	0.0321101	0	4	20807.6	64	541427
1A	Not Available	Multi-Family with 2 - 4 Units	Owner	1960-79	0	0	0	0	0	0	0	0	0	0	1	1	2052.85	23	206982
