Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Has Zonal Electric Heating	Dependency=HVAC Heating Type	Dependency=Tenure	Option=55F	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F	source_count	source_weight	fallback_count	fallback_weight
1A	Mobile Home	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	922137
1A	Mobile Home	Yes	Non-Ducted Heat Pump	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	0	0	75	699024
1A	Mobile Home	Yes	Non-Ducted Heat Pump	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	0	0	25	223114
1A	Mobile Home	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	922137
1A	Mobile Home	Yes	Non-Ducted Heating	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	0	0	75	699024
1A	Mobile Home	Yes	Non-Ducted Heating	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	0	0	25	223114
1A	Mobile Home	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Mobile Home	Yes	None	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	0	0	0	0
1A	Mobile Home	Yes	None	Renter	0	0.00516521	0.00403177	0.0189362	0.00790273	0.0327679	0.14425	0.152036	0.368718	0.118103	0.137705	0.0103855	0	0	0	0
1A	Multi-Family with 2 - 4 Units	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	1	14291.4	19	279137
1A	Multi-Family with 2 - 4 Units	No	Ducted Heat Pump	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	0	0	28	414852
1A	Multi-Family with 2 - 4 Units	No	Ducted Heat Pump	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	1	14291.4	10	119947
1A	Multi-Family with 2 - 4 Units	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	2	16373.1	19	279137
1A	Multi-Family with 2 - 4 Units	No	Ducted Heating	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	1	14256.7	28	414852
1A	Multi-Family with 2 - 4 Units	No	Ducted Heating	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	1	2116.42	10	119947
1A	Multi-Family with 2 - 4 Units	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	1	11853.7	19	279137
1A	Multi-Family with 2 - 4 Units	No	Non-Ducted Heat Pump	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	0	0	28	414852
1A	Multi-Family with 2 - 4 Units	No	Non-Ducted Heat Pump	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	1	11853.7	10	119947
1A	Multi-Family with 2 - 4 Units	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	279137
1A	Multi-Family with 2 - 4 Units	No	Non-Ducted Heating	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	0	0	28	414852
1A	Multi-Family with 2 - 4 Units	No	Non-Ducted Heating	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	0	0	10	119947
1A	Multi-Family with 2 - 4 Units	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Multi-Family with 2 - 4 Units	No	None	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	0	0	0	0
1A	Multi-Family with 2 - 4 Units	No	None	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	0	0	0	0
1A	Multi-Family with 2 - 4 Units	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	38	492015
1A	Multi-Family with 2 - 4 Units	Yes	Ducted Heat Pump	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	0	0	79	750726
1A	Multi-Family with 2 - 4 Units	Yes	Ducted Heat Pump	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	0	0	34	440312
1A	Multi-Family with 2 - 4 Units	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	38	492015
1A	Multi-Family with 2 - 4 Units	Yes	Ducted Heating	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	0	0	79	750726
1A	Multi-Family with 2 - 4 Units	Yes	Ducted Heating	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	0	0	34	440312
1A	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	38	492015
1A	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heat Pump	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	0	0	79	750726
1A	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heat Pump	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	0	0	34	440312
1A	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	38	492015
1A	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heating	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	0	0	79	750726
1A	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heating	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	0	0	34	440312
1A	Multi-Family with 2 - 4 Units	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Multi-Family with 2 - 4 Units	Yes	None	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	0	0	0	0
1A	Multi-Family with 2 - 4 Units	Yes	None	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	0	0	0	0
1A	Multi-Family with 5+ Units	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	4	71008.9	15	236618
1A	Multi-Family with 5+ Units	No	Ducted Heat Pump	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	2	37260.6	28	414852
1A	Multi-Family with 5+ Units	No	Ducted Heat Pump	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	2	33748.3	10	119947
1A	Multi-Family with 5+ Units	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	10	148224	11	165610
1A	Multi-Family with 5+ Units	No	Ducted Heating	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	5	90287.6	28	414852
1A	Multi-Family with 5+ Units	No	Ducted Heating	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	5	57936.7	10	119947
1A	Multi-Family with 5+ Units	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	236618
1A	Multi-Family with 5+ Units	No	Non-Ducted Heat Pump	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	0	0	28	414852
1A	Multi-Family with 5+ Units	No	Non-Ducted Heat Pump	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	0	0	10	119947
1A	Multi-Family with 5+ Units	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	1	17385.3	11	165610
1A	Multi-Family with 5+ Units	No	Non-Ducted Heating	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	1	17385.3	28	414852
1A	Multi-Family with 5+ Units	No	Non-Ducted Heating	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	0	0	10	119947
1A	Multi-Family with 5+ Units	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Multi-Family with 5+ Units	No	None	Owner	0	0.00853245	0.00141568	0.0340465	0	0.0457097	0.172384	0.155479	0.304526	0.187779	0.0877699	0.00235723	0	0	0	0
1A	Multi-Family with 5+ Units	No	None	Renter	0	0	0	0.00809997	0	0.0301065	0.123305	0.134248	0.410495	0.128105	0.157542	0.00809997	0	0	0	0
1A	Multi-Family with 5+ Units	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	38	492015
1A	Multi-Family with 5+ Units	Yes	Ducted Heat Pump	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	0	0	79	750726
1A	Multi-Family with 5+ Units	Yes	Ducted Heat Pump	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	0	0	34	440312
1A	Multi-Family with 5+ Units	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	38	492015
1A	Multi-Family with 5+ Units	Yes	Ducted Heating	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	0	0	79	750726
1A	Multi-Family with 5+ Units	Yes	Ducted Heating	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	0	0	34	440312
1A	Multi-Family with 5+ Units	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	38	492015
1A	Multi-Family with 5+ Units	Yes	Non-Ducted Heat Pump	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	0	0	79	750726
1A	Multi-Family with 5+ Units	Yes	Non-Ducted Heat Pump	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	0	0	34	440312
1A	Multi-Family with 5+ Units	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	3	43333.8	38	492015
1A	Multi-Family with 5+ Units	Yes	Non-Ducted Heating	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	1	18781.4	79	750726
1A	Multi-Family with 5+ Units	Yes	Non-Ducted Heating	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	2	24552.4	34	440312
1A	Multi-Family with 5+ Units	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Multi-Family with 5+ Units	Yes	None	Owner	0	0.00853245	0.00141568	0.0340465	0	0.0457097	0.172384	0.155479	0.304526	0.187779	0.0877699	0.00235723	0	0	0	0
1A	Multi-Family with 5+ Units	Yes	None	Renter	0	0	0	0.00809997	0	0.0301065	0.123305	0.134248	0.410495	0.128105	0.157542	0.00809997	0	0	0	0
1A	Single-Family Attached	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	2	12042.8	37	370809
1A	Single-Family Attached	No	Ducted Heat Pump	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	1	11057.3	30	337098
1A	Single-Family Attached	No	Ducted Heat Pump	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	1	985.532	141	1.27588e+06
1A	Single-Family Attached	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	6	38625.5	37	370809
1A	Single-Family Attached	No	Ducted Heating	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	4	36114	30	337098
1A	Single-Family Attached	No	Ducted Heating	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	2	2511.52	141	1.27588e+06
1A	Single-Family Attached	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	37	370809
1A	Single-Family Attached	No	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	0	0	30	337098
1A	Single-Family Attached	No	Non-Ducted Heat Pump	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	0	0	141	1.27588e+06
1A	Single-Family Attached	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	37	370809
1A	Single-Family Attached	No	Non-Ducted Heating	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	0	0	30	337098
1A	Single-Family Attached	No	Non-Ducted Heating	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	0	0	141	1.27588e+06
1A	Single-Family Attached	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Single-Family Attached	No	None	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	0	0	0	0
1A	Single-Family Attached	No	None	Renter	0	0.0291158	0.0174751	0.0640368	0.0371206	0.0654014	0.230489	0.281847	0.129284	0.0664514	0.0508382	0.0279415	0	0	0	0
1A	Single-Family Attached	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	922137
1A	Single-Family Attached	Yes	Ducted Heat Pump	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	0	0	75	699024
1A	Single-Family Attached	Yes	Ducted Heat Pump	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	0	0	25	223114
1A	Single-Family Attached	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	922137
1A	Single-Family Attached	Yes	Ducted Heating	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	0	0	75	699024
1A	Single-Family Attached	Yes	Ducted Heating	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	0	0	25	223114
1A	Single-Family Attached	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	922137
1A	Single-Family Attached	Yes	Non-Ducted Heat Pump	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	0	0	75	699024
1A	Single-Family Attached	Yes	Non-Ducted Heat Pump	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	0	0	25	223114
1A	Single-Family Attached	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	1	1275.11	100	922137
1A	Single-Family Attached	Yes	Non-Ducted Heating	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	0	0	75	699024
1A	Single-Family Attached	Yes	Non-Ducted Heating	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	1	1275.11	25	223114
1A	Single-Family Attached	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Single-Family Attached	Yes	None	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	0	0	0	0
1A	Single-Family Attached	Yes	None	Renter	0	0.0291158	0.0174751	0.0640368	0.0371206	0.0654014	0.230489	0.281847	0.129284	0.0664514	0.0508382	0.0279415	0	0	0	0
1A	Single-Family Detached	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	9	104820	28	303734
1A	Single-Family Detached	No	Ducted Heat Pump	Owner	0	0	0	0	0	0.0565712	0.10473	0.160143	0.517966	0.085366	0.0752245	0	7	78111.8	24	273521
1A	Single-Family Detached	No	Ducted Heat Pump	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	2	26707.8	141	1.27588e+06
1A	Single-Family Detached	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	13	166164	19	198915
1A	Single-Family Detached	No	Ducted Heating	Owner	0	0	0	0	0	0.0791847	0.146594	0.146981	0.508712	0.0622265	0.0563026	0	13	166164	17	195409
1A	Single-Family Detached	No	Ducted Heating	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	0	0	141	1.27588e+06
1A	Single-Family Detached	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	28	303734
1A	Single-Family Detached	No	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0.0565712	0.10473	0.160143	0.517966	0.085366	0.0752245	0	0	0	24	273521
1A	Single-Family Detached	No	Non-Ducted Heat Pump	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	0	0	141	1.27588e+06
1A	Single-Family Detached	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	6	32750.4	19	198915
1A	Single-Family Detached	No	Non-Ducted Heating	Owner	0	0	0	0	0	0.0791847	0.146594	0.146981	0.508712	0.0622265	0.0563026	0	4	29244.6	17	195409
1A	Single-Family Detached	No	Non-Ducted Heating	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	2	3505.72	141	1.27588e+06
1A	Single-Family Detached	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Single-Family Detached	No	None	Owner	0	0.0106193	0.00176192	0.00380914	0	0.0803886	0.145543	0.147708	0.482275	0.065086	0.0598764	0.00293375	0	0	0	0
1A	Single-Family Detached	No	None	Renter	0	0.0249316	0.0202444	0.0683313	0.0392534	0.0665325	0.247662	0.231995	0.153626	0.0708798	0.0512926	0.0252524	0	0	0	0
1A	Single-Family Detached	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	922137
1A	Single-Family Detached	Yes	Ducted Heat Pump	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	0	0	75	699024
1A	Single-Family Detached	Yes	Ducted Heat Pump	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	0	0	25	223114
1A	Single-Family Detached	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	922137
1A	Single-Family Detached	Yes	Ducted Heating	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	0	0	75	699024
1A	Single-Family Detached	Yes	Ducted Heating	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	0	0	25	223114
1A	Single-Family Detached	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	922137
1A	Single-Family Detached	Yes	Non-Ducted Heat Pump	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	0	0	75	699024
1A	Single-Family Detached	Yes	Non-Ducted Heat Pump	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	0	0	25	223114
1A	Single-Family Detached	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	6	43702.4	100	922137
1A	Single-Family Detached	Yes	Non-Ducted Heating	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	5	41938.7	75	699024
1A	Single-Family Detached	Yes	Non-Ducted Heating	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	1	1763.65	25	223114
1A	Single-Family Detached	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Single-Family Detached	Yes	None	Owner	0	0.0106193	0.00176192	0.00380914	0	0.0803886	0.145543	0.147708	0.482275	0.065086	0.0598764	0.00293375	0	0	0	0
1A	Single-Family Detached	Yes	None	Renter	0	0.0249316	0.0202444	0.0683313	0.0392534	0.0665325	0.247662	0.231995	0.153626	0.0708798	0.0512926	0.0252524	0	0	0	0
2A	Mobile Home	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	32	401036	33	413798
2A	Mobile Home	No	Ducted Heat Pump	Owner	0	0.0343954	0.0256688	0.109504	0.0840134	0.112565	0.213339	0.0921578	0.2371	0.0912571	0	0	26	311682	27	324444
2A	Mobile Home	No	Ducted Heat Pump	Renter	0	0	0	0	0	0	0.623946	0.0997088	0.115606	0.112106	0.0486331	0	6	89354.1	11	137456
2A	Mobile Home	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	43	450701	45	473930
2A	Mobile Home	No	Ducted Heating	Owner	0	0	0	0.0699816	0.0281736	0.208442	0.274398	0.189989	0.188868	0	0.0401477	0	38	402598	40	425828
2A	Mobile Home	No	Ducted Heating	Renter	0	0	0	0	0	0	0.623946	0.0997088	0.115606	0.112106	0.0486331	0	5	48102.2	11	137456
2A	Mobile Home	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	1	12762	33	413798
2A	Mobile Home	No	Non-Ducted Heat Pump	Owner	0	0.0343954	0.0256688	0.109504	0.0840134	0.112565	0.213339	0.0921578	0.2371	0.0912571	0	0	1	12762	27	324444
2A	Mobile Home	No	Non-Ducted Heat Pump	Renter	0	0	0	0	0	0	0.623946	0.0997088	0.115606	0.112106	0.0486331	0	0	0	11	137456
2A	Mobile Home	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	2	23229.8	45	473930
2A	Mobile Home	No	Non-Ducted Heating	Owner	0	0	0	0.0699816	0.0281736	0.208442	0.274398	0.189989	0.188868	0	0.0401477	0	2	23229.8	40	425828
