Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Option=No	Option=Yes	source_count	source_weight	fallback_count	fallback_weight
3C	Single-Family Attached	0.768904	0.231096	41	269108	41	269108
3C	Single-Family Detached	0.690556	0.309444	173	1.75936e+06	173	1.75936e+06
4A	Mobile Home	0.759501	0.240499	203	1.37532e+06	203	1.37532e+06
4A	Multi-Family with 2 - 4 Units	0.639176	0.360824	251	2.26119e+06	251	2.26119e+06
4A	Multi-Family with 5+ Units	0.685324	0.314676	689	5.8288e+06	689	5.8288e+06
4A	Single-Family Attached	0.655791	0.344209	506	2.292e+06	506	2.292e+06
4A	Single-Family Detached	0.660122	0.339878	2446	1.46622e+07	2446	1.46622e+07
4B	Mobile Home	0.501721	0.498279	14	96740.1	14	96740.1
4B	Multi-Family with 2 - 4 Units	0.752654	0.247346	8	67248.5	15	108330
4B	Multi-Family with 5+ Units	0.752654	0.247346	7	41081.2	15	108330
4B	Single-Family Attached	0.558192	0.441808	5	14907	128	758937
4B	Single-Family Detached	0.570031	0.429969	109	647290	109	647290
4C	Mobile Home	0.557074	0.442926	46	294769	46	294769
4C	Multi-Family with 2 - 4 Units	0.844604	0.155396	22	200029	22	200029
4C	Multi-Family with 5+ Units	0.822806	0.177194	107	872037	107	872037
4C	Single-Family Attached	0.685448	0.314552	34	129254	34	129254
4C	Single-Family Detached	0.700422	0.299578	424	2.37968e+06	424	2.37968e+06
5A	Mobile Home	0.760682	0.239318	103	760087	103	760087
5A	Multi-Family with 2 - 4 Units	0.665733	0.334267	269	2.86681e+06	269	2.86681e+06
5A	Multi-Family with 5+ Units	0.62963	0.37037	487	4.51491e+06	487	4.51491e+06
5A	Single-Family Attached	0.649945	0.350055	396	1.70335e+06	396	1.70335e+06
5A	Single-Family Detached	0.669189	0.330811	2759	1.80826e+07	2759	1.80826e+07
5B	Mobile Home	0.763298	0.236702	65	292306	65	292306
5B	Multi-Family with 2 - 4 Units	0.732895	0.267105	27	219659	27	219659
5B	Multi-Family with 5+ Units	0.613067	0.386933	107	851962	107	851962
5B	Single-Family Attached	0.669003	0.330997	74	273674	74	273674
5B	Single-Family Detached	0.574897	0.425103	714	3.37875e+06	714	3.37875e+06
6A	Mobile Home	0.778113	0.221887	83	320803	83	320803
6A	Multi-Family with 2 - 4 Units	0.869133	0.130867	91	526323	91	526323
6A	Multi-Family with 5+ Units	0.765478	0.234522	173	1.10354e+06	173	1.10354e+06
6A	Single-Family Attached	0.687817	0.312183	129	332277	129	332277
6A	Single-Family Detached	0.697273	0.302727	1178	5.11621e+06	1178	5.11621e+06
6B	Mobile Home	0.622232	0.377768	42	87424	42	87424
6B	Multi-Family with 2 - 4 Units	0.743232	0.256768	15	67448.4	15	67448.4
6B	Multi-Family with 5+ Units	0.773702	0.226298	31	107813	31	107813
6B	Single-Family Attached	0.4896	0.5104	34	55944.5	34	55944.5
6B	Single-Family Detached	0.710201	0.289799	327	660199	327	660199
7A	Mobile Home	0.465673	0.534327	13	31642.3	13	31642.3
7A	Multi-Family with 2 - 4 Units	0.805507	0.194493	14	60444.5	14	60444.5
7A	Multi-Family with 5+ Units	0.70508	0.29492	57	133239	57	133239
7A	Single-Family Attached	0.752365	0.247635	30	30055.9	30	30055.9
7A	Single-Family Detached	0.744048	0.255952	194	572218	194	572218
7AK	Mobile Home	1	0	11	10561.5	11	10561.5
7AK	Multi-Family with 2 - 4 Units	0.949208	0.0507922	22	23577.6	22	23577.6
7AK	Multi-Family with 5+ Units	1	0	27	30038.2	27	30038.2
7AK	Single-Family Attached	1	0	41	22213.9	41	22213.9
7AK	Single-Family Detached	0.972837	0.0271634	156	123396	156	123396
7B	Mobile Home	1	0	0	0	7	28228.9
7B	Multi-Family with 2 - 4 Units	1	0	1	9139.16	7	28228.9
7B	Multi-Family with 5+ Units	1	0	0	0	7	28228.9
7B	Single-Family Attached	1	0	2	1849.6	7	28228.9
7B	Single-Family Detached	1	0	4	17240.1	7	28228.9
8AK	Mobile Home	0.983976	0.0160243	1	944.437	50	43051.8
8AK	Multi-Family with 2 - 4 Units	0.985447	0.0145526	2	2167.75	54	47405.5
8AK	Multi-Family with 5+ Units	0.985447	0.0145526	2	2185.89	54	47405.5
8AK	Single-Family Attached	1	0	10	6375.09	10	6375.09
8AK	Single-Family Detached	0.980693	0.0193067	39	35732.3	39	35732.3
# Created by: sources\recs\recs2020\tsv_maker.py
# Description: Presence of a cooling setpoint offset.
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: For dependency conditions with low samples, the following lumpings are used in progressive order until there are enough samples: 1) lumping buildings into Single-Family and Multi-Family only,  2) lumping all building types together and lumping climate zones within A/B regions and separately 7AK and 8AK
