Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	Option=Solar Thermal	Option=Wood	source_count	source_weight	fallback_count	fallback_weight
Single-Family Detached	Electricity	ID	0.939024	0	0.0266829	0	0.034293	0	0	29	69468.7	29	69468.7
Mobile Home	Electricity	IL	0.842201	0	0.114792	0.0233671	0.0196403	0	0	3	37417.9	33	264328
Multi-Family with 2 - 4 Units	Electricity	IL	0.861246	0	0.138754	0	0	0	0	7	113318	45	546982
Multi-Family with 5+ Units	Electricity	IL	0.945634	0	0.054366	0	0	0	0	38	433664	38	433664
Single-Family Attached	Electricity	IL	0.81618	0	0.133721	0.0272203	0.022879	0	0	4	16547.6	30	226910
Single-Family Detached	Electricity	IL	0.823269	0	0.122691	0.0293615	0.0246787	0	0	26	210363	26	210363
Mobile Home	Electricity	IN	0.847205	0	0.106801	0	0.0250899	0.0209042	0	4	27658.7	76	428012
Multi-Family with 2 - 4 Units	Electricity	IN	0.766645	0.0481426	0.185213	0	0	0	0	8	102229	23	249912
Multi-Family with 5+ Units	Electricity	IN	0.766507	0.0814677	0.152025	0	0	0	0	15	147683	15	147683
Single-Family Attached	Electricity	IN	0.836649	0	0.114179	0	0.0268233	0.0223483	0	8	28071.1	72	400354
Single-Family Detached	Electricity	IN	0.824332	0	0.122789	0	0.0288458	0.0240335	0	64	372283	64	372283
Mobile Home	Electricity	KS	0.783236	0	0	0	0.216764	0	0	1	8048.63	15	72449.7
Multi-Family with 2 - 4 Units	Electricity	KS	0.956727	0	0.043273	0	0	0	0	7	50563.3	20	161397
Multi-Family with 5+ Units	Electricity	KS	0.936985	0	0.0630146	0	0	0	0	13	110833	13	110833
Single-Family Attached	Electricity	KS	0.756146	0	0	0	0.243854	0	0	2	5994.73	14	64401
Single-Family Detached	Electricity	KS	0.731117	0	0	0	0.268883	0	0	12	58406.3	12	58406.3
Mobile Home	Electricity	KY	1	0	0	0	0	0	0	28	109729	28	109729
Multi-Family with 2 - 4 Units	Electricity	KY	1	0	0	0	0	0	0	14	70907.4	14	70907.4
Multi-Family with 5+ Units	Electricity	KY	1	0	0	0	0	0	0	22	127002	22	127002
Single-Family Attached	Electricity	KY	0.859058	0	0.140942	0	0	0	0	20	35495	20	35495
Single-Family Detached	Electricity	KY	0.945667	0	0.0329073	0	0.0214256	0	0	123	501816	123	501816
Mobile Home	Electricity	LA	1	0	0	0	0	0	0	34	208526	34	208526
Multi-Family with 2 - 4 Units	Electricity	LA	0.898039	0	0.0694747	0	0.0324859	0	0	9	52466.4	33	259532
Multi-Family with 5+ Units	Electricity	LA	0.872205	0	0.0870783	0	0.0407172	0	0	24	207065	24	207065
Single-Family Attached	Electricity	LA	0.794437	0	0.152773	0	0.0527907	0	0	9	21785.3	117	595748
Single-Family Detached	Electricity	LA	0.786634	0	0.158571	0	0.0547944	0	0	108	573962	108	573962
Mobile Home	Electricity	MA	0.823764	0.0435707	0.0293541	0	0.0796034	0.0237081	0	2	8770.72	30	106743
Multi-Family with 2 - 4 Units	Electricity	MA	0.781257	0	0.176393	0.020262	0.0220874	0	0	9	71950.1	54	362554
Multi-Family with 5+ Units	Electricity	MA	0.819185	0	0.155536	0.0252787	0	0	0	45	290604	45	290604
Single-Family Attached	Electricity	MA	0.784704	0	0.119102	0	0	0.0961938	0	10	26307.9	10	26307.9
Single-Family Detached	Electricity	MA	0.816534	0.0648981	0	0	0.118568	0	0	18	71663.9	18	71663.9
Mobile Home	Electricity	MD	0.914068	0.00679445	0.0277456	0	0.0513921	0	0	1	10164.5	98	546958
Multi-Family with 2 - 4 Units	Electricity	MD	0.892934	0	0.0484996	0	0.0251686	0.033398	0	7	45706.4	44	398545
Multi-Family with 5+ Units	Electricity	MD	0.879065	0	0.0547822	0	0.0284289	0.0377244	0	37	352839	37	352839
Single-Family Attached	Electricity	MD	0.892318	0.0293202	0.0315366	0	0.046825	0	0	26	126748	26	126748
Single-Family Detached	Electricity	MD	0.918661	0	0.0272615	0	0.0540778	0	0	71	410045	71	410045
Mobile Home	Electricity	ME	0.830923	0.0542253	0.0220469	0	0.0819257	0.0108787	0	0	0	81	232624
Multi-Family with 2 - 4 Units	Electricity	ME	0.893751	0	0	0	0	0.106249	0	1	4953.49	10	36630.1
Multi-Family with 5+ Units	Electricity	ME	0.893751	0	0	0	0	0.106249	0	9	31676.6	10	36630.1
Single-Family Attached	Electricity	ME	0.830923	0.0542253	0.0220469	0	0.0819257	0.0108787	0	1	1431.82	81	232624
Single-Family Detached	Electricity	ME	0.830923	0.0542253	0.0220469	0	0.0819257	0.0108787	0	8	18430.1	81	232624
Mobile Home	Electricity	MI	0.888373	0	0.0733985	0.00438677	0.0274875	0.00635457	0	0	0	175	1.408e+06
Multi-Family with 2 - 4 Units	Electricity	MI	0.845487	0	0.154513	0	0	0	0	5	78163.8	20	287127
