Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Option=EF 12, National Average	Option=None	Option=Void	source_count	source_weight	fallback_count	fallback_weight
200-300%	Mobile Home	AZ	Owner	0.622619	0.377381	0	10	32627.2	10	32627.2
200-300%	Mobile Home	AZ	Renter	0.261135	0.738865	0	1	7757.03	34	110225
300-400%	Mobile Home	AZ	Not Available	0	0	1	6	21249.3	11	38500.5
300-400%	Mobile Home	AZ	Owner	0.384956	0.615044	0	6	21249.3	11	38500.5
300-400%	Mobile Home	AZ	Renter	0.110085	0.889915	0	0	0	22	54547.2
400%+	Mobile Home	AZ	Not Available	0	0	1	6	23489.5	13	52385.8
400%+	Mobile Home	AZ	Owner	0.236934	0.763066	0	6	23489.5	13	52385.8
400%+	Mobile Home	AZ	Renter	0.305342	0.694658	0	0	0	43	140092
Not Available	Mobile Home	AZ	Not Available	0.321513	0.678487	0	38	240123	38	240123
Not Available	Mobile Home	AZ	Owner	0	0	1	30	187306	30	187306
Not Available	Mobile Home	AZ	Renter	0	0	1	8	52817.3	13	77840.5
0-100%	Mobile Home	CA	Not Available	0	0	1	10	109556	10	109556
0-100%	Mobile Home	CA	Owner	0.276929	0.723071	0	8	81878	19	149490
0-100%	Mobile Home	CA	Renter	0.155853	0.844147	0	2	27678.4	52	429370
100-150%	Mobile Home	CA	Not Available	0	0	1	11	95330.1	11	95330.1
100-150%	Mobile Home	CA	Owner	0.31283	0.68717	0	9	80407	16	111593
100-150%	Mobile Home	CA	Renter	0.197633	0.802367	0	2	14923.1	40	274965
150-200%	Mobile Home	CA	Not Available	0	0	1	9	45070.3	19	90327
150-200%	Mobile Home	CA	Owner	0.303732	0.696268	0	5	29492.9	15	74749.6
150-200%	Mobile Home	CA	Renter	0.294779	0.705221	0	4	15577.4	39	213207
200-300%	Mobile Home	CA	Not Available	0	0	1	12	110247	12	110247
200-300%	Mobile Home	CA	Owner	0.250678	0.749322	0	10	88112.3	10	88112.3
200-300%	Mobile Home	CA	Renter	0.176117	0.823883	0	2	22134.2	65	370562
300-400%	Mobile Home	CA	Not Available	0	0	1	5	26600.7	14	57488.5
300-400%	Mobile Home	CA	Owner	0.499185	0.500815	0	5	26600.7	14	57488.5
300-400%	Mobile Home	CA	Renter	0.240559	0.759441	0	0	0	45	216734
400%+	Mobile Home	CA	Not Available	0	0	1	8	71805.8	18	122081
400%+	Mobile Home	CA	Owner	0.550877	0.449123	0	8	71805.8	18	122081
400%+	Mobile Home	CA	Renter	0.150073	0.849927	0	0	0	95	689014
Not Available	Mobile Home	CA	Not Available	0.24903	0.75097	0	38	458610	38	458610
Not Available	Mobile Home	CA	Owner	0	0	1	32	378297	32	378297
Not Available	Mobile Home	CA	Renter	0	0	1	6	80313.2	243	2.19385e+06
0-100%	Mobile Home	CO	Not Available	0	0	1	5	22892.1	27	66715.9
0-100%	Mobile Home	CO	Owner	0.305056	0.694944	0	4	17549.3	17	44303.3
0-100%	Mobile Home	CO	Renter	0.165999	0.834001	0	1	5342.83	10	22412.6
100-150%	Mobile Home	CO	Not Available	0	0	1	5	22231.2	24	42724.6
100-150%	Mobile Home	CO	Owner	0.38262	0.61738	0	5	22231.2	23	42107.8
100-150%	Mobile Home	CO	Renter	0.450077	0.549923	0	0	0	26	66431.4
150-200%	Mobile Home	CO	Not Available	0	0	1	4	20771.9	19	38522.7
150-200%	Mobile Home	CO	Owner	0.630869	0.369131	0	2	9657.95	14	22435.2
150-200%	Mobile Home	CO	Renter	0.27831	0.72169	0	2	11114	24	53412
200-300%	Mobile Home	CO	Not Available	0	0	1	8	22405.3	23	42195
200-300%	Mobile Home	CO	Owner	0.407047	0.592953	0	5	15424.6	16	34442.5
200-300%	Mobile Home	CO	Renter	0.169105	0.830895	0	3	6980.69	42	86389
300-400%	Mobile Home	CO	Not Available	0	0	1	2	11693.2	16	29863
300-400%	Mobile Home	CO	Owner	0.894737	0.105263	0	2	11693.2	14	27350.9
300-400%	Mobile Home	CO	Renter	0.431251	0.568749	0	0	0	35	73023.5
400%+	Mobile Home	CO	Not Available	0	0	1	2	5697.68	16	22134.8
400%+	Mobile Home	CO	Owner	0.885267	0.114733	0	2	5697.68	15	21258.9
400%+	Mobile Home	CO	Renter	0.279563	0.720437	0	0	0	45	121209
Not Available	Mobile Home	CO	Not Available	0.371695	0.628305	0	18	105691	18	105691
Not Available	Mobile Home	CO	Owner	0	0	1	14	82253.9	14	82253.9
Not Available	Mobile Home	CO	Renter	0	0	1	4	23437.5	19	50257.3
0-100%	Mobile Home	CT	Not Available	0	0	1	0	0	15	27075.9
0-100%	Mobile Home	CT	Owner	0.423726	0.576274	0	0	0	13	24630.9
0-100%	Mobile Home	CT	Renter	0.0688197	0.93118	0	0	0	15	35527.6
100-150%	Mobile Home	CT	Not Available	0	0	1	1	5587.79	17	31820.4
100-150%	Mobile Home	CT	Owner	0.187626	0.812374	0	1	5587.79	13	27257.1
100-150%	Mobile Home	CT	Renter	0.148754	0.851246	0	0	0	25	33369
150-200%	Mobile Home	CT	Not Available	0	0	1	0	0	12	17906.7
150-200%	Mobile Home	CT	Owner	0.432556	0.567444	0	0	0	94	179913
150-200%	Mobile Home	CT	Renter	0.00121918	0.998781	0	0	0	16	19747.5
200-300%	Mobile Home	CT	Not Available	0	0	1	2	11061.5	15	37066.2
200-300%	Mobile Home	CT	Owner	0.361426	0.638574	0	2	11061.5	255	414936
200-300%	Mobile Home	CT	Renter	0.395136	0.604864	0	0	0	28	52159.5
300-400%	Mobile Home	CT	Not Available	0	0	1	0	0	295	473030
300-400%	Mobile Home	CT	Owner	0.359655	0.640345	0	0	0	282	450521
300-400%	Mobile Home	CT	Renter	0.303473	0.696527	0	0	0	13	22508.9
400%+	Mobile Home	CT	Not Available	0	0	1	0	0	11	16144.1
400%+	Mobile Home	CT	Owner	0.150494	0.849506	0	0	0	10	15059.2
400%+	Mobile Home	CT	Renter	0.222342	0.777658	0	0	0	40	101577
Not Available	Mobile Home	CT	Not Available	0.283153	0.716847	0	3	16649.3	55	140099
Not Available	Mobile Home	CT	Owner	0	0	1	3	16649.3	41	111205
Not Available	Mobile Home	CT	Renter	0	0	1	0	0	14	28893.9
0-100%	Mobile Home	DC	Not Available	0	0	1	0	0	80	692873
0-100%	Mobile Home	DC	Owner	0.356456	0.643544	0	0	0	52	434596
0-100%	Mobile Home	DC	Renter	0.250664	0.749336	0	0	0	28	258276
100-150%	Mobile Home	DC	Not Available	0	0	1	0	0	62	367607
100-150%	Mobile Home	DC	Owner	0.547952	0.452048	0	0	0	48	286836
100-150%	Mobile Home	DC	Renter	0.000436062	0.999564	0	0	0	14	80770.3
150-200%	Mobile Home	DC	Not Available	0	0	1	0	0	44	222404
150-200%	Mobile Home	DC	Owner	0.439985	0.560015	0	0	0	38	183414
150-200%	Mobile Home	DC	Renter	0.269148	0.730852	0	0	0	64	326722
200-300%	Mobile Home	DC	Not Available	0	0	1	0	0	60	322067
200-300%	Mobile Home	DC	Owner	0.290485	0.709515	0	0	0	51	250733
200-300%	Mobile Home	DC	Renter	0.253058	0.746942	0	0	0	102	519377
300-400%	Mobile Home	DC	Not Available	0	0	1	0	0	29	234384
300-400%	Mobile Home	DC	Owner	0.380153	0.619847	0	0	0	23	203916
300-400%	Mobile Home	DC	Renter	0.239126	0.760874	0	0	0	73	331462
400%+	Mobile Home	DC	Not Available	0	0	1	0	0	29	160303
400%+	Mobile Home	DC	Owner	0.620211	0.379789	0	0	0	22	123510
400%+	Mobile Home	DC	Renter	0.29219	0.70781	0	0	0	124	680512
Not Available	Mobile Home	DC	Not Available	0.354209	0.645791	0	0	0	215	1.99964e+06
Not Available	Mobile Home	DC	Owner	0	0	1	0	0	161	1.48301e+06
Not Available	Mobile Home	DC	Renter	0	0	1	0	0	54	516632
0-100%	Mobile Home	DE	Not Available	0	0	1	5	10912.9	80	692873
0-100%	Mobile Home	DE	Owner	0.356456	0.643544	0	3	4348.32	52	434596
0-100%	Mobile Home	DE	Renter	0.250664	0.749336	0	2	6564.55	28	258276
100-150%	Mobile Home	DE	Not Available	0	0	1	2	3976.72	62	367607
100-150%	Mobile Home	DE	Owner	0.547952	0.452048	0	2	3976.72	48	286836
100-150%	Mobile Home	DE	Renter	0.000436062	0.999564	0	0	0	14	80770.3
150-200%	Mobile Home	DE	Not Available	0	0	1	2	5266.76	44	222404
150-200%	Mobile Home	DE	Owner	0.439985	0.560015	0	2	5266.76	38	183414
150-200%	Mobile Home	DE	Renter	0.269148	0.730852	0	0	0	64	326722
200-300%	Mobile Home	DE	Not Available	0	0	1	4	5783.04	60	322067
200-300%	Mobile Home	DE	Owner	0.290485	0.709515	0	3	3635.27	51	250733
200-300%	Mobile Home	DE	Renter	0.253058	0.746942	0	1	2147.77	102	519377
300-400%	Mobile Home	DE	Not Available	0	0	1	4	3982.89	29	234384
300-400%	Mobile Home	DE	Owner	0.380153	0.619847	0	2	2937.79	23	203916
300-400%	Mobile Home	DE	Renter	0.239126	0.760874	0	2	1045.1	73	331462
400%+	Mobile Home	DE	Not Available	0	0	1	4	9782.05	29	160303
400%+	Mobile Home	DE	Owner	0.620211	0.379789	0	3	7048.01	22	123510
400%+	Mobile Home	DE	Renter	0.29219	0.70781	0	1	2734.05	124	680512
Not Available	Mobile Home	DE	Not Available	0.410431	0.589569	0	13	39704.3	13	39704.3
Not Available	Mobile Home	DE	Owner	0	0	1	9	27212.9	161	1.48301e+06
Not Available	Mobile Home	DE	Renter	0	0	1	4	12491.5	54	516632
0-100%	Mobile Home	FL	Not Available	0	0	1	13	151982	13	151982
0-100%	Mobile Home	FL	Owner	0.356456	0.643544	0	9	91460.7	52	434596
0-100%	Mobile Home	FL	Renter	0.250664	0.749336	0	4	60521.2	28	258276
100-150%	Mobile Home	FL	Not Available	0	0	1	12	136925	12	136925
100-150%	Mobile Home	FL	Owner	0.547952	0.452048	0	9	94398.2	48	286836
100-150%	Mobile Home	FL	Renter	0.000436062	0.999564	0	3	42526.4	14	80770.3
150-200%	Mobile Home	FL	Not Available	0	0	1	3	29590.6	44	222404
150-200%	Mobile Home	FL	Owner	0.439985	0.560015	0	3	29590.6	38	183414
150-200%	Mobile Home	FL	Renter	0.269148	0.730852	0	0	0	64	326722
200-300%	Mobile Home	FL	Not Available	0	0	1	14	110119	14	110119
200-300%	Mobile Home	FL	Owner	0.136627	0.863373	0	11	74122.9	11	74122.9
200-300%	Mobile Home	FL	Renter	0.253058	0.746942	0	3	35995.9	102	519377
300-400%	Mobile Home	FL	Not Available	0	0	1	11	128474	11	128474
300-400%	Mobile Home	FL	Owner	0.339114	0.660886	0	10	121888	10	121888
300-400%	Mobile Home	FL	Renter	0.239126	0.760874	0	1	6585.93	73	331462
400%+	Mobile Home	FL	Not Available	0	0	1	7	30992.6	29	160303
400%+	Mobile Home	FL	Owner	0.620211	0.379789	0	7	30992.6	22	123510
400%+	Mobile Home	FL	Renter	0.29219	0.70781	0	0	0	124	680512
Not Available	Mobile Home	FL	Not Available	0.260131	0.739869	0	40	588082	40	588082
Not Available	Mobile Home	FL	Owner	0	0	1	31	442453	31	442453
Not Available	Mobile Home	FL	Renter	0	0	1	9	145629	54	516632
0-100%	Mobile Home	GA	Not Available	0	0	1	13	147083	13	147083
0-100%	Mobile Home	GA	Owner	0.356456	0.643544	0	8	90048.6	52	434596
0-100%	Mobile Home	GA	Renter	0.250664	0.749336	0	5	57034	28	258276
100-150%	Mobile Home	GA	Not Available	0	0	1	7	45567.6	62	367607
100-150%	Mobile Home	GA	Owner	0.547952	0.452048	0	5	36914	48	286836
100-150%	Mobile Home	GA	Renter	0.000436062	0.999564	0	2	8653.59	14	80770.3
150-200%	Mobile Home	GA	Not Available	0	0	1	7	53324.4	44	222404
150-200%	Mobile Home	GA	Owner	0.439985	0.560015	0	6	41693.6	38	183414
150-200%	Mobile Home	GA	Renter	0.269148	0.730852	0	1	11630.8	64	326722
200-300%	Mobile Home	GA	Not Available	0	0	1	2	14414.5	60	322067
200-300%	Mobile Home	GA	Owner	0.290485	0.709515	0	2	14414.5	51	250733
200-300%	Mobile Home	GA	Renter	0.253058	0.746942	0	0	0	102	519377
300-400%	Mobile Home	GA	Not Available	0	0	1	3	28572.5	29	234384
300-400%	Mobile Home	GA	Owner	0.380153	0.619847	0	2	17328.5	23	203916
300-400%	Mobile Home	GA	Renter	0.239126	0.760874	0	1	11244	73	331462
400%+	Mobile Home	GA	Not Available	0	0	1	4	23867.5	29	160303
400%+	Mobile Home	GA	Owner	0.620211	0.379789	0	2	10818.7	22	123510
400%+	Mobile Home	GA	Renter	0.29219	0.70781	0	2	13048.9	124	680512
Not Available	Mobile Home	GA	Not Available	0.489899	0.510101	0	26	312829	26	312829
Not Available	Mobile Home	GA	Owner	0	0	1	18	211218	18	211218
Not Available	Mobile Home	GA	Renter	0	0	1	8	101611	54	516632
0-100%	Mobile Home	HI	Not Available	0	0	1	0	0	16	21947.9
0-100%	Mobile Home	HI	Owner	0.263337	0.736663	0	0	0	10	13114.9
0-100%	Mobile Home	HI	Renter	0.259707	0.740293	0	0	0	19	17956
100-150%	Mobile Home	HI	Not Available	0	0	1	0	0	22	17704.5
100-150%	Mobile Home	HI	Owner	0.690638	0.309362	0	0	0	15	12627.2
100-150%	Mobile Home	HI	Renter	0.407862	0.592138	0	0	0	13	9123.06
150-200%	Mobile Home	HI	Not Available	0	0	1	0	0	23	18437.9
150-200%	Mobile Home	HI	Owner	0.391295	0.608705	0	0	0	17	14392.2
150-200%	Mobile Home	HI	Renter	0.407862	0.592138	0	0	0	13	9123.06
200-300%	Mobile Home	HI	Not Available	0	0	1	0	0	59	55107.2
200-300%	Mobile Home	HI	Owner	0.50494	0.49506	0	0	0	44	41970.1
200-300%	Mobile Home	HI	Renter	0.321244	0.678756	0	0	0	15	13137.1
300-400%	Mobile Home	HI	Not Available	0	0	1	0	0	67	53088.6
300-400%	Mobile Home	HI	Owner	0.436659	0.563341	0	0	0	53	42637.7
300-400%	Mobile Home	HI	Renter	0.509484	0.490516	0	0	0	14	10450.9
400%+	Mobile Home	HI	Not Available	0	0	1	0	0	103	143924
400%+	Mobile Home	HI	Owner	0.352597	0.647403	0	0	0	82	114951
400%+	Mobile Home	HI	Renter	0.377453	0.622547	0	0	0	21	28972.7
Not Available	Mobile Home	HI	Not Available	0.397447	0.602553	0	0	0	206	310210
Not Available	Mobile Home	HI	Owner	0	0	1	0	0	158	239693
Not Available	Mobile Home	HI	Renter	0	0	1	0	0	48	70516.7
0-100%	Mobile Home	IA	Not Available	0	0	1	4	21738.8	27	136916
0-100%	Mobile Home	IA	Owner	0.510318	0.489682	0	4	21738.8	21	97626.2
0-100%	Mobile Home	IA	Renter	0.183776	0.816224	0	0	0	39	214186
100-150%	Mobile Home	IA	Not Available	0	0	1	4	10784.1	24	75048.4
100-150%	Mobile Home	IA	Owner	0.513175	0.486825	0	3	4545.99	19	64797.7
100-150%	Mobile Home	IA	Renter	0.548762	0.451238	0	1	6238.11	36	94079.5
150-200%	Mobile Home	IA	Not Available	0	0	1	1	1860.85	10	25547
150-200%	Mobile Home	IA	Owner	0.665744	0.334256	0	0	0	154	445824
150-200%	Mobile Home	IA	Renter	0.424833	0.575167	0	1	1860.85	39	95242.9
200-300%	Mobile Home	IA	Not Available	0	0	1	3	15379.4	18	71679.5
200-300%	Mobile Home	IA	Owner	0.869844	0.130156	0	3	15379.4	14	55902.7
200-300%	Mobile Home	IA	Renter	0.612731	0.387269	0	0	0	51	158461
300-400%	Mobile Home	IA	Not Available	0	0	1	1	2384.46	377	1.01343e+06
300-400%	Mobile Home	IA	Owner	0.670587	0.329413	0	1	2384.46	345	939314
300-400%	Mobile Home	IA	Renter	0.476399	0.523601	0	0	0	32	74117.6
400%+	Mobile Home	IA	Not Available	0	0	1	1	1960.3	10	21991.1
400%+	Mobile Home	IA	Owner	0.956246	0.0437541	0	1	1960.3	10	21991.1
400%+	Mobile Home	IA	Renter	0.353907	0.646093	0	0	0	55	174172
Not Available	Mobile Home	IA	Not Available	0.432404	0.567596	0	10	54107.9	10	54107.9
Not Available	Mobile Home	IA	Owner	0	0	1	9	46008.9	55	272686
Not Available	Mobile Home	IA	Renter	0	0	1	1	8098.96	13	76050.8
0-100%	Mobile Home	ID	Not Available	0	0	1	10	21830.7	10	21830.7
0-100%	Mobile Home	ID	Owner	0.305056	0.694944	0	8	16268.5	17	44303.3
0-100%	Mobile Home	ID	Renter	0.165999	0.834001	0	2	5562.12	10	22412.6
100-150%	Mobile Home	ID	Not Available	0	0	1	8	9081.29	24	42724.6
100-150%	Mobile Home	ID	Owner	0.38262	0.61738	0	8	9081.29	23	42107.8
100-150%	Mobile Home	ID	Renter	0.450077	0.549923	0	0	0	26	66431.4
150-200%	Mobile Home	ID	Not Available	0	0	1	3	4435.44	19	38522.7
150-200%	Mobile Home	ID	Owner	0.630869	0.369131	0	3	4435.44	14	22435.2
150-200%	Mobile Home	ID	Renter	0.27831	0.72169	0	0	0	24	53412
200-300%	Mobile Home	ID	Not Available	0	0	1	2	2450.64	23	42195
200-300%	Mobile Home	ID	Owner	0.407047	0.592953	0	2	2450.64	16	34442.5
200-300%	Mobile Home	ID	Renter	0.169105	0.830895	0	0	0	42	86389
300-400%	Mobile Home	ID	Not Available	0	0	1	4	4821.3	16	29863
300-400%	Mobile Home	ID	Owner	0.894737	0.105263	0	4	4821.3	14	27350.9
300-400%	Mobile Home	ID	Renter	0.431251	0.568749	0	0	0	35	73023.5
400%+	Mobile Home	ID	Not Available	0	0	1	4	5024.12	16	22134.8
400%+	Mobile Home	ID	Owner	0.885267	0.114733	0	4	5024.12	15	21258.9
400%+	Mobile Home	ID	Renter	0.279563	0.720437	0	0	0	45	121209
Not Available	Mobile Home	ID	Not Available	0.536749	0.463251	0	21	47643.4	21	47643.4
Not Available	Mobile Home	ID	Owner	0	0	1	19	42081.3	19	42081.3
Not Available	Mobile Home	ID	Renter	0	0	1	2	5562.12	19	50257.3
0-100%	Mobile Home	IL	Not Available	0	0	1	1	8803.83	17	162769
0-100%	Mobile Home	IL	Owner	0.778658	0.221342	0	0	0	12	114444
0-100%	Mobile Home	IL	Renter	0.426833	0.573167	0	1	8803.83	62	488411
100-150%	Mobile Home	IL	Not Available	0	0	1	2	28788	20	144687
100-150%	Mobile Home	IL	Owner	0.226614	0.773386	0	2	28788	18	143635
100-150%	Mobile Home	IL	Renter	0.381605	0.618395	0	0	0	41	211629
150-200%	Mobile Home	IL	Not Available	0	0	1	0	0	10	80947.8
150-200%	Mobile Home	IL	Owner	0.492491	0.507509	0	0	0	170	989666
150-200%	Mobile Home	IL	Renter	0.181983	0.818017	0	0	0	36	154042
200-300%	Mobile Home	IL	Not Available	0	0	1	4	32155.7	22	93441.3
200-300%	Mobile Home	IL	Owner	0.288812	0.711188	0	4	32155.7	22	93441.3
200-300%	Mobile Home	IL	Renter	0.370572	0.629428	0	0	0	53	277518
300-400%	Mobile Home	IL	Not Available	0	0	1	3	12629.5	10	66711.1
300-400%	Mobile Home	IL	Owner	0.519971	0.480029	0	2	7995.89	368	1.86129e+06
300-400%	Mobile Home	IL	Renter	0.295082	0.704918	0	1	4633.6	32	148572
400%+	Mobile Home	IL	Not Available	0	0	1	2	12646.2	899	6.34421e+06
400%+	Mobile Home	IL	Owner	0.494192	0.505808	0	1	8664.33	856	6.08922e+06
400%+	Mobile Home	IL	Renter	0.400628	0.599372	0	1	3981.85	43	254993
Not Available	Mobile Home	IL	Not Available	0.412021	0.587979	0	9	95023.2	63	625075
Not Available	Mobile Home	IL	Owner	0	0	1	7	77603.9	54	541948
Not Available	Mobile Home	IL	Renter	0	0	1	2	17419.3	195	1.53517e+06
0-100%	Mobile Home	IN	Not Available	0	0	1	4	19994.3	17	162769
0-100%	Mobile Home	IN	Owner	0.778658	0.221342	0	4	19994.3	12	114444
0-100%	Mobile Home	IN	Renter	0.426833	0.573167	0	0	0	62	488411
100-150%	Mobile Home	IN	Not Available	0	0	1	5	18753	20	144687
100-150%	Mobile Home	IN	Owner	0.226614	0.773386	0	4	18232.8	18	143635
100-150%	Mobile Home	IN	Renter	0.381605	0.618395	0	1	520.218	41	211629
150-200%	Mobile Home	IN	Not Available	0	0	1	4	11985.9	10	80947.8
150-200%	Mobile Home	IN	Owner	0.492491	0.507509	0	3	7038.06	170	989666
150-200%	Mobile Home	IN	Renter	0.181983	0.818017	0	1	4947.83	36	154042
200-300%	Mobile Home	IN	Not Available	0	0	1	5	26749.5	22	93441.3
200-300%	Mobile Home	IN	Owner	0.288812	0.711188	0	5	26749.5	22	93441.3
200-300%	Mobile Home	IN	Renter	0.370572	0.629428	0	0	0	53	277518
300-400%	Mobile Home	IN	Not Available	0	0	1	0	0	10	66711.1
300-400%	Mobile Home	IN	Owner	0.519971	0.480029	0	0	0	368	1.86129e+06
300-400%	Mobile Home	IN	Renter	0.295082	0.704918	0	0	0	32	148572
400%+	Mobile Home	IN	Not Available	0	0	1	0	0	899	6.34421e+06
400%+	Mobile Home	IN	Owner	0.494192	0.505808	0	0	0	856	6.08922e+06
400%+	Mobile Home	IN	Renter	0.400628	0.599372	0	0	0	43	254993
Not Available	Mobile Home	IN	Not Available	0.572997	0.427003	0	12	77482.7	12	77482.7
Not Available	Mobile Home	IN	Owner	0	0	1	11	72014.7	11	72014.7
Not Available	Mobile Home	IN	Renter	0	0	1	1	5468.05	195	1.53517e+06
0-100%	Mobile Home	KS	Not Available	0	0	1	1	8048.63	27	136916
