Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=Has Pool	Option=None	Option=Void	source_count	source_weight	fallback_count	fallback_weight
300-400%	Mobile Home	AK	Owner	1980s	0	1	0	0	0	26	9246.63
300-400%	Mobile Home	AK	Renter	1980s	0	1	0	0	0	40	146065
400%+	Mobile Home	AK	Not Available	1980s	0	0	1	0	0	30	20710.5
400%+	Mobile Home	AK	Owner	1980s	0	1	0	0	0	26	18173.9
400%+	Mobile Home	AK	Renter	1980s	0	1	0	0	0	33	169220
Not Available	Mobile Home	AK	Not Available	1980s	0	1	0	1	1281.42	63	47576.5
Not Available	Mobile Home	AK	Owner	1980s	0	0	1	1	1281.42	54	41867.8
Not Available	Mobile Home	AK	Renter	1980s	0	0	1	0	0	14	10135.9
0-100%	Mobile Home	AK	Not Available	1990s	0	0	1	0	0	16	9881.48
0-100%	Mobile Home	AK	Owner	1990s	0	1	0	0	0	13	6588.57
0-100%	Mobile Home	AK	Renter	1990s	0.0905589	0.909441	0	0	0	48	235229
100-150%	Mobile Home	AK	Not Available	1990s	0	0	1	0	0	10	6437.58
100-150%	Mobile Home	AK	Owner	1990s	0	1	0	0	0	13	6588.57
100-150%	Mobile Home	AK	Renter	1990s	0.0905589	0.909441	0	0	0	48	235229
150-200%	Mobile Home	AK	Not Available	1990s	0	0	1	0	0	10	6437.58
150-200%	Mobile Home	AK	Owner	1990s	0	1	0	0	0	13	6588.57
150-200%	Mobile Home	AK	Renter	1990s	0.0905589	0.909441	0	0	0	48	235229
200-300%	Mobile Home	AK	Not Available	1990s	0	0	1	0	0	51	17019.7
200-300%	Mobile Home	AK	Owner	1990s	0	1	0	0	0	45	14560.5
200-300%	Mobile Home	AK	Renter	1990s	0	1	0	0	0	40	146065
300-400%	Mobile Home	AK	Not Available	1990s	0	0	1	0	0	51	17019.7
300-400%	Mobile Home	AK	Owner	1990s	0	1	0	0	0	45	14560.5
300-400%	Mobile Home	AK	Renter	1990s	0	1	0	0	0	40	146065
400%+	Mobile Home	AK	Not Available	1990s	0	0	1	0	0	16	12548.5
400%+	Mobile Home	AK	Owner	1990s	0	1	0	0	0	15	12068.7
400%+	Mobile Home	AK	Renter	1990s	0	1	0	0	0	33	169220
Not Available	Mobile Home	AK	Not Available	1990s	0	1	0	0	0	29	24831
Not Available	Mobile Home	AK	Owner	1990s	0	0	1	0	0	24	20403.8
Not Available	Mobile Home	AK	Renter	1990s	0	0	1	0	0	14	10135.9
0-100%	Mobile Home	AK	Not Available	2000s	0	0	1	0	0	21	10447.8
0-100%	Mobile Home	AK	Owner	2000s	0	1	0	0	0	16	9613.3
0-100%	Mobile Home	AK	Renter	2000s	0	1	0	0	0	12	4667.88
100-150%	Mobile Home	AK	Not Available	2000s	0	0	1	0	0	14	5828.31
100-150%	Mobile Home	AK	Owner	2000s	0	1	0	0	0	16	9613.3
100-150%	Mobile Home	AK	Renter	2000s	0	1	0	0	0	12	4667.88
150-200%	Mobile Home	AK	Not Available	2000s	0	0	1	0	0	14	5828.31
150-200%	Mobile Home	AK	Owner	2000s	0	1	0	0	0	16	9613.3
150-200%	Mobile Home	AK	Renter	2000s	0	1	0	0	0	12	4667.88
200-300%	Mobile Home	AK	Not Available	2000s	0	0	1	0	0	14	3951.85
200-300%	Mobile Home	AK	Owner	2000s	0	1	0	0	0	10	2638.54
200-300%	Mobile Home	AK	Renter	2000s	0	1	0	0	0	13	5233.56
300-400%	Mobile Home	AK	Not Available	2000s	0	0	1	0	0	21	7509.21
300-400%	Mobile Home	AK	Owner	2000s	0	1	0	0	0	19	6461.47
300-400%	Mobile Home	AK	Renter	2000s	0	1	0	0	0	13	5233.56
400%+	Mobile Home	AK	Not Available	2000s	0	0	1	0	0	24	16373.4
400%+	Mobile Home	AK	Owner	2000s	0	1	0	0	0	22	14601.5
400%+	Mobile Home	AK	Renter	2000s	0	1	0	0	0	25	125471
Not Available	Mobile Home	AK	Not Available	2000s	0	1	0	0	0	53	38282.2
Not Available	Mobile Home	AK	Owner	2000s	0	0	1	0	0	41	29481.4
Not Available	Mobile Home	AK	Renter	2000s	0	0	1	0	0	12	8800.83
0-100%	Mobile Home	AK	Not Available	2010s	0	0	1	1	944.437	13	6766.48
0-100%	Mobile Home	AK	Owner	2010s	0	1	0	1	944.437	16	9613.3
0-100%	Mobile Home	AK	Renter	2010s	0	1	0	0	0	18	7600.93
100-150%	Mobile Home	AK	Not Available	2010s	0	0	1	1	327.922	13	6766.48
100-150%	Mobile Home	AK	Owner	2010s	0	1	0	0	0	16	9613.3
100-150%	Mobile Home	AK	Renter	2010s	0	1	0	1	327.922	18	7600.93
150-200%	Mobile Home	AK	Not Available	2010s	0	0	1	1	639.206	13	6766.48
150-200%	Mobile Home	AK	Owner	2010s	0	1	0	0	0	16	9613.3
150-200%	Mobile Home	AK	Renter	2010s	0	1	0	1	639.206	18	7600.93
200-300%	Mobile Home	AK	Not Available	2010s	0	0	1	0	0	14	5240.22
200-300%	Mobile Home	AK	Owner	2010s	0	1	0	0	0	36	11467.7
200-300%	Mobile Home	AK	Renter	2010s	0	1	0	0	0	13	5233.56
300-400%	Mobile Home	AK	Not Available	2010s	0	0	1	0	0	14	5240.22
300-400%	Mobile Home	AK	Owner	2010s	0	1	0	0	0	36	11467.7
300-400%	Mobile Home	AK	Renter	2010s	0	1	0	0	0	13	5233.56
400%+	Mobile Home	AK	Not Available	2010s	0	0	1	0	0	33	22070.5
400%+	Mobile Home	AK	Owner	2010s	0	1	0	0	0	29	19199.5
400%+	Mobile Home	AK	Renter	2010s	0	1	0	0	0	25	125471
Not Available	Mobile Home	AK	Not Available	2010s	0	1	0	2	1911.57	26	17703.8
Not Available	Mobile Home	AK	Owner	2010s	0	0	1	1	944.437	16	10799.2
Not Available	Mobile Home	AK	Renter	2010s	0	0	1	1	967.128	10	6904.59
0-100%	Mobile Home	AK	Not Available	<1940	0	0	1	0	0	152	969865
0-100%	Mobile Home	AK	Owner	<1940	0.0668131	0.933187	0	0	0	108	677186
0-100%	Mobile Home	AK	Renter	<1940	0	1	0	0	0	44	292679
100-150%	Mobile Home	AK	Not Available	<1940	0	0	1	0	0	152	969865
100-150%	Mobile Home	AK	Owner	<1940	0.0668131	0.933187	0	0	0	108	677186
100-150%	Mobile Home	AK	Renter	<1940	0	1	0	0	0	44	292679
150-200%	Mobile Home	AK	Not Available	<1940	0	0	1	0	0	152	969865
150-200%	Mobile Home	AK	Owner	<1940	0.0668131	0.933187	0	0	0	108	677186
150-200%	Mobile Home	AK	Renter	<1940	0	1	0	0	0	44	292679
200-300%	Mobile Home	AK	Not Available	<1940	0	0	1	0	0	202	994405
200-300%	Mobile Home	AK	Owner	<1940	0.0728987	0.927101	0	0	0	165	788073
200-300%	Mobile Home	AK	Renter	<1940	0	1	0	0	0	37	206333
300-400%	Mobile Home	AK	Not Available	<1940	0	0	1	0	0	202	994405
300-400%	Mobile Home	AK	Owner	<1940	0.0728987	0.927101	0	0	0	165	788073
300-400%	Mobile Home	AK	Renter	<1940	0	1	0	0	0	37	206333
400%+	Mobile Home	AK	Not Available	<1940	0	0	1	0	0	235	1.71383e+06
400%+	Mobile Home	AK	Owner	<1940	0.0874179	0.912582	0	0	0	206	1.50471e+06
400%+	Mobile Home	AK	Renter	<1940	0	1	0	0	0	29	209114
Not Available	Mobile Home	AK	Not Available	<1940	0	1	0	0	0	17	15551.8
Not Available	Mobile Home	AK	Owner	<1940	0	0	1	0	0	16	14214.3
Not Available	Mobile Home	AK	Renter	<1940	0	0	1	0	0	80	708126
0-100%	Mobile Home	AL	Not Available	1940s	0	0	1	0	0	34	40168.9
0-100%	Mobile Home	AL	Owner	1940s	0	1	0	0	0	20	23959.7
0-100%	Mobile Home	AL	Renter	1940s	0	1	0	0	0	14	16209.2
100-150%	Mobile Home	AL	Not Available	1940s	0	0	1	0	0	25	20953.9
100-150%	Mobile Home	AL	Owner	1940s	0	1	0	0	0	20	17594.3
100-150%	Mobile Home	AL	Renter	1940s	0	1	0	0	0	10	8401.78
150-200%	Mobile Home	AL	Not Available	1940s	0	0	1	0	0	19	16940.8
150-200%	Mobile Home	AL	Owner	1940s	0.072572	0.927428	0	0	0	14	11898.7
150-200%	Mobile Home	AL	Renter	1940s	0	1	0	0	0	10	8401.78
200-300%	Mobile Home	AL	Not Available	1940s	0	0	1	0	0	33	23036.7
200-300%	Mobile Home	AL	Owner	1940s	0.00512656	0.994873	0	0	0	27	18650.8
200-300%	Mobile Home	AL	Renter	1940s	0	1	0	0	0	10	8801.74
300-400%	Mobile Home	AL	Not Available	1940s	0	0	1	0	0	33	30364.5
300-400%	Mobile Home	AL	Owner	1940s	0.120417	0.879583	0	0	0	29	25948.7
300-400%	Mobile Home	AL	Renter	1940s	0	1	0	0	0	10	8801.74
400%+	Mobile Home	AL	Not Available	1940s	0	0	1	0	0	54	50474.1
400%+	Mobile Home	AL	Owner	1940s	0.0575561	0.942444	0	0	0	48	45901.1
400%+	Mobile Home	AL	Renter	1940s	0.0719841	0.928016	0	0	0	42	180906
Not Available	Mobile Home	AL	Not Available	1940s	0.0369667	0.963033	0	0	0	140	181939
Not Available	Mobile Home	AL	Owner	1940s	0	0	1	0	0	109	143953
Not Available	Mobile Home	AL	Renter	1940s	0	0	1	0	0	31	37985.7
0-100%	Mobile Home	AL	Not Available	1950s	0	0	1	1	10896.1	17	106256
0-100%	Mobile Home	AL	Owner	1950s	0	1	0	0	0	12	71325.1
0-100%	Mobile Home	AL	Renter	1950s	0	1	0	1	10896.1	10	57464
100-150%	Mobile Home	AL	Not Available	1950s	0	0	1	0	0	15	71751.4
100-150%	Mobile Home	AL	Owner	1950s	0.130298	0.869702	0	0	0	11	51049.3
100-150%	Mobile Home	AL	Renter	1950s	0	1	0	0	0	10	57464
150-200%	Mobile Home	AL	Not Available	1950s	0	0	1	1	8819.41	10	50474.7
150-200%	Mobile Home	AL	Owner	1950s	0.0667212	0.933279	0	1	8819.41	20	99693
150-200%	Mobile Home	AL	Renter	1950s	0	1	0	0	0	10	57464
200-300%	Mobile Home	AL	Not Available	1950s	0	0	1	1	2539.97	31	157426
200-300%	Mobile Home	AL	Owner	1950s	0.182735	0.817265	0	1	2539.97	28	140542
200-300%	Mobile Home	AL	Renter	1950s	0	1	0	0	0	14	28546.1
300-400%	Mobile Home	AL	Not Available	1950s	0	0	1	0	0	16	55718.3
300-400%	Mobile Home	AL	Owner	1950s	0.0765317	0.923468	0	0	0	15	52857.7
300-400%	Mobile Home	AL	Renter	1950s	0	1	0	0	0	14	28546.1
400%+	Mobile Home	AL	Not Available	1950s	0	0	1	0	0	25	128572
400%+	Mobile Home	AL	Owner	1950s	0	1	0	0	0	23	113097
400%+	Mobile Home	AL	Renter	1950s	0.0719841	0.928016	0	0	0	42	180906
Not Available	Mobile Home	AL	Not Available	1950s	0.0638005	0.9362	0	2	22255.4	81	570198
Not Available	Mobile Home	AL	Owner	1950s	0	0	1	1	11359.4	69	477516
Not Available	Mobile Home	AL	Renter	1950s	0	0	1	1	10896.1	12	92682.7
0-100%	Mobile Home	AL	Not Available	1960s	0	0	1	1	7754.52	21	116503
0-100%	Mobile Home	AL	Owner	1960s	0	1	0	1	7754.52	11	67580.5
0-100%	Mobile Home	AL	Renter	1960s	0.126396	0.873604	0	0	0	10	48922.9
100-150%	Mobile Home	AL	Not Available	1960s	0	0	1	1	3.87043	17	56322.2
100-150%	Mobile Home	AL	Owner	1960s	0	1	0	1	3.87043	13	46240.8
100-150%	Mobile Home	AL	Renter	1960s	0.226143	0.773857	0	0	0	18	68535.5
150-200%	Mobile Home	AL	Not Available	1960s	0	0	1	0	0	20	74539.8
150-200%	Mobile Home	AL	Owner	1960s	0	1	0	0	0	16	65008.6
150-200%	Mobile Home	AL	Renter	1960s	0.226143	0.773857	0	0	0	18	68535.5
200-300%	Mobile Home	AL	Not Available	1960s	0	0	1	0	0	44	115134
200-300%	Mobile Home	AL	Owner	1960s	0.0784067	0.921593	0	0	0	37	96760.4
200-300%	Mobile Home	AL	Renter	1960s	0	1	0	0	0	13	38908.1
300-400%	Mobile Home	AL	Not Available	1960s	0	0	1	0	0	35	146903
300-400%	Mobile Home	AL	Owner	1960s	0.0856641	0.914336	0	0	0	29	126369
300-400%	Mobile Home	AL	Renter	1960s	0	1	0	0	0	13	38908.1
400%+	Mobile Home	AL	Not Available	1960s	0	0	1	0	0	42	157513
400%+	Mobile Home	AL	Owner	1960s	0.0754782	0.924522	0	0	0	33	128059
400%+	Mobile Home	AL	Renter	1960s	8.9769e-05	0.99991	0	0	0	11	36628.2
Not Available	Mobile Home	AL	Not Available	1960s	0.0653403	0.93466	0	1	7758.39	121	666915
Not Available	Mobile Home	AL	Owner	1960s	0	0	1	1	7758.39	91	530018
Not Available	Mobile Home	AL	Renter	1960s	0	0	1	0	0	30	136897
0-100%	Mobile Home	AL	Not Available	1970s	0	0	1	6	48636.9	12	72536.5
0-100%	Mobile Home	AL	Owner	1970s	0.138955	0.861045	0	4	31840.4	17	97206
0-100%	Mobile Home	AL	Renter	1970s	0	1	0	2	16796.5	15	73568.2
100-150%	Mobile Home	AL	Not Available	1970s	0	0	1	1	841.042	29	99663
100-150%	Mobile Home	AL	Owner	1970s	0.165723	0.834277	0	0	0	16	62735.6
100-150%	Mobile Home	AL	Renter	1970s	0	1	0	1	841.042	13	36927.3
150-200%	Mobile Home	AL	Not Available	1970s	0	0	1	0	0	29	95850
150-200%	Mobile Home	AL	Owner	1970s	0	1	0	0	0	18	70274.8
150-200%	Mobile Home	AL	Renter	1970s	0	1	0	0	0	11	25575.2
200-300%	Mobile Home	AL	Not Available	1970s	0	0	1	0	0	61	184586
200-300%	Mobile Home	AL	Owner	1970s	0.0176582	0.982342	0	0	0	50	161391
200-300%	Mobile Home	AL	Renter	1970s	0	1	0	0	0	11	23195.5
300-400%	Mobile Home	AL	Not Available	1970s	0	0	1	0	0	25	99223.1
300-400%	Mobile Home	AL	Owner	1970s	0.200059	0.799941	0	0	0	23	94085.6
300-400%	Mobile Home	AL	Renter	1970s	0.0657897	0.93421	0	0	0	13	28333
400%+	Mobile Home	AL	Not Available	1970s	0	0	1	0	0	57	280421
400%+	Mobile Home	AL	Owner	1970s	0.0875807	0.912419	0	0	0	55	273247
400%+	Mobile Home	AL	Renter	1970s	8.9769e-05	0.99991	0	0	0	11	36628.2
Not Available	Mobile Home	AL	Not Available	1970s	0.0663481	0.933652	0	6	49477.9	21	122459
Not Available	Mobile Home	AL	Owner	1970s	0	0	1	4	31840.4	16	89215.9
Not Available	Mobile Home	AL	Renter	1970s	0	0	1	2	17637.5	35	171578
0-100%	Mobile Home	AL	Not Available	1980s	0	0	1	1	1340.18	31	159845
0-100%	Mobile Home	AL	Owner	1980s	0.0732157	0.926784	0	1	1340.18	17	83769.9
0-100%	Mobile Home	AL	Renter	1980s	0.0333795	0.966621	0	0	0	14	76075.3
100-150%	Mobile Home	AL	Not Available	1980s	0	0	1	1	8665.36	26	110157
100-150%	Mobile Home	AL	Owner	1980s	0	1	0	1	8665.36	22	97113.3
100-150%	Mobile Home	AL	Renter	1980s	0	1	0	0	0	10	33413.1
150-200%	Mobile Home	AL	Not Available	1980s	0	0	1	0	0	24	91794.5
150-200%	Mobile Home	AL	Owner	1980s	0.147489	0.852511	0	0	0	18	71425.4
150-200%	Mobile Home	AL	Renter	1980s	0	1	0	0	0	10	33413.1
200-300%	Mobile Home	AL	Not Available	1980s	0	0	1	1	7977.1	35	129622
200-300%	Mobile Home	AL	Owner	1980s	0.0672628	0.932737	0	0	0	27	90172.4
200-300%	Mobile Home	AL	Renter	1980s	0	1	0	1	7977.1	10	48161.2
300-400%	Mobile Home	AL	Not Available	1980s	0	0	1	1	3672.8	26	110267
300-400%	Mobile Home	AL	Owner	1980s	0.242617	0.757383	0	1	3672.8	24	101555
300-400%	Mobile Home	AL	Renter	1980s	0	1	0	0	0	10	48161.2
400%+	Mobile Home	AL	Not Available	1980s	0	0	1	1	4364.81	56	225204
400%+	Mobile Home	AL	Owner	1980s	0.221829	0.778171	0	1	4364.81	50	205505
400%+	Mobile Home	AL	Renter	1980s	0.150341	0.849659	0	0	0	11	37912.2
Not Available	Mobile Home	AL	Not Available	1980s	0.136032	0.863968	0	3	26020.2	17	104173
Not Available	Mobile Home	AL	Owner	1980s	0	0	1	2	18043.2	10	62219.1
Not Available	Mobile Home	AL	Renter	1980s	0	0	1	1	7977.1	33	177349
0-100%	Mobile Home	AL	Not Available	1990s	0	0	1	4	28303.3	18	98222.3
0-100%	Mobile Home	AL	Owner	1990s	0	1	0	3	19034.9	11	56633.3
0-100%	Mobile Home	AL	Renter	1990s	0.0015747	0.998425	0	1	9268.41	15	69538.2
100-150%	Mobile Home	AL	Not Available	1990s	0	0	1	2	11779.3	11	36579.2
100-150%	Mobile Home	AL	Owner	1990s	0.0550867	0.944913	0	2	11779.3	16	70075.9
100-150%	Mobile Home	AL	Renter	1990s	0.0850226	0.914977	0	0	0	16	63059.2
150-200%	Mobile Home	AL	Not Available	1990s	0	0	1	3	16682.4	12	55225.7
150-200%	Mobile Home	AL	Owner	1990s	0.0861048	0.913895	0	2	9626.68	19	70878.9
150-200%	Mobile Home	AL	Renter	1990s	0.0850226	0.914977	0	1	7055.74	16	63059.2
200-300%	Mobile Home	AL	Not Available	1990s	0	0	1	4	8711.24	12	37536.6
200-300%	Mobile Home	AL	Owner	1990s	0	1	0	3	8691.12	10	32670
200-300%	Mobile Home	AL	Renter	1990s	0	1	0	1	20.1112	10	23806.3
300-400%	Mobile Home	AL	Not Available	1990s	0	0	1	1	7696.25	49	163951
300-400%	Mobile Home	AL	Owner	1990s	0.089289	0.910711	0	1	7696.25	47	159199
300-400%	Mobile Home	AL	Renter	1990s	0	1	0	0	0	10	23806.3
400%+	Mobile Home	AL	Not Available	1990s	0	0	1	1	7503.96	93	393892
400%+	Mobile Home	AL	Owner	1990s	0.184395	0.815605	0	1	7503.96	88	375678
400%+	Mobile Home	AL	Renter	1990s	0.150341	0.849659	0	0	0	11	37912.2
Not Available	Mobile Home	AL	Not Available	1990s	0	1	0	10	80676.4	10	80676.4
Not Available	Mobile Home	AL	Owner	1990s	0	0	1	8	64332.1	33	202567
Not Available	Mobile Home	AL	Renter	1990s	0	0	1	2	16344.3	11	68282.8
0-100%	Mobile Home	AL	Not Available	2000s	0	0	1	2	12974.1	23	69642.1
0-100%	Mobile Home	AL	Owner	2000s	0.0618762	0.938124	0	1	6487.03	18	58086.4
0-100%	Mobile Home	AL	Renter	2000s	0.0768115	0.923188	0	1	6487.03	14	42066.8
100-150%	Mobile Home	AL	Not Available	2000s	0	0	1	3	15872.9	27	89035.4
100-150%	Mobile Home	AL	Owner	2000s	0	1	0	2	11877.6	20	61066.1
100-150%	Mobile Home	AL	Renter	2000s	0.0768115	0.923188	0	1	3995.28	14	42066.8
150-200%	Mobile Home	AL	Not Available	2000s	0	0	1	1	1180.09	22	55968.2
150-200%	Mobile Home	AL	Owner	2000s	0.0843226	0.915677	0	0	0	20	53426.6
150-200%	Mobile Home	AL	Renter	2000s	0.0768115	0.923188	0	1	1180.09	14	42066.8
200-300%	Mobile Home	AL	Not Available	2000s	0	0	1	2	6497.72	55	143701
200-300%	Mobile Home	AL	Owner	2000s	0.0773932	0.922607	0	2	6497.72	52	136107
200-300%	Mobile Home	AL	Renter	2000s	0.00548242	0.994518	0	0	0	73	274791
300-400%	Mobile Home	AL	Not Available	2000s	0	0	1	3	11825.7	55	132627
