Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=State	Dependency=Vintage ACS	Option=Central AC	Option=Ducted Heat Pump	Option=Evaporative or Swamp Cooler	Option=Non-Ducted Heat Pump	Option=None	Option=Room AC	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 2 - 4 Units	Non-Ducted Heating	FL	<1940	0.234704	0	0	0	0.0343296	0.730966	1	10073	27	86444.5
Multi-Family with 2 - 4 Units	None	FL	<1940	0.849495	0	0	0	0.085747	0.0647577	0	0	102	1.39304e+06
Multi-Family with 5+ Units	Ducted Heat Pump	FL	1940-59	0	1	0	0	0	0	0	0	17	32283.6
Multi-Family with 5+ Units	Ducted Heating	FL	1940-59	0.800324	0	0	0	0.0800128	0.119663	0	0	20	67722.9
Multi-Family with 5+ Units	Non-Ducted Heat Pump	FL	1940-59	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	FL	1940-59	0.269775	0	0	0	0.156792	0.573433	1	14813.2	33	90392.5
Multi-Family with 5+ Units	None	FL	1940-59	0.849495	0	0	0	0.085747	0.0647577	1	21141.7	102	1.39304e+06
Multi-Family with 5+ Units	Ducted Heat Pump	FL	1960-79	0	1	0	0	0	0	10	165480	10	165480
Multi-Family with 5+ Units	Ducted Heating	FL	1960-79	0.895576	0	0	0	0.0594575	0.0449668	9	155050	56	530678
Multi-Family with 5+ Units	Non-Ducted Heat Pump	FL	1960-79	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	FL	1960-79	0.76079	0	0	0	0	0.23921	3	58343.7	23	173508
Multi-Family with 5+ Units	None	FL	1960-79	0.737349	0	0	0	0.12423	0.138421	16	296208	16	296208
Multi-Family with 5+ Units	Ducted Heat Pump	FL	1980-99	0	1	0	0	0	0	7	113230	25	292056
Multi-Family with 5+ Units	Ducted Heating	FL	1980-99	0.865222	0	0	0	0.0815108	0.0532669	7	119189	58	589077
Multi-Family with 5+ Units	Non-Ducted Heat Pump	FL	1980-99	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	FL	1980-99	0.812538	0	0	0	0.0781434	0.109318	3	59025	22	208748
Multi-Family with 5+ Units	None	FL	1980-99	1	0	0	0	0	0	17	298964	17	298964
Multi-Family with 5+ Units	Ducted Heat Pump	FL	2000-09	0	1	0	0	0	0	3	41882.7	19	169282
Multi-Family with 5+ Units	Ducted Heating	FL	2000-09	0.831259	0	0	0	0.168741	0	6	98957.2	49	411189
Multi-Family with 5+ Units	Non-Ducted Heat Pump	FL	2000-09	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	FL	2000-09	0.742575	0	0	0	0.0973331	0.160092	1	17086.7	22	140050
Multi-Family with 5+ Units	None	FL	2000-09	0.908007	0	0	0	0	0.0919933	12	190258	12	190258
Multi-Family with 5+ Units	Ducted Heat Pump	FL	2010s	0	1	0	0	0	0	2	29611.1	18	166246
Multi-Family with 5+ Units	Ducted Heating	FL	2010s	0.873433	0	0	0	0.0708095	0.055758	7	101003	39	309585
Multi-Family with 5+ Units	Non-Ducted Heat Pump	FL	2010s	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	FL	2010s	0.683261	0	0	0	0	0.316739	1	12227.5	11	66885.6
Multi-Family with 5+ Units	None	FL	2010s	0.910476	0	0	0	0.0371397	0.0523846	2	34635.6	26	323046
Multi-Family with 5+ Units	Ducted Heat Pump	FL	<1940	0	1	0	0	0	0	0	0	14	46455.7
Multi-Family with 5+ Units	Ducted Heating	FL	<1940	0.705882	0	0	0	0.294118	0	0	0	11	32629.6
Multi-Family with 5+ Units	Non-Ducted Heat Pump	FL	<1940	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	FL	<1940	0.347027	0	0	0	0.0583572	0.594616	0	0	20	50852.4
Multi-Family with 5+ Units	None	FL	<1940	0.849495	0	0	0	0.085747	0.0647577	0	0	102	1.39304e+06
Single-Family Attached	Ducted Heat Pump	FL	1940-59	0	1	0	0	0	0	1	2070.62	66	417156
Single-Family Attached	Ducted Heating	FL	1940-59	0.773695	0	0	0	0.0793734	0.146932	0	0	49	79951.3
Single-Family Attached	Non-Ducted Heat Pump	FL	1940-59	0	0	0	1	0	0	0	0	35	266159
Single-Family Attached	Non-Ducted Heating	FL	1940-59	0.509141	0	0	0	0.150353	0.340507	0	0	27	32275.3
Single-Family Attached	None	FL	1940-59	0.64578	0	0	0	0.169416	0.184805	0	0	12	50009.4
Single-Family Attached	Ducted Heat Pump	FL	1960-79	0	1	0	0	0	0	4	31741.2	15	89160.8
Single-Family Attached	Ducted Heating	FL	1960-79	0.856927	0	0	0	0.0247424	0.11833	6	48207.2	39	190812
Single-Family Attached	Non-Ducted Heat Pump	FL	1960-79	0	0	0	1	0	0	0	0	10	72307.2
Single-Family Attached	Non-Ducted Heating	FL	1960-79	0.491749	0	0	0	0.126685	0.381566	0	0	67	462720
Single-Family Attached	None	FL	1960-79	0.947827	0	0	0	0	0.0521731	3	29757.6	27	292238
Single-Family Attached	Ducted Heat Pump	FL	1980-99	0	1	0	0	0	0	4	36479.9	30	155112
Single-Family Attached	Ducted Heating	FL	1980-99	0.943593	0	0	0	0.0427429	0.0136637	4	32941.6	61	329784
Single-Family Attached	Non-Ducted Heat Pump	FL	1980-99	0	0	0	1	0	0	0	0	13	102400
Single-Family Attached	Non-Ducted Heating	FL	1980-99	0.575449	0	0	0	0.166956	0.257594	2	18956.8	60	389397
Single-Family Attached	None	FL	1980-99	0.967933	0	0	0	0.0320666	0	8	77741.9	41	469354
Single-Family Attached	Ducted Heat Pump	FL	2000-09	0	1	0	0	0	0	5	37317.3	25	140366
Single-Family Attached	Ducted Heating	FL	2000-09	0.908131	0	0	0	0.0426148	0.0492545	7	64311.6	53	266039
Single-Family Attached	Non-Ducted Heat Pump	FL	2000-09	0	0	0	1	0	0	0	0	35	266159
Single-Family Attached	Non-Ducted Heating	FL	2000-09	0.870269	0	0	0	0	0.129731	1	9935.12	23	146140
Single-Family Attached	None	FL	2000-09	0.965548	0	0	0	0.0344524	0	7	56210.7	25	249284
Single-Family Attached	Ducted Heat Pump	FL	2010s	0	1	0	0	0	0	3	19038.7	14	65046.9
Single-Family Attached	Ducted Heating	FL	2010s	0.874444	0	0	0	0.125556	0	4	30974.8	28	118348
Single-Family Attached	Non-Ducted Heat Pump	FL	2010s	0	0	0	1	0	0	0	0	35	266159
Single-Family Attached	Non-Ducted Heating	FL	2010s	0.797705	0	0	0	0.0572044	0.145091	0	0	34	231266
Single-Family Attached	None	FL	2010s	0.99354	0	0	0	0.00645994	0	2	16677.2	16	146966
Single-Family Attached	Ducted Heat Pump	FL	<1940	0	1	0	0	0	0	1	5350.95	27	150754
Single-Family Attached	Ducted Heating	FL	<1940	0.72771	0	0	0	0.160365	0.111925	0	0	35	61529
Single-Family Attached	Non-Ducted Heat Pump	FL	<1940	0	0	0	1	0	0	0	0	35	266159
Single-Family Attached	Non-Ducted Heating	FL	<1940	0.298264	0	0	0	0.214945	0.486791	0	0	25	58342.3
Single-Family Attached	None	FL	<1940	0.590941	0	0	0	0.2541	0.154959	0	0	12	119508
Single-Family Detached	Ducted Heat Pump	FL	1940-59	0	1	0	0	0	0	14	133731	14	133731
Single-Family Detached	Ducted Heating	FL	1940-59	1	0	0	0	0	0	20	193208	20	193208
Single-Family Detached	Non-Ducted Heat Pump	FL	1940-59	0	0	0	1	0	0	1	3512.97	35	266159
Single-Family Detached	Non-Ducted Heating	FL	1940-59	0.387908	0	0	0	0.111348	0.500744	3	30064.9	68	255950
Single-Family Detached	None	FL	1940-59	0.733045	0	0	0	0.185472	0.0814833	7	33742.3	10	44056.1
Single-Family Detached	Ducted Heat Pump	FL	1960-79	0	1	0	0	0	0	36	400512	36	400512
Single-Family Detached	Ducted Heating	FL	1960-79	0.89374	0	0	0	0.10626	0	32	361618	32	361618
Single-Family Detached	Non-Ducted Heat Pump	FL	1960-79	0	0	0	1	0	0	2	21352.9	10	72307.2
Single-Family Detached	Non-Ducted Heating	FL	1960-79	0.521038	0	0	0	0.124374	0.354589	9	105211	62	437059
Single-Family Detached	None	FL	1960-79	0.938211	0	0	0	0	0.0617893	21	246758	21	246758
Single-Family Detached	Ducted Heat Pump	FL	1980-99	0	1	0	0	0	0	54	627716	54	627716
Single-Family Detached	Ducted Heating	FL	1980-99	0.952715	0	0	0	0.0472851	0	48	574588	48	574588
Single-Family Detached	Non-Ducted Heat Pump	FL	1980-99	0	0	0	1	0	0	2	27353.9	13	102400
Single-Family Detached	Non-Ducted Heating	FL	1980-99	0.534786	0	0	0	0.175471	0.289743	3	35556.1	51	338315
Single-Family Detached	None	FL	1980-99	1	0	0	0	0	0	29	366330	29	366330
Single-Family Detached	Ducted Heat Pump	FL	2000-09	0	1	0	0	0	0	31	322423	31	322423
Single-Family Detached	Ducted Heating	FL	2000-09	0.964955	0	0	0	0.0350446	0	25	260251	25	260251
Single-Family Detached	Non-Ducted Heat Pump	FL	2000-09	0	0	0	1	0	0	0	0	35	266159
Single-Family Detached	Non-Ducted Heating	FL	2000-09	0.857303	0	0	0	0	0.142697	2	20383.5	21	132861
Single-Family Detached	None	FL	2000-09	0.951922	0	0	0	0.0480779	0	17	182042	17	182042
Single-Family Detached	Ducted Heat Pump	FL	2010s	0	1	0	0	0	0	16	144282	16	144282
Single-Family Detached	Ducted Heating	FL	2010s	0.906683	0	0	0	0.0933168	0	23	220769	23	220769
Single-Family Detached	Non-Ducted Heat Pump	FL	2010s	0	0	0	1	0	0	0	0	35	266159
Single-Family Detached	Non-Ducted Heating	FL	2010s	0.797705	0	0	0	0.0572044	0.145091	2	20715.8	34	231266
Single-Family Detached	None	FL	2010s	1	0	0	0	0	0	11	113547	11	113547
Single-Family Detached	Ducted Heat Pump	FL	<1940	0	1	0	0	0	0	5	44800.7	20	125741
Single-Family Detached	Ducted Heating	FL	<1940	0.8424	0	0	0	0.040918	0.116682	8	86769.2	115	629410
Single-Family Detached	Non-Ducted Heat Pump	FL	<1940	0	0	0	1	0	0	1	9078.31	35	266159
Single-Family Detached	Non-Ducted Heating	FL	<1940	0.225133	0	0	0	0.147849	0.627018	1	9401.85	43	219864
Single-Family Detached	None	FL	<1940	0.590941	0	0	0	0.2541	0.154959	6	61514.8	12	119508
Mobile Home	Ducted Heat Pump	GA	1940-59	0	1	0	0	0	0	0	0	66	417156
Mobile Home	Ducted Heating	GA	1940-59	0.823196	0	0	0	0.0376575	0.139147	0	0	281	1.25388e+06
Mobile Home	Non-Ducted Heat Pump	GA	1940-59	0	0	0	1	0	0	0	0	35	266159
Mobile Home	Non-Ducted Heating	GA	1940-59	0.413568	0	0	0	0.101783	0.484649	0	0	98	327679
Mobile Home	None	GA	1940-59	0.64578	0	0	0	0.169416	0.184805	0	0	12	50009.4
Mobile Home	Ducted Heat Pump	GA	1960-79	0	1	0	0	0	0	0	0	15	149102
Mobile Home	Ducted Heating	GA	1960-79	0.655676	0	0	0	0.067396	0.276928	3	36164.7	17	169445
Mobile Home	Non-Ducted Heat Pump	GA	1960-79	0	0	0	1	0	0	0	0	10	72307.2
Mobile Home	Non-Ducted Heating	GA	1960-79	0.0542436	0	0	0	0.159387	0.78637	3	33424.2	10	73600.8
Mobile Home	None	GA	1960-79	0.950053	0	0	0	0	0.0499471	0	0	28	305263
Mobile Home	Ducted Heat Pump	GA	1980-99	0	1	0	0	0	0	7	91311.9	52	536549
Mobile Home	Ducted Heating	GA	1980-99	0.538132	0	0	0	0.16115	0.300718	3	37028.7	36	313293
Mobile Home	Non-Ducted Heat Pump	GA	1980-99	0	0	0	1	0	0	0	0	13	102400
Mobile Home	Non-Ducted Heating	GA	1980-99	0.21068	0	0	0	0.122392	0.666927	3	39267.2	21	186170
Mobile Home	None	GA	1980-99	0.915753	0	0	0	0.0295389	0.0547081	0	0	44	509518
Mobile Home	Ducted Heat Pump	GA	2000-09	0	1	0	0	0	0	3	31806.4	14	114954
Mobile Home	Ducted Heating	GA	2000-09	0.702495	0	0	0	0.198231	0.0992737	0	0	15	107704
Mobile Home	Non-Ducted Heat Pump	GA	2000-09	0	0	0	1	0	0	0	0	35	266159
Mobile Home	Non-Ducted Heating	GA	2000-09	0.782953	0	0	0	0.0328618	0.184185	0	0	27	175947
Mobile Home	None	GA	2000-09	0.968696	0	0	0	0.0313038	0	1	11253.4	27	273149
Mobile Home	Ducted Heat Pump	GA	2010s	0	1	0	0	0	0	2	22450.6	10	85614
Mobile Home	Ducted Heating	GA	2010s	0.940417	0	0	0	0.0465636	0.0130195	1	10122.2	158	928656
Mobile Home	Non-Ducted Heat Pump	GA	2010s	0	0	0	1	0	0	0	0	35	266159
Mobile Home	Non-Ducted Heating	GA	2010s	0.797705	0	0	0	0.0572044	0.145091	0	0	34	231266
Mobile Home	None	GA	2010s	0.99354	0	0	0	0.00645994	0	0	0	16	146966
Mobile Home	Ducted Heat Pump	GA	<1940	0	1	0	0	0	0	0	0	27	150754
Mobile Home	Ducted Heating	GA	<1940	0.832148	0	0	0	0.0515955	0.116257	0	0	150	690939
Mobile Home	Non-Ducted Heat Pump	GA	<1940	0	0	0	1	0	0	0	0	35	266159
Mobile Home	Non-Ducted Heating	GA	<1940	0.228981	0	0	0	0.154184	0.616835	0	0	69	292164
Mobile Home	None	GA	<1940	0.590941	0	0	0	0.2541	0.154959	0	0	12	119508
Multi-Family with 2 - 4 Units	Ducted Heat Pump	GA	1940-59	0	1	0	0	0	0	1	3182.17	25	53116.7
Multi-Family with 2 - 4 Units	Ducted Heating	GA	1940-59	0.489581	0	0	0	0.171499	0.33892	1	10527.7	13	47839.5
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	GA	1940-59	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 2 - 4 Units	Non-Ducted Heating	GA	1940-59	0.424094	0	0	0	0	0.575906	0	0	11	27351.2
Multi-Family with 2 - 4 Units	None	GA	1940-59	0.849495	0	0	0	0.085747	0.0647577	0	0	102	1.39304e+06
Multi-Family with 2 - 4 Units	Ducted Heat Pump	GA	1960-79	0	1	0	0	0	0	0	0	28	320996
Multi-Family with 2 - 4 Units	Ducted Heating	GA	1960-79	0.82474	0	0	0	0.0931341	0.0821257	4	41099.4	26	194339
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	GA	1960-79	0	0	0	1	0	0	1	9684.78	14	125655
Multi-Family with 2 - 4 Units	Non-Ducted Heating	GA	1960-79	0.478127	0	0	0	0.292378	0.229496	0	0	10	48240.6
Multi-Family with 2 - 4 Units	None	GA	1960-79	0.717095	0	0	0	0.138197	0.144707	0	0	21	353846
Multi-Family with 2 - 4 Units	Ducted Heat Pump	GA	1980-99	0	1	0	0	0	0	1	10413.9	14	117295
Multi-Family with 2 - 4 Units	Ducted Heating	GA	1980-99	0.963421	0	0	0	0	0.0365794	4	41899.4	19	162668
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	GA	1980-99	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 2 - 4 Units	Non-Ducted Heating	GA	1980-99	0.812982	0	0	0	0.0841135	0.102905	0	0	26	236144
Multi-Family with 2 - 4 Units	None	GA	1980-99	0.975068	0	0	0	0.0249323	0	0	0	25	391080
Multi-Family with 2 - 4 Units	Ducted Heat Pump	GA	2000-09	0	1	0	0	0	0	0	0	23	199219
Multi-Family with 2 - 4 Units	Ducted Heating	GA	2000-09	0.829064	0	0	0	0.168032	0.00290437	1	9012.3	58	466560
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	GA	2000-09	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 2 - 4 Units	Non-Ducted Heating	GA	2000-09	0.742575	0	0	0	0.0973331	0.160092	0	0	22	140050
Multi-Family with 2 - 4 Units	None	GA	2000-09	0.879106	0	0	0	0.0501536	0.0707403	0	0	17	243021
Multi-Family with 2 - 4 Units	Ducted Heat Pump	GA	2010s	0	1	0	0	0	0	0	0	20	180112
Multi-Family with 2 - 4 Units	Ducted Heating	GA	2010s	0.822674	0	0	0	0.127324	0.0500015	0	0	44	345227
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	GA	2010s	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 2 - 4 Units	Non-Ducted Heating	GA	2010s	0.637679	0	0	0	0.0936288	0.268692	0	0	13	78845.7
Multi-Family with 2 - 4 Units	None	GA	2010s	0.910476	0	0	0	0.0371397	0.0523846	1	6748.48	26	323046
Multi-Family with 2 - 4 Units	Ducted Heat Pump	GA	<1940	0	1	0	0	0	0	1	8223.46	21	70360.6
Multi-Family with 2 - 4 Units	Ducted Heating	GA	<1940	0.73662	0	0	0	0.173649	0.0897303	0	0	19	55266.3
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	GA	<1940	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 2 - 4 Units	Non-Ducted Heating	GA	<1940	0.234704	0	0	0	0.0343296	0.730966	0	0	27	86444.5
Multi-Family with 2 - 4 Units	None	GA	<1940	0.849495	0	0	0	0.085747	0.0647577	0	0	102	1.39304e+06
Multi-Family with 5+ Units	Ducted Heat Pump	GA	1940-59	0	1	0	0	0	0	1	4007.08	17	32283.6
Multi-Family with 5+ Units	Ducted Heating	GA	1940-59	0.800324	0	0	0	0.0800128	0.119663	2	16978.8	20	67722.9
Multi-Family with 5+ Units	Non-Ducted Heat Pump	GA	1940-59	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	GA	1940-59	0.269775	0	0	0	0.156792	0.573433	0	0	33	90392.5
Multi-Family with 5+ Units	None	GA	1940-59	0.849495	0	0	0	0.085747	0.0647577	0	0	102	1.39304e+06
Multi-Family with 5+ Units	Ducted Heat Pump	GA	1960-79	0	1	0	0	0	0	0	0	22	263040
Multi-Family with 5+ Units	Ducted Heating	GA	1960-79	0.895576	0	0	0	0.0594575	0.0449668	5	59845	56	530678
Multi-Family with 5+ Units	Non-Ducted Heat Pump	GA	1960-79	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	GA	1960-79	0.76079	0	0	0	0	0.23921	1	14897.8	23	173508
Multi-Family with 5+ Units	None	GA	1960-79	0.737349	0	0	0	0.12423	0.138421	0	0	16	296208
Multi-Family with 5+ Units	Ducted Heat Pump	GA	1980-99	0	1	0	0	0	0	1	13564.8	25	292056
Multi-Family with 5+ Units	Ducted Heating	GA	1980-99	0.865222	0	0	0	0.0815108	0.0532669	5	64265.2	58	589077
Multi-Family with 5+ Units	Non-Ducted Heat Pump	GA	1980-99	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	GA	1980-99	0.812538	0	0	0	0.0781434	0.109318	2	28894.2	22	208748
Multi-Family with 5+ Units	None	GA	1980-99	0.970739	0	0	0	0.0292608	0	1	15582.2	20	334826
Multi-Family with 5+ Units	Ducted Heat Pump	GA	2000-09	0	1	0	0	0	0	2	21803.8	19	169282
Multi-Family with 5+ Units	Ducted Heating	GA	2000-09	0.831259	0	0	0	0.168741	0	7	90737.9	49	411189
Multi-Family with 5+ Units	Non-Ducted Heat Pump	GA	2000-09	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	GA	2000-09	0.742575	0	0	0	0.0973331	0.160092	0	0	22	140050
Multi-Family with 5+ Units	None	GA	2000-09	0.86031	0	0	0	0.0579511	0.0817385	0	0	14	212291
Multi-Family with 5+ Units	Ducted Heat Pump	GA	2010s	0	1	0	0	0	0	5	56029.8	18	166246
Multi-Family with 5+ Units	Ducted Heating	GA	2010s	0.873433	0	0	0	0.0708095	0.055758	3	32138.4	39	309585
Multi-Family with 5+ Units	Non-Ducted Heat Pump	GA	2010s	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	GA	2010s	0.683261	0	0	0	0	0.316739	3	35638.7	11	66885.6
Multi-Family with 5+ Units	None	GA	2010s	0.910476	0	0	0	0.0371397	0.0523846	0	0	26	323046
Multi-Family with 5+ Units	Ducted Heat Pump	GA	<1940	0	1	0	0	0	0	1	10355.2	14	46455.7
Multi-Family with 5+ Units	Ducted Heating	GA	<1940	0.705882	0	0	0	0.294118	0	1	8684.7	11	32629.6
Multi-Family with 5+ Units	Non-Ducted Heat Pump	GA	<1940	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	GA	<1940	0.347027	0	0	0	0.0583572	0.594616	0	0	20	50852.4
Multi-Family with 5+ Units	None	GA	<1940	0.849495	0	0	0	0.085747	0.0647577	0	0	102	1.39304e+06
Single-Family Attached	Ducted Heat Pump	GA	1940-59	0	1	0	0	0	0	0	0	66	417156
Single-Family Attached	Ducted Heating	GA	1940-59	0.773695	0	0	0	0.0793734	0.146932	0	0	49	79951.3
Single-Family Attached	Non-Ducted Heat Pump	GA	1940-59	0	0	0	1	0	0	0	0	35	266159
Single-Family Attached	Non-Ducted Heating	GA	1940-59	0.509141	0	0	0	0.150353	0.340507	3	7700.47	27	32275.3
Single-Family Attached	None	GA	1940-59	0.64578	0	0	0	0.169416	0.184805	0	0	12	50009.4
Single-Family Attached	Ducted Heat Pump	GA	1960-79	0	1	0	0	0	0	0	0	15	89160.8
Single-Family Attached	Ducted Heating	GA	1960-79	0.856927	0	0	0	0.0247424	0.11833	2	12952.1	39	190812
Single-Family Attached	Non-Ducted Heat Pump	GA	1960-79	0	0	0	1	0	0	0	0	10	72307.2
Single-Family Attached	Non-Ducted Heating	GA	1960-79	0.491749	0	0	0	0.126685	0.381566	0	0	67	462720
Single-Family Attached	None	GA	1960-79	0.947827	0	0	0	0	0.0521731	0	0	27	292238
Single-Family Attached	Ducted Heat Pump	GA	1980-99	0	1	0	0	0	0	3	19331.5	30	155112
Single-Family Attached	Ducted Heating	GA	1980-99	1	0	0	0	0	0	13	99334	13	99334
Single-Family Attached	Non-Ducted Heat Pump	GA	1980-99	0	0	0	1	0	0	0	0	13	102400
Single-Family Attached	Non-Ducted Heating	GA	1980-99	0.575449	0	0	0	0.166956	0.257594	0	0	60	389397
Single-Family Attached	None	GA	1980-99	0.967933	0	0	0	0.0320666	0	0	0	41	469354
Single-Family Attached	Ducted Heat Pump	GA	2000-09	0	1	0	0	0	0	6	35240.2	25	140366
Single-Family Attached	Ducted Heating	GA	2000-09	0.908131	0	0	0	0.0426148	0.0492545	5	30306.2	53	266039
Single-Family Attached	Non-Ducted Heat Pump	GA	2000-09	0	0	0	1	0	0	0	0	35	266159
Single-Family Attached	Non-Ducted Heating	GA	2000-09	0.870269	0	0	0	0	0.129731	0	0	23	146140
Single-Family Attached	None	GA	2000-09	0.965548	0	0	0	0.0344524	0	0	0	25	249284
Single-Family Attached	Ducted Heat Pump	GA	2010s	0	1	0	0	0	0	5	30920.6	14	65046.9
Single-Family Attached	Ducted Heating	GA	2010s	0.874444	0	0	0	0.125556	0	2	11354.6	28	118348
Single-Family Attached	Non-Ducted Heat Pump	GA	2010s	0	0	0	1	0	0	0	0	35	266159
Single-Family Attached	Non-Ducted Heating	GA	2010s	0.797705	0	0	0	0.0572044	0.145091	0	0	34	231266
Single-Family Attached	None	GA	2010s	0.99354	0	0	0	0.00645994	0	0	0	16	146966
Single-Family Attached	Ducted Heat Pump	GA	<1940	0	1	0	0	0	0	0	0	27	150754
Single-Family Attached	Ducted Heating	GA	<1940	0.72771	0	0	0	0.160365	0.111925	0	0	35	61529
Single-Family Attached	Non-Ducted Heat Pump	GA	<1940	0	0	0	1	0	0	0	0	35	266159
Single-Family Attached	Non-Ducted Heating	GA	<1940	0.298264	0	0	0	0.214945	0.486791	3	19899.8	25	58342.3
Single-Family Attached	None	GA	<1940	0.590941	0	0	0	0.2541	0.154959	0	0	12	119508
Single-Family Detached	Ducted Heat Pump	GA	1940-59	0	1	0	0	0	0	7	68269.8	59	407477
Single-Family Detached	Ducted Heating	GA	1940-59	0.823899	0	0	0	0.0360497	0.140052	29	190929	29	190929
Single-Family Detached	Non-Ducted Heat Pump	GA	1940-59	0	0	0	1	0	0	1	3315.65	35	266159
Single-Family Detached	Non-Ducted Heating	GA	1940-59	0.387908	0	0	0	0.111348	0.500744	5	32458.8	68	255950
Single-Family Detached	None	GA	1940-59	0.733045	0	0	0	0.185472	0.0814833	0	0	10	44056.1
Single-Family Detached	Ducted Heat Pump	GA	1960-79	0	1	0	0	0	0	14	133625	14	133625
Single-Family Detached	Ducted Heating	GA	1960-79	0.967381	0	0	0	0.0326188	0	35	327989	35	327989
Single-Family Detached	Non-Ducted Heat Pump	GA	1960-79	0	0	0	1	0	0	0	0	10	72307.2
Single-Family Detached	Non-Ducted Heating	GA	1960-79	0.521038	0	0	0	0.124374	0.354589	9	82909	62	437059
Single-Family Detached	None	GA	1960-79	0.94013	0	0	0	0	0.0598697	1	7911.54	22	254670
Single-Family Detached	Ducted Heat Pump	GA	1980-99	0	1	0	0	0	0	20	186420	20	186420
Single-Family Detached	Ducted Heating	GA	1980-99	0.985271	0	0	0	0	0.0147291	70	630121	70	630121
Single-Family Detached	Non-Ducted Heat Pump	GA	1980-99	0	0	0	1	0	0	1	8893.34	13	102400
Single-Family Detached	Non-Ducted Heating	GA	1980-99	0.534786	0	0	0	0.175471	0.289743	7	66918	51	338315
Single-Family Detached	None	GA	1980-99	0.961568	0	0	0	0.0384324	0	0	0	33	391612
Single-Family Detached	Ducted Heat Pump	GA	2000-09	0	1	0	0	0	0	20	157884	20	157884
Single-Family Detached	Ducted Heating	GA	2000-09	0.977337	0	0	0	0.0226626	0	40	310525	40	310525
Single-Family Detached	Non-Ducted Heat Pump	GA	2000-09	0	0	0	1	0	0	0	0	35	266159
Single-Family Detached	Non-Ducted Heating	GA	2000-09	0.857303	0	0	0	0	0.142697	4	31534.8	21	132861
Single-Family Detached	None	GA	2000-09	0.954851	0	0	0	0.0451486	0	0	0	18	193074
Single-Family Detached	Ducted Heat Pump	GA	2010s	0	1	0	0	0	0	15	117268	15	117268
Single-Family Detached	Ducted Heating	GA	2010s	0.942592	0	0	0	0.0574081	0	18	135533	18	135533
Single-Family Detached	Non-Ducted Heat Pump	GA	2010s	0	0	0	1	0	0	0	0	35	266159
Single-Family Detached	Non-Ducted Heating	GA	2010s	0.797705	0	0	0	0.0572044	0.145091	2	16604.3	34	231266
Single-Family Detached	None	GA	2010s	1	0	0	0	0	0	2	15841.1	13	129388
Single-Family Detached	Ducted Heat Pump	GA	<1940	0	1	0	0	0	0	1	7081.11	20	125741
Single-Family Detached	Ducted Heating	GA	<1940	0.712513	0	0	0	0.147862	0.139624	15	120295	15	120295
Single-Family Detached	Non-Ducted Heat Pump	GA	<1940	0	0	0	1	0	0	1	8568.39	35	266159
Single-Family Detached	Non-Ducted Heating	GA	<1940	0.225133	0	0	0	0.147849	0.627018	3	26426.2	43	219864
Single-Family Detached	None	GA	<1940	0.590941	0	0	0	0.2541	0.154959	0	0	12	119508
Mobile Home	Ducted Heat Pump	HI	1940-59	0	1	0	0	0	0	0	0	13	76826.5
Mobile Home	Ducted Heating	HI	1940-59	0.333526	0	0	0	0.246473	0.42	0	0	267	1.46863e+06
Mobile Home	Non-Ducted Heat Pump	HI	1940-59	0	0	0	1	0	0	0	0	13	56795.6
Mobile Home	Non-Ducted Heating	HI	1940-59	0	0	0	0	0.452688	0.547312	0	0	87	479473
Mobile Home	None	HI	1940-59	0.0322174	0	0	0	0.497783	0.47	0	0	33	31895.5
Mobile Home	Ducted Heat Pump	HI	1960-79	0	1	0	0	0	0	0	0	31	209617
