Dependency=Electric Vehicle Charger	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=No	Option=Yes	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Renter	2000-09	0.736095	0.263905	0	3.92236e-18	3.93166e-18	0.784472	7005.94
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Renter	2010s	0.736095	0.263905	0	0.0392236	337.634	0.784472	7005.94
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Renter	<1940	0.736095	0.263905	0	0.0392236	286.267	0.784472	7005.94
Level 1 charger	0-100%	Multi-Family with 5+ Units	Not Available	1940-59	0	0	1	0.0372243	78.1831	0.297795	2718.68
Level 1 charger	0-100%	Multi-Family with 5+ Units	Not Available	1960-79	0	0	1	0.0744487	742.057	0.297795	2718.68
Level 1 charger	0-100%	Multi-Family with 5+ Units	Not Available	1980-99	0	0	1	1.86122e-18	1.88354e-18	0.297795	2718.68
Level 1 charger	0-100%	Multi-Family with 5+ Units	Not Available	2000-09	0	0	1	0.148897	1355.76	0.297795	2718.68
Level 1 charger	0-100%	Multi-Family with 5+ Units	Not Available	2010s	0	0	1	0.0372243	340.629	0.297795	2718.68
Level 1 charger	0-100%	Multi-Family with 5+ Units	Not Available	<1940	0	0	1	0.0372243	202.043	0.297795	2718.68
Level 1 charger	0-100%	Multi-Family with 5+ Units	Owner	1940-59	0.496824	0.503176	0	6.57528e-05	0.129046	0.000526023	4.48733
Level 1 charger	0-100%	Multi-Family with 5+ Units	Owner	1960-79	0.496824	0.503176	0	0.000131506	1.22481	0.000526023	4.48733
Level 1 charger	0-100%	Multi-Family with 5+ Units	Owner	1980-99	0.496824	0.503176	0	3.28764e-21	3.10889e-21	0.000526023	4.48733
Level 1 charger	0-100%	Multi-Family with 5+ Units	Owner	2000-09	0.496824	0.503176	0	0.000263011	2.23777	0.000526023	4.48733
Level 1 charger	0-100%	Multi-Family with 5+ Units	Owner	2010s	0.496824	0.503176	0	6.57528e-05	0.562228	0.000526023	4.48733
Level 1 charger	0-100%	Multi-Family with 5+ Units	Owner	<1940	0.496824	0.503176	0	6.57528e-05	0.333484	0.000526023	4.48733
Level 1 charger	0-100%	Multi-Family with 5+ Units	Renter	1940-59	0.754005	0.245995	0	0.0341593	71.9595	0.273275	2502.26
Level 1 charger	0-100%	Multi-Family with 5+ Units	Renter	1960-79	0.754005	0.245995	0	0.0683186	682.987	0.273275	2502.26
Level 1 charger	0-100%	Multi-Family with 5+ Units	Renter	1980-99	0.754005	0.245995	0	1.70797e-18	1.7336e-18	0.273275	2502.26
Level 1 charger	0-100%	Multi-Family with 5+ Units	Renter	2000-09	0.754005	0.245995	0	0.136637	1247.84	0.273275	2502.26
Level 1 charger	0-100%	Multi-Family with 5+ Units	Renter	2010s	0.754005	0.245995	0	0.0341593	313.514	0.273275	2502.26
Level 1 charger	0-100%	Multi-Family with 5+ Units	Renter	<1940	0.754005	0.245995	0	0.0341593	185.96	0.273275	2502.26
Level 1 charger	0-100%	Single-Family Attached	Not Available	1940-59	0	0	1	0.00768944	2.66109	0.161478	593.218
Level 1 charger	0-100%	Single-Family Attached	Not Available	1960-79	0	0	1	0.0538261	223.348	0.161478	593.218
Level 1 charger	0-100%	Single-Family Attached	Not Available	1980-99	0	0	1	0.0307578	88.1057	0.161478	593.218
Level 1 charger	0-100%	Single-Family Attached	Not Available	2000-09	0	0	1	0.0230683	144.759	0.161478	593.218
Level 1 charger	0-100%	Single-Family Attached	Not Available	2010s	0	0	1	0.0461366	127.467	0.161478	593.218
Level 1 charger	0-100%	Single-Family Attached	Not Available	<1940	0	0	1	0.00768944	6.87688	0.161478	593.218
Level 1 charger	0-100%	Single-Family Attached	Owner	1940-59	0.0338401	0.96616	0	0.000454331	0.162993	0.00954095	36.3349
Level 1 charger	0-100%	Single-Family Attached	Owner	1960-79	0.0338401	0.96616	0	0.00318032	13.6802	0.00954095	36.3349
Level 1 charger	0-100%	Single-Family Attached	Owner	1980-99	0.0338401	0.96616	0	0.00181732	5.39652	0.00954095	36.3349
Level 1 charger	0-100%	Single-Family Attached	Owner	2000-09	0.0338401	0.96616	0	0.00136299	8.86659	0.00954095	36.3349
Level 1 charger	0-100%	Single-Family Attached	Owner	2010s	0.0338401	0.96616	0	0.00272599	7.80745	0.00954095	36.3349
Level 1 charger	0-100%	Single-Family Attached	Owner	<1940	0.0338401	0.96616	0	0.000454331	0.421212	0.00954095	36.3349
Level 1 charger	0-100%	Single-Family Attached	Renter	1940-59	0.0590002	0.941	0	0.00440496	1.50691	0.0925041	335.924
Level 1 charger	0-100%	Single-Family Attached	Renter	1960-79	0.0590002	0.941	0	0.0308347	126.476	0.0925041	335.924
Level 1 charger	0-100%	Single-Family Attached	Renter	1980-99	0.0590002	0.941	0	0.0176198	49.8919	0.0925041	335.924
Level 1 charger	0-100%	Single-Family Attached	Renter	2000-09	0.0590002	0.941	0	0.0132149	81.9735	0.0925041	335.924
Level 1 charger	0-100%	Single-Family Attached	Renter	2010s	0.0590002	0.941	0	0.0264297	72.1814	0.0925041	335.924
Level 1 charger	0-100%	Single-Family Attached	Renter	<1940	0.0590002	0.941	0	0.00440496	3.89419	0.0925041	335.924
Level 1 charger	0-100%	Single-Family Detached	Not Available	1940-59	0	0	1	0.0798422	326.091	0.0798422	326.091
Level 1 charger	0-100%	Single-Family Detached	Not Available	1960-79	0	0	1	0.0487925	344.377	0.0487925	344.377
Level 1 charger	0-100%	Single-Family Detached	Not Available	1980-99	0	0	1	0.0620995	496.122	0.0620995	496.122
Level 1 charger	0-100%	Single-Family Detached	Not Available	2000-09	0	0	1	0.0399211	212.625	0.0399211	212.625
Level 1 charger	0-100%	Single-Family Detached	Not Available	2010s	0	0	1	0.0243962	134.39	0.0243962	134.39
Level 1 charger	0-100%	Single-Family Detached	Not Available	<1940	0	0	1	0.055446	304.999	0.055446	304.999
Level 1 charger	0-100%	Single-Family Detached	Owner	1940-59	0.132022	0.867978	0	0.0368874	145.751	0.0368874	145.751
Level 1 charger	0-100%	Single-Family Detached	Owner	1960-79	0.411295	0.588705	0	0.0225423	153.925	0.0225423	153.925
Level 1 charger	0-100%	Single-Family Detached	Owner	1980-99	0.121111	0.878889	0	0.0286902	221.75	0.0286902	221.75
Level 1 charger	0-100%	Single-Family Detached	Owner	2000-09	0	1	0	0.0184437	95.0361	0.0184437	95.0361
Level 1 charger	0-100%	Single-Family Detached	Owner	2010s	0.529209	0.470791	0	0.0112711	60.0675	0.0112711	60.0675
Level 1 charger	0-100%	Single-Family Detached	Owner	<1940	0.315338	0.684662	0	0.0256162	136.324	0.0256162	136.324
Level 1 charger	0-100%	Single-Family Detached	Renter	1940-59	0.207933	0.792067	0	0.0081759	35.8231	0.0081759	35.8231
Level 1 charger	0-100%	Single-Family Detached	Renter	1960-79	0.546653	0.453347	0	0.00499638	37.8319	0.00499638	37.8319
Level 1 charger	0-100%	Single-Family Detached	Renter	1980-99	0.192137	0.807863	0	0.00635903	54.502	0.00635903	54.502
Level 1 charger	0-100%	Single-Family Detached	Renter	2000-09	0	1	0	0.00408795	23.3582	0.00408795	23.3582
Level 1 charger	0-100%	Single-Family Detached	Renter	2010s	0.659874	0.340126	0	0.00249819	14.7635	0.00249819	14.7635
Level 1 charger	0-100%	Single-Family Detached	Renter	<1940	0.442873	0.557127	0	0.00567771	33.506	0.00567771	33.506
Level 1 charger	100-150%	Mobile Home	Not Available	1940-59	0	0	1	2.6905e-18	1.84031e-18	3.82051	15957.7
Level 1 charger	100-150%	Mobile Home	Not Available	1960-79	0	0	1	0.05381	322.465	3.82051	15957.7
Level 1 charger	100-150%	Mobile Home	Not Available	1980-99	0	0	1	0.080715	256.815	3.82051	15957.7
Level 1 charger	100-150%	Mobile Home	Not Available	2000-09	0	0	1	0.026905	21.0261	3.82051	15957.7
Level 1 charger	100-150%	Mobile Home	Not Available	2010s	0	0	1	2.6905e-18	1.84031e-18	3.82051	15957.7
Level 1 charger	100-150%	Mobile Home	Not Available	<1940	0	0	1	2.6905e-18	1.84031e-18	3.82051	15957.7
Level 1 charger	100-150%	Mobile Home	Owner	1940-59	0.0834749	0.916525	0	1.69921e-18	1.18977e-18	2.41288	10316.7
Level 1 charger	100-150%	Mobile Home	Owner	1960-79	0.0834749	0.916525	0	0.0339842	208.476	2.41288	10316.7
Level 1 charger	100-150%	Mobile Home	Owner	1980-99	0.0834749	0.916525	0	0.0509763	166.033	2.41288	10316.7
Level 1 charger	100-150%	Mobile Home	Owner	2000-09	0.0834749	0.916525	0	0.0169921	13.5935	2.41288	10316.7
Level 1 charger	100-150%	Mobile Home	Owner	2010s	0.0834749	0.916525	0	1.69921e-18	1.18977e-18	2.41288	10316.7
Level 1 charger	100-150%	Mobile Home	Owner	<1940	0.0834749	0.916525	0	1.69921e-18	1.18977e-18	2.41288	10316.7
Level 1 charger	100-150%	Mobile Home	Renter	1940-59	0.230047	0.769953	0	1.13099e-19	7.06574e-20	0.160601	612.683
Level 1 charger	100-150%	Mobile Home	Renter	1960-79	0.230047	0.769953	0	0.00226198	12.3808	0.160601	612.683
Level 1 charger	100-150%	Mobile Home	Renter	1980-99	0.230047	0.769953	0	0.00339298	9.86023	0.160601	612.683
Level 1 charger	100-150%	Mobile Home	Renter	2000-09	0.230047	0.769953	0	0.00113099	0.807282	0.160601	612.683
Level 1 charger	100-150%	Mobile Home	Renter	2010s	0.230047	0.769953	0	1.13099e-19	7.06574e-20	0.160601	612.683
Level 1 charger	100-150%	Mobile Home	Renter	<1940	0.230047	0.769953	0	1.13099e-19	7.06574e-20	0.160601	612.683
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	1	0.0189443	52.1749	0.189443	1012.69
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	1	0.00947214	50.0368	0.189443	1012.69
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	1	9.47214e-19	5.6831e-19	0.189443	1012.69
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	1	9.47214e-19	5.6831e-19	0.189443	1012.69
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	1	0.00947214	48.804	0.189443	1012.69
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	1	0.00947214	41.379	0.189443	1012.69
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.927075	0.0729245	0	0.000197955	0.749562	0.00197955	14.5486
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.927075	0.0729245	0	9.89773e-05	0.718845	0.00197955	14.5486
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Owner	1980-99	0.927075	0.0729245	0	9.89773e-21	8.16453e-21	0.00197955	14.5486
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Owner	2000-09	0.927075	0.0729245	0	9.89773e-21	8.16453e-21	0.00197955	14.5486
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Owner	2010s	0.927075	0.0729245	0	9.89773e-05	0.701135	0.00197955	14.5486
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Owner	<1940	0.927075	0.0729245	0	9.89773e-05	0.594465	0.00197955	14.5486
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Renter	1940-59	0.849204	0.150796	0	0.01522	40.4171	0.1522	784.475
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.849204	0.150796	0	0.00761001	38.7608	0.1522	784.475
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Renter	1980-99	0.849204	0.150796	0	7.61001e-19	4.4024e-19	0.1522	784.475
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Renter	2000-09	0.849204	0.150796	0	7.61001e-19	4.4024e-19	0.1522	784.475
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Renter	2010s	0.849204	0.150796	0	0.00761001	37.8059	0.1522	784.475
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	Renter	<1940	0.849204	0.150796	0	0.00761001	32.0542	0.1522	784.475
Level 1 charger	100-150%	Multi-Family with 5+ Units	Not Available	1940-59	0	0	1	0.0140585	18.1157	0.112468	629.942
Level 1 charger	100-150%	Multi-Family with 5+ Units	Not Available	1960-79	0	0	1	0.028117	171.941	0.112468	629.942
Level 1 charger	100-150%	Multi-Family with 5+ Units	Not Available	1980-99	0	0	1	7.02924e-19	4.36432e-19	0.112468	629.942
Level 1 charger	100-150%	Multi-Family with 5+ Units	Not Available	2000-09	0	0	1	0.0562339	314.143	0.112468	629.942
Level 1 charger	100-150%	Multi-Family with 5+ Units	Not Available	2010s	0	0	1	0.0140585	78.9269	0.112468	629.942
Level 1 charger	100-150%	Multi-Family with 5+ Units	Not Available	<1940	0	0	1	0.0140585	46.8152	0.112468	629.942
Level 1 charger	100-150%	Multi-Family with 5+ Units	Owner	1940-59	0.475243	0.524757	0	5.73629e-05	0.0825277	0.000458903	2.86975
Level 1 charger	100-150%	Multi-Family with 5+ Units	Owner	1960-79	0.475243	0.524757	0	0.000114726	0.783292	0.000458903	2.86975
Level 1 charger	100-150%	Multi-Family with 5+ Units	Owner	1980-99	0.475243	0.524757	0	2.86814e-21	1.9882e-21	0.000458903	2.86975
Level 1 charger	100-150%	Multi-Family with 5+ Units	Owner	2000-09	0.475243	0.524757	0	0.000229452	1.4311	0.000458903	2.86975
Level 1 charger	100-150%	Multi-Family with 5+ Units	Owner	2010s	0.475243	0.524757	0	5.73629e-05	0.359558	0.000458903	2.86975
Level 1 charger	100-150%	Multi-Family with 5+ Units	Owner	<1940	0.475243	0.524757	0	5.73629e-05	0.21327	0.000458903	2.86975
Level 1 charger	100-150%	Multi-Family with 5+ Units	Renter	1940-59	0.75117	0.24883	0	0.0123171	15.7528	0.0985367	547.776
Level 1 charger	100-150%	Multi-Family with 5+ Units	Renter	1960-79	0.75117	0.24883	0	0.0246342	149.514	0.0985367	547.776
Level 1 charger	100-150%	Multi-Family with 5+ Units	Renter	1980-99	0.75117	0.24883	0	6.15854e-19	3.79507e-19	0.0985367	547.776
Level 1 charger	100-150%	Multi-Family with 5+ Units	Renter	2000-09	0.75117	0.24883	0	0.0492683	273.168	0.0985367	547.776
Level 1 charger	100-150%	Multi-Family with 5+ Units	Renter	2010s	0.75117	0.24883	0	0.0123171	68.6321	0.0985367	547.776
Level 1 charger	100-150%	Multi-Family with 5+ Units	Renter	<1940	0.75117	0.24883	0	0.0123171	40.7089	0.0985367	547.776
Level 1 charger	100-150%	Single-Family Attached	Not Available	1940-59	0	0	1	0.00480374	1.21795	0.100879	271.508
Level 1 charger	100-150%	Single-Family Attached	Not Available	1960-79	0	0	1	0.0336262	102.223	0.100879	271.508
Level 1 charger	100-150%	Single-Family Attached	Not Available	1980-99	0	0	1	0.019215	40.3248	0.100879	271.508
Level 1 charger	100-150%	Single-Family Attached	Not Available	2000-09	0	0	1	0.0144112	66.2544	0.100879	271.508
Level 1 charger	100-150%	Single-Family Attached	Not Available	2010s	0	0	1	0.0288225	58.3401	0.100879	271.508
Level 1 charger	100-150%	Single-Family Attached	Not Available	<1940	0	0	1	0.00480374	3.14745	0.100879	271.508
Level 1 charger	100-150%	Single-Family Attached	Owner	1940-59	0.0155585	0.984442	0	0.00105371	0.261741	0.0221278	58.3481
Level 1 charger	100-150%	Single-Family Attached	Owner	1960-79	0.0155585	0.984442	0	0.00737594	21.9682	0.0221278	58.3481
Level 1 charger	100-150%	Single-Family Attached	Owner	1980-99	0.0155585	0.984442	0	0.00421482	8.66594	0.0221278	58.3481
Level 1 charger	100-150%	Single-Family Attached	Owner	2000-09	0.0155585	0.984442	0	0.00316112	14.2383	0.0221278	58.3481
Level 1 charger	100-150%	Single-Family Attached	Owner	2010s	0.0155585	0.984442	0	0.00632224	12.5375	0.0221278	58.3481
Level 1 charger	100-150%	Single-Family Attached	Owner	<1940	0.0155585	0.984442	0	0.00105371	0.676399	0.0221278	58.3481
Level 1 charger	100-150%	Single-Family Attached	Renter	1940-59	0.0253816	0.974618	0	0.00135755	0.350464	0.0285086	78.1263
Level 1 charger	100-150%	Single-Family Attached	Renter	1960-79	0.0253816	0.974618	0	0.00950287	29.4147	0.0285086	78.1263
Level 1 charger	100-150%	Single-Family Attached	Renter	1980-99	0.0253816	0.974618	0	0.00543021	11.6034	0.0285086	78.1263
Level 1 charger	100-150%	Single-Family Attached	Renter	2000-09	0.0253816	0.974618	0	0.00407266	19.0647	0.0285086	78.1263
Level 1 charger	100-150%	Single-Family Attached	Renter	2010s	0.0253816	0.974618	0	0.00814532	16.7873	0.0285086	78.1263
Level 1 charger	100-150%	Single-Family Attached	Renter	<1940	0.0253816	0.974618	0	0.00135755	0.905678	0.0285086	78.1263
Level 1 charger	100-150%	Single-Family Detached	Not Available	1940-59	0	0	1	0.0878925	254.681	0.0878925	254.681
Level 1 charger	100-150%	Single-Family Detached	Not Available	1960-79	0	0	1	0.0537121	268.963	0.0537121	268.963
Level 1 charger	100-150%	Single-Family Detached	Not Available	1980-99	0	0	1	0.0683608	387.478	0.0683608	387.478
Level 1 charger	100-150%	Single-Family Detached	Not Available	2000-09	0	0	1	0.0439462	166.063	0.0439462	166.063
Level 1 charger	100-150%	Single-Family Detached	Not Available	2010s	0	0	1	0.026856	104.96	0.026856	104.96
Level 1 charger	100-150%	Single-Family Detached	Not Available	<1940	0	0	1	0.0610365	238.208	0.0610365	238.208
Level 1 charger	100-150%	Single-Family Detached	Owner	1940-59	0.0769743	0.923026	0	0.0563528	159.299	0.0563528	159.299
Level 1 charger	100-150%	Single-Family Detached	Owner	1960-79	0.276958	0.723042	0	0.0344378	168.232	0.0344378	168.232
Level 1 charger	100-150%	Single-Family Detached	Owner	1980-99	0.0702443	0.929756	0	0.04383	242.361	0.04383	242.361
Level 1 charger	100-150%	Single-Family Detached	Owner	2000-09	0	1	0	0.0281764	103.87	0.0281764	103.87
Level 1 charger	100-150%	Single-Family Detached	Owner	2010s	0.381303	0.618697	0	0.0172189	65.6507	0.0172189	65.6507
Level 1 charger	100-150%	Single-Family Detached	Owner	<1940	0.201609	0.798391	0	0.0391339	148.995	0.0391339	148.995
Level 1 charger	100-150%	Single-Family Detached	Renter	1940-59	0.145255	0.854745	0	0.00347958	11.1381	0.00347958	11.1381
Level 1 charger	100-150%	Single-Family Detached	Renter	1960-79	0.438383	0.561617	0	0.00212641	11.7627	0.00212641	11.7627
Level 1 charger	100-150%	Single-Family Detached	Renter	1980-99	0.133418	0.866582	0	0.00270634	16.9457	0.00270634	16.9457
Level 1 charger	100-150%	Single-Family Detached	Renter	2000-09	0	1	0	0.00173979	7.2625	0.00173979	7.2625
Level 1 charger	100-150%	Single-Family Detached	Renter	2010s	0.556718	0.443282	0	0.0010632	4.59026	0.0010632	4.59026
Level 1 charger	100-150%	Single-Family Detached	Renter	<1940	0.339753	0.660247	0	0.00241637	10.4177	0.00241637	10.4177
Level 1 charger	150-200%	Mobile Home	Not Available	1940-59	0	0	1	1.25127e-18	8.14737e-19	1.7768	7064.73
Level 1 charger	150-200%	Mobile Home	Not Available	1960-79	0	0	1	0.0250253	142.761	1.7768	7064.73
Level 1 charger	150-200%	Mobile Home	Not Available	1980-99	0	0	1	0.037538	113.696	1.7768	7064.73
Level 1 charger	150-200%	Mobile Home	Not Available	2000-09	0	0	1	0.0125127	9.30861	1.7768	7064.73
Level 1 charger	150-200%	Mobile Home	Not Available	2010s	0	0	1	1.25127e-18	8.14737e-19	1.7768	7064.73
Level 1 charger	150-200%	Mobile Home	Not Available	<1940	0	0	1	1.25127e-18	8.14737e-19	1.7768	7064.73
Level 1 charger	150-200%	Mobile Home	Owner	1940-59	0.0561506	0.943849	0	7.83462e-19	5.28759e-19	1.11252	4584.96
Level 1 charger	150-200%	Mobile Home	Owner	1960-79	0.0561506	0.943849	0	0.0156692	92.6509	1.11252	4584.96
Level 1 charger	150-200%	Mobile Home	Owner	1980-99	0.0561506	0.943849	0	0.0235039	73.7883	1.11252	4584.96
Level 1 charger	150-200%	Mobile Home	Owner	2000-09	0.0561506	0.943849	0	0.00783462	6.04123	1.11252	4584.96
Level 1 charger	150-200%	Mobile Home	Owner	2010s	0.0561506	0.943849	0	7.83462e-19	5.28759e-19	1.11252	4584.96
Level 1 charger	150-200%	Mobile Home	Owner	<1940	0.0561506	0.943849	0	7.83462e-19	5.28759e-19	1.11252	4584.96
Level 1 charger	150-200%	Mobile Home	Renter	1940-59	0.253525	0.746475	0	5.4188e-20	3.07895e-20	0.076947	266.981
Level 1 charger	150-200%	Mobile Home	Renter	1960-79	0.253525	0.746475	0	0.00108376	5.39504	0.076947	266.981
Level 1 charger	150-200%	Mobile Home	Renter	1980-99	0.253525	0.746475	0	0.00162564	4.29668	0.076947	266.981
Level 1 charger	150-200%	Mobile Home	Renter	2000-09	0.253525	0.746475	0	0.00054188	0.351779	0.076947	266.981
Level 1 charger	150-200%	Mobile Home	Renter	2010s	0.253525	0.746475	0	5.4188e-20	3.07895e-20	0.076947	266.981
Level 1 charger	150-200%	Mobile Home	Renter	<1940	0.253525	0.746475	0	5.4188e-20	3.07895e-20	0.076947	266.981
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	1	0.0166934	52.6831	0.166934	1022.55
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	1	0.0083467	50.5242	0.166934	1022.55
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	1	8.3467e-19	5.73846e-19	0.166934	1022.55
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	1	8.3467e-19	5.73846e-19	0.166934	1022.55
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	1	0.0083467	49.2795	0.166934	1022.55
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	1	0.0083467	41.7822	0.166934	1022.55
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.620663	0.379337	0	0.00012771	0.352196	0.0012771	6.83594
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.620663	0.379337	0	6.3855e-05	0.337763	0.0012771	6.83594
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Owner	1980-99	0.620663	0.379337	0	6.3855e-21	3.83626e-21	0.0012771	6.83594
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Owner	2000-09	0.620663	0.379337	0	6.3855e-21	3.83626e-21	0.0012771	6.83594
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Owner	2010s	0.620663	0.379337	0	6.3855e-05	0.329442	0.0012771	6.83594
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Owner	<1940	0.620663	0.379337	0	6.3855e-05	0.279321	0.0012771	6.83594
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Renter	1940-59	0.726604	0.273396	0	0.0138943	44.4203	0.138943	862.175
