Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Dependency=Tenure	Option=Electricity	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Void	source_count	source_weight	fallback_count	fallback_weight
0-100%	Mobile Home	Electricity	DE	Not Available	0	0	0	0	1	0.363126	901.877	15.4181	164696
0-100%	Mobile Home	Electricity	DE	Owner	0.0358325	0	0.964167	0	0	0.0868143	143.19	3.99324	41162.2
0-100%	Mobile Home	Electricity	DE	Renter	0.0972132	0	0.902787	0	0	0.0873743	326.347	3.24611	36930.2
0-100%	Mobile Home	Electricity	FL	Not Available	0	0	0	0	1	1.3455	17255.3	0.914609	14077
0-100%	Mobile Home	Electricity	FL	Owner	0.0333385	0	0.966661	0	0	0.560565	6248.95	2.2016	24224.1
0-100%	Mobile Home	Electricity	FL	Renter	0.0908495	0	0.909151	0	0	0.16486	2736.23	0.784451	9526.2
0-100%	Mobile Home	Electricity	GA	Not Available	0	0	0	0	1	1.7834	21584.8	0.742491	11847.7
0-100%	Mobile Home	Electricity	GA	Owner	0.0422388	0	0.957761	0	0	0.671911	8090.59	1.8183	21432.6
0-100%	Mobile Home	Electricity	GA	Renter	0.113304	0	0.886696	0	0	0.26598	3245.59	0.620124	8067.35
0-100%	Mobile Home	Electricity	HI	Not Available	0	0	0	0	1	4.7619e-18	4.7619e-18	0.157171	270.641
0-100%	Mobile Home	Electricity	HI	Owner	0	0	1	0	0	4.7619e-18	4.7619e-18	0.0982318	161.721
0-100%	Mobile Home	Electricity	HI	Renter	0.0288085	0	0.971192	0	0	4.7619e-18	4.7619e-18	0.18664	221.417
0-100%	Mobile Home	Electricity	IA	Not Available	0	0	0	0	1	0.066639	316.393	1.72772	13727.6
0-100%	Mobile Home	Electricity	IA	Owner	0	0	1	0	0	0.066639	316.393	1.34378	9788.3
0-100%	Mobile Home	Electricity	IA	Renter	0	0	1	0	0	7.66361e-39	6.69509e-39	1.14799e-20	9.87861e-17
0-100%	Mobile Home	Electricity	ID	Not Available	0	0	0	0	1	0.897923	2165.07	0.63732	1516.09
0-100%	Mobile Home	Electricity	ID	Owner	0.123215	0	0.876785	0	0	0.535316	1202.36	0.807399	2292.85
0-100%	Mobile Home	Electricity	ID	Renter	0	0	1	0	0	0.0457554	140.546	0.16238	396.572
0-100%	Mobile Home	Electricity	IL	Not Available	0	0	0	0	1	0.0137579	146.982	0.0422653	581.384
0-100%	Mobile Home	Electricity	IL	Owner	0	0	1	0	0	1.56272e-38	1.89636e-38	3.38879e-22	4.64316e-18
0-100%	Mobile Home	Electricity	IL	Renter	0	0	1	0	0	0.0137579	146.982	0.154144	1744.52
0-100%	Mobile Home	Electricity	IN	Not Available	0	0	0	0	1	0.133513	770.417	0.552765	8908.43
0-100%	Mobile Home	Electricity	IN	Owner	0	0	1	0	0	0.133513	770.417	0.390187	6263.58
0-100%	Mobile Home	Electricity	IN	Renter	0	0	1	0	0	1.66938e-38	1.92713e-38	1.00827e-20	1.33693e-16
0-100%	Mobile Home	Electricity	KS	Not Available	0	0	0	0	1	0.0128411	138.662	0.672471	4829.09
0-100%	Mobile Home	Electricity	KS	Owner	0	0	1	0	0	0.0128411	138.662	0.523033	3443.33
0-100%	Mobile Home	Electricity	KS	Renter	0	0	1	0	0	1.59544e-38	2.1405e-38	1.20685e-20	9.386e-17
0-100%	Mobile Home	Electricity	KY	Not Available	0	0	0	0	1	0.757277	2149.93	2.70508	13721.8
0-100%	Mobile Home	Electricity	KY	Owner	0	0	1	0	0	0.484773	1456.4	1.43127	7136.32
0-100%	Mobile Home	Electricity	KY	Renter	0	0	1	0	0	0.0297774	67.3152	0.170949	893.802
0-100%	Mobile Home	Electricity	LA	Not Available	0	0	0	0	1	2.66076	15295.5	2.17075	12254.6
0-100%	Mobile Home	Electricity	LA	Owner	0	0	1	0	0	1.53491	8414.04	1.25224	6741.23
0-100%	Mobile Home	Electricity	LA	Renter	0	0	1	0	0	0.152735	1020.6	0.49843	3912.57
0-100%	Mobile Home	Electricity	MA	Not Available	0	0	0	0	1	0.0398882	154.567	1.63416	3649.13
0-100%	Mobile Home	Electricity	MA	Owner	0	0	1	0	0	0.0398882	154.567	1.41627	3319.61
0-100%	Mobile Home	Electricity	MA	Renter	0	0	1	0	0	1.0241e-37	1.01885e-37	4.19559e-20	1.22934e-16
0-100%	Mobile Home	Electricity	MD	Not Available	0	0	0	0	1	0.225279	1702.63	20.4242	190381
0-100%	Mobile Home	Electricity	MD	Owner	0.0264628	0	0.973537	0	0	0.0709112	674.789	8.35761	75176.1
0-100%	Mobile Home	Electricity	MD	Renter	0.0730086	0	0.926991	0	0	0.0417284	233.67	2.64822	26290.3
0-100%	Mobile Home	Electricity	ME	Not Available	0	0	0	0	1	1.0127e-18	7.90944e-19	1.19998	3174.01
0-100%	Mobile Home	Electricity	ME	Owner	0	0	1	0	0	1.0127e-18	7.90944e-19	1.03998	2887.39
0-100%	Mobile Home	Electricity	ME	Renter	0	0	1	0	0	5.71322e-55	2.26561e-58	2.03092e-20	7.04874e-17
0-100%	Mobile Home	Electricity	MI	Not Available	0	0	0	0	1	4.67603e-18	4.73803e-18	0.190588	2898.52
0-100%	Mobile Home	Electricity	MI	Owner	0	0	1	0	0	1.29783e-18	1.45995e-18	0.0746788	1131.27
0-100%	Mobile Home	Electricity	MI	Renter	0	0	1	0	0	1.04019e-18	9.37836e-19	0.309245	3869.49
0-100%	Mobile Home	Electricity	MN	Not Available	0	0	0	0	1	9.38313e-18	8.02504e-18	1.16932	9031.22
0-100%	Mobile Home	Electricity	MN	Owner	0	0	1	0	0	9.38313e-18	8.02504e-18	0.909468	6439.61
0-100%	Mobile Home	Electricity	MN	Renter	0	0	1	0	0	1.09057e-54	1.73452e-58	7.85233e-21	6.56824e-17
0-100%	Mobile Home	Electricity	MO	Not Available	0	0	0	0	1	1.40951	10380.4	0.509156	6360.32
0-100%	Mobile Home	Electricity	MO	Owner	0	0	1	0	0	0.586377	3666.4	0.635451	5455.65
0-100%	Mobile Home	Electricity	MO	Renter	0	0	1	0	0	0.171548	1708.48	0.805586	8170.62
0-100%	Mobile Home	Electricity	MS	Not Available	0	0	0	0	1	1.8919	12192.3	1.26059	9101.69
0-100%	Mobile Home	Electricity	MS	Owner	0.08588	0	0.91412	0	0	1.07554	6659.35	0.716644	4971.27
0-100%	Mobile Home	Electricity	MS	Renter	0	0	1	0	0	0.11393	830.247	0.506082	3208.91
0-100%	Mobile Home	Electricity	MT	Not Available	0	0	0	0	1	0.197917	464.165	1.88397	5088.84
0-100%	Mobile Home	Electricity	MT	Owner	0.340676	0	0.659324	0	0	0.00558427	13.3028	0.200814	572.085
0-100%	Mobile Home	Electricity	MT	Renter	0	0	1	0	0	0.137009	320.31	0.579641	1420.14
0-100%	Mobile Home	Electricity	NC	Not Available	0	0	0	0	1	2.37511	26103.1	1.50333	18828.2
0-100%	Mobile Home	Electricity	NC	Owner	0.0254151	0	0.974585	0	0	0.94972	10099.2	3.47319	35177.9
0-100%	Mobile Home	Electricity	NC	Renter	0.0702509	0	0.929749	0	0	0.32063	3729.5	1.13649	12704.3
0-100%	Mobile Home	Electricity	ND	Not Available	0	0	0	0	1	0.131048	133.821	0.736714	9400.35
0-100%	Mobile Home	Electricity	ND	Owner	0	0	1	0	0	0.131048	133.821	0.572999	6702.81
0-100%	Mobile Home	Electricity	ND	Renter	0	0	1	0	0	8.53088e-38	9.07341e-38	2.77092e-20	3.82917e-16
0-100%	Mobile Home	Electricity	NE	Not Available	0	0	0	0	1	6.76632e-18	1.03524e-17	1.54197	11410.3
0-100%	Mobile Home	Electricity	NE	Owner	0	0	1	0	0	8.35233e-54	1.57744e-57	1.48043e-20	1.0043e-16
0-100%	Mobile Home	Electricity	NE	Renter	0	0	1	0	0	6.76632e-18	1.03524e-17	2.2273	17849.8
0-100%	Mobile Home	Electricity	NH	Not Available	0	0	0	0	1	5.66844e-18	5.80763e-18	1.68611	4402.22
0-100%	Mobile Home	Electricity	NH	Owner	0	0	1	0	0	5.66844e-18	5.80763e-18	1.4613	4004.69
0-100%	Mobile Home	Electricity	NH	Renter	0	0	1	0	0	1.88023e-54	5.75088e-58	1.67785e-20	5.74808e-17
0-100%	Mobile Home	Electricity	NJ	Not Available	0	0	0	0	1	0.0456075	327.179	5.20016	37546.9
0-100%	Mobile Home	Electricity	NJ	Owner	0	0	1	0	0	0.0160038	161.146	2.55465	17931.8
0-100%	Mobile Home	Electricity	NJ	Renter	0	0	1	0	0	0.00679996	29.0929	3.02379	25164.1
0-100%	Mobile Home	Electricity	NM	Not Available	0	0	0	0	1	0.534031	2198.34	1.96084	9024.54
0-100%	Mobile Home	Electricity	NM	Owner	0.0436551	0	0.956345	0	0	0.243735	955.434	2.08819	12862.7
0-100%	Mobile Home	Electricity	NM	Renter	0	0	1	0	0	0.0559905	255.245	1.38769	7866.24
0-100%	Mobile Home	Electricity	NV	Not Available	0	0	0	0	1	0.122309	664.116	2.75785	16598.6
0-100%	Mobile Home	Electricity	NV	Owner	0.0269701	0	0.97303	0	0	0.122309	664.116	2.06839	12075
0-100%	Mobile Home	Electricity	NV	Renter	0	0.0204443	0.979556	0	0	2.45399e-38	2.40613e-38	1.60071e-20	8.59967e-17
0-100%	Mobile Home	Electricity	NY	Not Available	0	0	0	0	1	0.0638742	341.786	1.82694	12720.2
0-100%	Mobile Home	Electricity	NY	Owner	0	0	1	0	0	0.0326158	168.486	1.63255	12523.4
0-100%	Mobile Home	Electricity	NY	Renter	0	0	1	0	0	0.00518932	30.3297	1.92954	17548.8
0-100%	Mobile Home	Electricity	OH	Not Available	0	0	0	0	1	0.266356	3356.87	0.163501	2306.84
0-100%	Mobile Home	Electricity	OH	Owner	0	0	1	0	0	0.181214	2237.46	0.0942241	1324.19
0-100%	Mobile Home	Electricity	OH	Renter	0	0	1	0	0	0.0081499	113.14	0.109472	1270.78
0-100%	Mobile Home	Electricity	OK	Not Available	0	0	0	0	1	0.278166	2173.2	14.1144	132860
0-100%	Mobile Home	Electricity	OK	Owner	0.0127289	0	0.987271	0	0	0.101614	805.558	5.72886	54516
0-100%	Mobile Home	Electricity	OK	Renter	0	0	1	0	0	0.0435238	332.525	1.84036	16944.7
0-100%	Mobile Home	Electricity	OR	Not Available	0	0	0	0	1	0.29357	1762.09	1.00613	7925.52
0-100%	Mobile Home	Electricity	OR	Owner	0	0	1	0	0	0.29357	1762.09	0.868928	6453.01
0-100%	Mobile Home	Electricity	OR	Renter	0	0	1	0	0	2.01726e-38	2.08003e-38	8.17061e-21	6.368e-17
0-100%	Mobile Home	Electricity	PA	Not Available	0	0	0	0	1	0.385543	3157.27	5.2657	42177
0-100%	Mobile Home	Electricity	PA	Owner	0	0	1	0	0	0.180011	1349.02	2.40939	18761.3
0-100%	Mobile Home	Electricity	PA	Renter	0	0	1	0	0	0.0381508	378.712	3.55623	32830.8
0-100%	Mobile Home	Electricity	RI	Not Available	0	0	0	0	1	2.10213e-18	1.05254e-18	1.55817	3454.22
0-100%	Mobile Home	Electricity	RI	Owner	0.0125562	0	0.987444	0	0	2.10213e-18	1.05254e-18	1.35041	3142.3
0-100%	Mobile Home	Electricity	RI	Renter	0.0125562	0	0.987444	0	0	2.26944e-53	1.22676e-56	1.68218e-19	4.8932e-16
0-100%	Mobile Home	Electricity	SC	Not Available	0	0	0	0	1	2.06221	15177.1	1.32367	9932.92
0-100%	Mobile Home	Electricity	SC	Owner	0	0	1	0	0	1.106	8117.65	0.709907	5312.72
0-100%	Mobile Home	Electricity	SC	Renter	0	0	1	0	0	0.147742	1095.45	0.663816	6499.02
0-100%	Mobile Home	Electricity	SD	Not Available	0	0	0	0	1	0.0690728	143.317	1.1706	8597.45
0-100%	Mobile Home	Electricity	SD	Owner	0	0	1	0	0	0.00873171	20.6122	0.345285	2324.86
0-100%	Mobile Home	Electricity	SD	Renter	0	0	1	0	0	0.0285851	55.2263	1.04963	8348.93
0-100%	Mobile Home	Electricity	TN	Not Available	0	0	0	0	1	2.48002	10900	1.9119	8768.46
0-100%	Mobile Home	Electricity	TN	Owner	0.0421902	0	0.95781	0	0	0.494857	2197.06	1.71674	9956.25
0-100%	Mobile Home	Electricity	TN	Renter	0	0	1	0	0	0.759217	3309.74	0.585298	2662.5
0-100%	Mobile Home	Electricity	TX	Not Available	0	0	0	0	1	1.76652	21145	1.67154	20605.8
0-100%	Mobile Home	Electricity	TX	Owner	0.00466502	0	0.995335	0	0	0.92068	11527.2	0.871179	11233.3
0-100%	Mobile Home	Electricity	TX	Renter	0	0	1	0	0	0.135947	1447.67	0.411641	3275.38
0-100%	Mobile Home	Electricity	UT	Not Available	0	0	0	0	1	3.84726e-18	2.66327e-18	0.727122	1508.87
0-100%	Mobile Home	Electricity	UT	Owner	0.170982	0	0.829018	0	0	3.84726e-18	2.66327e-18	0.457818	1001.98
0-100%	Mobile Home	Electricity	UT	Renter	0	0	1	0	0	2.97159e-54	6.35551e-58	4.16017e-21	7.83035e-18
0-100%	Mobile Home	Electricity	VA	Not Available	0	0	0	0	1	1.27045	11707.5	0.576231	6109.22
0-100%	Mobile Home	Electricity	VA	Owner	0.0272055	0	0.972794	0	0	0.462616	4312.08	1.81849	18249.6
0-100%	Mobile Home	Electricity	VA	Renter	0.074957	0	0.925043	0	0	0.199771	1809.23	0.634261	7025.16
0-100%	Mobile Home	Electricity	VT	Not Available	0	0	0	0	1	4.68697e-18	3.809e-18	2.92739	9693
0-100%	Mobile Home	Electricity	VT	Owner	0	0	1	0	0	2.04792e-18	1.4253e-18	1.55196	5393.91
0-100%	Mobile Home	Electricity	VT	Renter	0	0	1	0	0	5.19968e-19	5.74268e-19	1.13667	4938.48
0-100%	Mobile Home	Electricity	WA	Not Available	0	0	0	0	1	0.561035	3917.95	0.958362	7798.22
0-100%	Mobile Home	Electricity	WA	Owner	0	0	1	0	0	0.412042	2876.44	0.709183	5440.36
0-100%	Mobile Home	Electricity	WA	Renter	0.0290951	0	0.970905	0	0	0.0114743	80.302	0.324298	2610.86
0-100%	Mobile Home	Electricity	WI	Not Available	0	0	0	0	1	6.90137e-55	1.09036e-58	7.22634e-22	1.00647e-17
0-100%	Mobile Home	Electricity	WI	Owner	0	0	1	0	0	6.90137e-55	1.09036e-58	5.10095e-22	7.07655e-18
0-100%	Mobile Home	Electricity	WI	Renter	0	0	1	0	0	6.90137e-55	1.09036e-58	2.63549e-21	3.02004e-17
0-100%	Mobile Home	Electricity	WV	Not Available	0	0	0	0	1	0.759691	3309.66	3.13443	17879.2
0-100%	Mobile Home	Electricity	WV	Owner	0	0	1	0	0	0.298677	1309.65	1.28161	7054.51
0-100%	Mobile Home	Electricity	WV	Renter	0	0	1	0	0	0.105678	455.422	0.406951	2472.27
0-100%	Mobile Home	Electricity	WY	Not Available	0	0	0	0	1	0.0610427	60.474	1.32772	4445.99
0-100%	Mobile Home	Electricity	WY	Owner	0.225266	0	0.774734	0	0	0.0163951	17.4497	0.449056	1585.94
0-100%	Mobile Home	Electricity	WY	Renter	0	0	1	0	0	0.0141262	12.9543	0.227596	691.28
0-100%	Mobile Home	Fuel Oil	AK	Not Available	0	0	0	0	1	0.447596	435.417	6.36816	5648.37
0-100%	Mobile Home	Fuel Oil	AK	Owner	0.0448442	0	0.955156	0	0	0.235326	235.9	2.89511	2591.9
0-100%	Mobile Home	Fuel Oil	AK	Renter	0	0	1	0	0	0.0337542	30.3337	0.642671	561.416
0-100%	Mobile Home	Fuel Oil	AL	Not Available	0	0	0	0	1	1.04183e-17	1.04696e-17	1.22953	9827.39
0-100%	Mobile Home	Fuel Oil	AL	Owner	0	0	1	0	0	4.54026e-18	4.20678e-18	0.535823	3948.74
0-100%	Mobile Home	Fuel Oil	AL	Renter	0	0	1	0	0	1.19197e-18	1.40335e-18	0.562687	3348.83
0-100%	Mobile Home	Fuel Oil	AR	Not Available	0	0	0	0	1	4.98089e-18	4.65553e-18	1.56959	16283.1
0-100%	Mobile Home	Fuel Oil	AR	Owner	0	0	1	0	0	3.84218e-19	1.96992e-19	0.215246	2257.4
0-100%	Mobile Home	Fuel Oil	AR	Renter	0	0	1	0	0	2.47269e-18	2.93721e-18	0.415573	4216.95
0-100%	Mobile Home	Fuel Oil	AZ	Not Available	0	0	0	0	1	4.588e-18	4.86884e-18	1.93375	10518.2
0-100%	Mobile Home	Fuel Oil	AZ	Owner	0.224621	0	0.775379	0	0	2.44037e-18	2.44889e-18	2.39999	9995.67
0-100%	Mobile Home	Fuel Oil	AZ	Renter	0	0	1	0	0	3.33543e-19	4.11719e-19	1.26523	4849.36
0-100%	Mobile Home	Fuel Oil	CA	Not Available	0	0	0	0	1	2.89057e-18	2.78865e-18	0.202413	1552.48
0-100%	Mobile Home	Fuel Oil	CA	Owner	0	0	1	0	0	1.72824e-18	1.55759e-18	0.287423	1583.18
0-100%	Mobile Home	Fuel Oil	CA	Renter	0.246243	0	0.753757	0	0	1.46055e-19	1.77992e-19	0.265917	1537.17
0-100%	Mobile Home	Fuel Oil	CO	Not Available	0	0	0	0	1	2.83911e-18	2.37019e-18	1.25287	1919.34
0-100%	Mobile Home	Fuel Oil	CO	Owner	0	0	1	0	0	1.74119e-18	1.39293e-18	0.604736	977.084
0-100%	Mobile Home	Fuel Oil	CO	Renter	0	0	1	0	0	1.32525e-19	1.29108e-19	0.1083	150.487
0-100%	Mobile Home	Fuel Oil	CT	Not Available	0	0	0	0	1	6.43845e-54	1.16069e-57	1.07311e-20	2.01534e-17
0-100%	Mobile Home	Fuel Oil	CT	Owner	0	0	1	0	0	6.43845e-54	1.16069e-57	9.30025e-21	1.83335e-17
0-100%	Mobile Home	Fuel Oil	CT	Renter	0	0	1	0	0	6.43845e-54	1.16069e-57	1.07311e-20	2.64442e-17
0-100%	Mobile Home	Fuel Oil	DC	Not Available	0	0	0	0	1	4.7619e-18	4.7619e-18	1.68973	15960.4
0-100%	Mobile Home	Fuel Oil	DC	Owner	0	0	1	0	0	4.7619e-18	4.7619e-18	1.09832	10011
0-100%	Mobile Home	Fuel Oil	DC	Renter	0	0	1	0	0	4.7619e-18	4.7619e-18	0.591406	5949.43
0-100%	Mobile Home	Fuel Oil	DE	Not Available	0	0	0	0	1	0.0518752	109.508	2.66145	22677.1
0-100%	Mobile Home	Fuel Oil	DE	Owner	0	0	1	0	0	0.012402	17.3864	0.689309	5667.65
0-100%	Mobile Home	Fuel Oil	DE	Renter	0	0	1	0	0	0.012482	39.6258	0.560341	5084.94
0-100%	Mobile Home	Fuel Oil	FL	Not Available	0	0	0	0	1	3.95736e-18	3.38985e-18	0.780108	6165.83
0-100%	Mobile Home	Fuel Oil	FL	Owner	0	0	1	0	0	1.64872e-18	1.22762e-18	1.87783	10610.3
0-100%	Mobile Home	Fuel Oil	FL	Renter	0	0	1	0	0	4.84884e-19	5.37541e-19	0.669091	4172.54
0-100%	Mobile Home	Fuel Oil	GA	Not Available	0	0	0	0	1	0.111463	1208.94	1.34576	13470.3
0-100%	Mobile Home	Fuel Oil	GA	Owner	0	0	1	0	0	0.0419944	453.143	3.29568	24367.8
0-100%	Mobile Home	Fuel Oil	GA	Renter	0	0	1	0	0	0.0166237	181.782	1.12397	9172.18
0-100%	Mobile Home	Fuel Oil	HI	Not Available	0	0	0	0	1	4.7619e-18	4.7619e-18	2.87623	15216.3
0-100%	Mobile Home	Fuel Oil	HI	Owner	0	0	1	0	0	4.7619e-18	4.7619e-18	1.79764	9092.45
0-100%	Mobile Home	Fuel Oil	HI	Renter	0.0111509	0	0.988849	0	0	4.7619e-18	4.7619e-18	3.41552	12448.8
0-100%	Mobile Home	Fuel Oil	IA	Not Available	0	0	0	0	1	6.6639e-18	7.02176e-18	1.56318	7806.37
0-100%	Mobile Home	Fuel Oil	IA	Owner	0	0.0449389	0.955061	0	0	6.6639e-18	7.02176e-18	1.2158	5566.24
0-100%	Mobile Home	Fuel Oil	IA	Renter	0	0	1	0	0	7.66361e-55	1.48585e-58	1.03866e-20	5.6176e-17
0-100%	Mobile Home	Fuel Oil	ID	Not Available	0	0	0	0	1	8.97923e-18	9.24115e-18	1.01971	2279.59
0-100%	Mobile Home	Fuel Oil	ID	Owner	0	0	1	0	0	5.35316e-18	5.13203e-18	1.29184	3447.53
0-100%	Mobile Home	Fuel Oil	ID	Renter	0	0	1	0	0	4.57554e-19	5.99892e-19	0.259807	596.286
0-100%	Mobile Home	Fuel Oil	IL	Not Available	0	0	0	0	1	4.58597e-19	3.92812e-19	0.0537922	735.617
0-100%	Mobile Home	Fuel Oil	IL	Owner	0	0	1	0	0	5.20906e-55	5.06805e-59	4.313e-22	5.87492e-18
0-100%	Mobile Home	Fuel Oil	IL	Renter	0	0	1	0	0	4.58597e-19	3.92812e-19	0.196183	2207.32
0-100%	Mobile Home	Fuel Oil	IN	Not Available	0	0	0	0	1	3.33782e-18	2.78544e-18	0.703519	11271.7
0-100%	Mobile Home	Fuel Oil	IN	Owner	0	0	1	0	0	3.33782e-18	2.78544e-18	0.496602	7925.22
0-100%	Mobile Home	Fuel Oil	IN	Renter	0	0	1	0	0	4.17346e-55	6.96754e-59	1.28325e-20	1.69159e-16
0-100%	Mobile Home	Fuel Oil	KS	Not Available	0	0	0	0	1	1.28411e-18	1.72281e-18	0.608426	2746.13
0-100%	Mobile Home	Fuel Oil	KS	Owner	0	0.064452	0.935548	0	0	1.28411e-18	1.72281e-18	0.473221	1958.09
0-100%	Mobile Home	Fuel Oil	KS	Renter	0	0	1	0	0	1.59544e-54	2.65946e-58	1.09191e-20	5.33747e-17
0-100%	Mobile Home	Fuel Oil	KY	Not Available	0	0	0	0	1	2.70456e-18	1.95931e-18	1.64237	14360
0-100%	Mobile Home	Fuel Oil	KY	Owner	0	0	1	0	0	1.73133e-18	1.32727e-18	0.868988	7468.24
0-100%	Mobile Home	Fuel Oil	KY	Renter	0	0	1	0	0	1.06348e-19	6.13468e-20	0.103791	935.374
0-100%	Mobile Home	Fuel Oil	LA	Not Available	0	0	0	0	1	7.82577e-18	7.33505e-18	0.638457	4416.22
0-100%	Mobile Home	Fuel Oil	LA	Owner	0	0	1	0	0	4.51444e-18	4.03501e-18	0.368305	2429.36
0-100%	Mobile Home	Fuel Oil	LA	Renter	0	0	1	0	0	4.49222e-19	4.89435e-19	0.146597	1409.99
0-100%	Mobile Home	Fuel Oil	MA	Not Available	0	0	0	0	1	0.0199441	81.0042	0.685944	1110.86
0-100%	Mobile Home	Fuel Oil	MA	Owner	0	0	1	0	0	0.0199441	81.0042	0.594485	1010.55
0-100%	Mobile Home	Fuel Oil	MA	Renter	0	0	1	0	0	5.12049e-38	5.33953e-38	1.76111e-20	3.74232e-17
0-100%	Mobile Home	Fuel Oil	MD	Not Available	0	0	0	0	1	2.25279e-17	1.67508e-17	3.52561	26213.7
0-100%	Mobile Home	Fuel Oil	MD	Owner	0	0	1	0	0	7.09112e-18	6.6387e-18	1.44268	10351
0-100%	Mobile Home	Fuel Oil	MD	Renter	0	0	1	0	0	4.17284e-18	2.29888e-18	0.457133	3619.93
0-100%	Mobile Home	Fuel Oil	ME	Not Available	0	0	0	0	1	0.0911432	188.579	0.503695	966.226
0-100%	Mobile Home	Fuel Oil	ME	Owner	0	0	1	0	0	0.0911432	188.579	0.436535	878.974
0-100%	Mobile Home	Fuel Oil	ME	Renter	0	0	1	0	0	5.14189e-38	5.40174e-38	8.52486e-21	2.14576e-17
0-100%	Mobile Home	Fuel Oil	MI	Not Available	0	0	0	0	1	4.67603e-18	4.73803e-18	0.242567	3667.45
0-100%	Mobile Home	Fuel Oil	MI	Owner	0	0	1	0	0	1.29783e-18	1.45995e-18	0.0950458	1431.38
0-100%	Mobile Home	Fuel Oil	MI	Renter	0	0	1	0	0	1.04019e-18	9.37836e-19	0.393585	4896.01
0-100%	Mobile Home	Fuel Oil	MN	Not Available	0	0	0	0	1	9.38313e-18	8.02504e-18	1.05795	5135.72
0-100%	Mobile Home	Fuel Oil	MN	Owner	0	0.0587342	0.941266	0	0	9.38313e-18	8.02504e-18	0.822852	3661.97
0-100%	Mobile Home	Fuel Oil	MN	Renter	0	0	1	0	0	1.09057e-54	1.73452e-58	7.10449e-21	3.73512e-17
0-100%	Mobile Home	Fuel Oil	MO	Not Available	0	0	0	0	1	1.08424e-17	8.79609e-18	0.744152	4213.59
0-100%	Mobile Home	Fuel Oil	MO	Owner	0	0.0609255	0.939074	0	0	4.51059e-18	3.1068e-18	0.928736	3614.26
0-100%	Mobile Home	Fuel Oil	MO	Renter	0	0	1	0	0	1.3196e-18	1.44771e-18	1.1774	5412.88
0-100%	Mobile Home	Fuel Oil	MS	Not Available	0	0	0	0	1	0.0995739	707.272	1.1279	9086.36
