Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=Finished Attic or Cathedral Ceilings	Option=None	Option=Unvented Attic	Option=Vented Attic	source_count	source_weight	fallback_count	fallback_weight
East South Central	Multi-Family with 2 - 4 Units	2	1980-99	0	1	0	0	19	32861.9	19	32861.9
East South Central	Multi-Family with 2 - 4 Units	3	1980-99	0	1	0	0	19	32861.9	19	32861.9
East South Central	Multi-Family with 2 - 4 Units	4+	1980-99	0	1	0	0	19	32861.9	19	32861.9
East South Central	Multi-Family with 5+ Units	1	1980-99	0	1	0	0	32	74963.9	32	74963.9
East South Central	Multi-Family with 5+ Units	2	1980-99	0	1	0	0	32	74963.9	32	74963.9
East South Central	Multi-Family with 5+ Units	3	1980-99	0	1	0	0	32	74963.9	32	74963.9
East South Central	Multi-Family with 5+ Units	4+	1980-99	0	1	0	0	32	74963.9	32	74963.9
East South Central	Single-Family Attached	1	1980-99	0	0.369925	0.211311	0.418764	13	32388	13	32388
East South Central	Single-Family Attached	2	1980-99	0	0.46093	0	0.53907	20	44507.5	20	44507.5
East South Central	Single-Family Attached	3	1980-99	0	0.377417	0.138998	0.483585	2	4863.99	15	56103.5
East South Central	Single-Family Attached	4+	1980-99	0	1	0	0	0	0	11	42818.1
East South Central	Single-Family Detached	1	1980-99	0	0.2408	0.0831289	0.676071	156	942736	156	942736
East South Central	Single-Family Detached	2	1980-99	0.0828816	0.265525	0.0381688	0.613425	88	481509	88	481509
East South Central	Single-Family Detached	3	1980-99	0.0402998	0.216985	0.0402998	0.702415	3	14385.9	19	118413
East South Central	Single-Family Detached	4+	1980-99	0	1	0	0	0	0	11	42818.1
East South Central	Mobile Home	1	2000-09	0	1	0	0	30	33422.2	30	33422.2
East South Central	Mobile Home	2	2000-09	0	1	0	0	30	33422.2	30	33422.2
East South Central	Mobile Home	3	2000-09	0	1	0	0	30	33422.2	30	33422.2
East South Central	Mobile Home	4+	2000-09	0	1	0	0	30	33422.2	30	33422.2
East South Central	Multi-Family with 2 - 4 Units	1	2000-09	0	1	0	0	11	17019.5	11	17019.5
East South Central	Multi-Family with 2 - 4 Units	2	2000-09	0	1	0	0	11	17019.5	11	17019.5
East South Central	Multi-Family with 2 - 4 Units	3	2000-09	0	1	0	0	11	17019.5	11	17019.5
East South Central	Multi-Family with 2 - 4 Units	4+	2000-09	0	1	0	0	11	17019.5	11	17019.5
East South Central	Multi-Family with 5+ Units	1	2000-09	0	1	0	0	19	29865.1	19	29865.1
East South Central	Multi-Family with 5+ Units	2	2000-09	0	1	0	0	19	29865.1	19	29865.1
East South Central	Multi-Family with 5+ Units	3	2000-09	0	1	0	0	19	29865.1	19	29865.1
East South Central	Multi-Family with 5+ Units	4+	2000-09	0	1	0	0	19	29865.1	19	29865.1
East South Central	Single-Family Attached	1	2000-09	0	0.203873	0.135574	0.660553	9	15926.9	16	30021.3
East South Central	Single-Family Attached	2	2000-09	0.209865	0.265978	0.108033	0.416124	6	11401.1	13	24684.9
East South Central	Single-Family Attached	3	2000-09	0.0357304	0.342313	0.105107	0.516849	0	0	29	131561
East South Central	Single-Family Attached	4+	2000-09	0	1	0	0	0	0	11	42818.1
East South Central	Single-Family Detached	1	2000-09	0	0.248874	0.0800361	0.67109	96	423369	96	423369
East South Central	Single-Family Detached	2	2000-09	0.0618382	0.145302	0.0331498	0.75971	78	314334	78	314334
East South Central	Single-Family Detached	3	2000-09	0.189144	0.211057	0.052597	0.547202	2	7046.54	16	92029.6
East South Central	Single-Family Detached	4+	2000-09	0	1	0	0	0	0	11	42818.1
East South Central	Mobile Home	1	2010s	0	1	0	0	12	17221.5	12	17221.5
East South Central	Mobile Home	2	2010s	0	1	0	0	12	17221.5	12	17221.5
East South Central	Mobile Home	3	2010s	0	1	0	0	12	17221.5	12	17221.5
East South Central	Mobile Home	4+	2010s	0	1	0	0	12	17221.5	12	17221.5
East South Central	Multi-Family with 2 - 4 Units	1	2010s	0	1	0	0	7	11277.8	18	28297.3
East South Central	Multi-Family with 2 - 4 Units	2	2010s	0	1	0	0	7	11277.8	18	28297.3
East South Central	Multi-Family with 2 - 4 Units	3	2010s	0	1	0	0	7	11277.8	18	28297.3
East South Central	Multi-Family with 2 - 4 Units	4+	2010s	0	1	0	0	7	11277.8	18	28297.3
East South Central	Multi-Family with 5+ Units	1	2010s	0	1	0	0	21	39876	21	39876
East South Central	Multi-Family with 5+ Units	2	2010s	0	1	0	0	21	39876	21	39876
East South Central	Multi-Family with 5+ Units	3	2010s	0	1	0	0	21	39876	21	39876
East South Central	Multi-Family with 5+ Units	4+	2010s	0	1	0	0	21	39876	21	39876
East South Central	Single-Family Attached	1	2010s	0	0.203873	0.135574	0.660553	7	14094.4	16	30021.3
East South Central	Single-Family Attached	2	2010s	0.209865	0.265978	0.108033	0.416124	7	13283.8	13	24684.9
East South Central	Single-Family Attached	3	2010s	0.0357304	0.342313	0.105107	0.516849	1	1867.03	29	131561
East South Central	Single-Family Attached	4+	2010s	0	1	0	0	0	0	11	42818.1
East South Central	Single-Family Detached	1	2010s	0	0.129259	0.130076	0.740664	49	283356	49	283356
East South Central	Single-Family Detached	2	2010s	0.0255246	0.243615	0.100873	0.629988	24	123279	24	123279
East South Central	Single-Family Detached	3	2010s	0.189144	0.211057	0.052597	0.547202	1	6031.98	16	92029.6
East South Central	Single-Family Detached	4+	2010s	0	1	0	0	0	0	11	42818.1
East South Central	Mobile Home	1	<1940	0	1	0	0	4	3384.29	14	34841.4
East South Central	Mobile Home	2	<1940	0	1	0	0	4	3384.29	14	34841.4
East South Central	Mobile Home	3	<1940	0	1	0	0	4	3384.29	14	34841.4
East South Central	Mobile Home	4+	<1940	0	1	0	0	4	3384.29	14	34841.4
East South Central	Multi-Family with 2 - 4 Units	1	<1940	0	1	0	0	4	3570.32	45	68681.8
East South Central	Multi-Family with 2 - 4 Units	2	<1940	0	1	0	0	4	3570.32	45	68681.8
East South Central	Multi-Family with 2 - 4 Units	3	<1940	0	1	0	0	4	3570.32	45	68681.8
East South Central	Multi-Family with 2 - 4 Units	4+	<1940	0	1	0	0	4	3570.32	45	68681.8
East South Central	Multi-Family with 5+ Units	1	<1940	0	1	0	0	4	4699.69	92	135922
East South Central	Multi-Family with 5+ Units	2	<1940	0	1	0	0	4	4699.69	92	135922
East South Central	Multi-Family with 5+ Units	3	<1940	0	1	0	0	4	4699.69	92	135922
East South Central	Multi-Family with 5+ Units	4+	<1940	0	1	0	0	4	4699.69	92	135922
East South Central	Single-Family Attached	1	<1940	0	0.595458	0.0791264	0.325416	3	5204.46	26	124657
East South Central	Single-Family Attached	2	<1940	0.0490557	0.502562	0.0484081	0.399974	0	0	68	199609
East South Central	Single-Family Attached	3	<1940	0.113654	0.625252	0.0157067	0.245388	0	0	13	29895.8
East South Central	Single-Family Attached	4+	<1940	0	1	0	0	0	0	11	42818.1
East South Central	Single-Family Detached	1	<1940	0	0.338128	0.0851949	0.576677	88	319352	88	319352
East South Central	Single-Family Detached	2	<1940	0.102204	0.402271	0.0543988	0.441126	42	124743	42	124743
East South Central	Single-Family Detached	3	<1940	0.156637	0.283075	0.0942007	0.466088	3	7335.64	14	96936.2
East South Central	Single-Family Detached	4+	<1940	0	1	0	0	0	0	11	42818.1
Middle Atlantic	Mobile Home	1	1940-59	0	1	0	0	3	6566.09	101	124339
Middle Atlantic	Mobile Home	2	1940-59	0	1	0	0	3	6566.09	101	124339
Middle Atlantic	Mobile Home	3	1940-59	0	1	0	0	3	6566.09	101	124339
Middle Atlantic	Mobile Home	4+	1940-59	0	1	0	0	3	6566.09	101	124339
Middle Atlantic	Multi-Family with 2 - 4 Units	1	1940-59	0	1	0	0	84	127463	84	127463
Middle Atlantic	Multi-Family with 2 - 4 Units	2	1940-59	0	1	0	0	84	127463	84	127463
Middle Atlantic	Multi-Family with 2 - 4 Units	3	1940-59	0	1	0	0	84	127463	84	127463
Middle Atlantic	Multi-Family with 2 - 4 Units	4+	1940-59	0	1	0	0	84	127463	84	127463
Middle Atlantic	Multi-Family with 5+ Units	1	1940-59	0	1	0	0	144	199880	144	199880
Middle Atlantic	Multi-Family with 5+ Units	2	1940-59	0	1	0	0	144	199880	144	199880
Middle Atlantic	Multi-Family with 5+ Units	3	1940-59	0	1	0	0	144	199880	144	199880
Middle Atlantic	Multi-Family with 5+ Units	4+	1940-59	0	1	0	0	144	199880	144	199880
Middle Atlantic	Single-Family Attached	1	1940-59	0	0.588969	0	0.411031	5	27623.9	11	57705.6
Middle Atlantic	Single-Family Attached	2	1940-59	0.128293	0.586991	0.0323464	0.252369	64	225157	64	225157
Middle Atlantic	Single-Family Attached	3	1940-59	0.115317	0.683335	0	0.201349	10	24482.3	10	24482.3
Middle Atlantic	Single-Family Attached	4+	1940-59	0	1	0	0	1	2743.03	12	71677.9
Middle Atlantic	Single-Family Detached	1	1940-59	0	0.319664	0.0597603	0.620576	152	839522	152	839522
Middle Atlantic	Single-Family Detached	2	1940-59	0.110656	0.403167	0.0703389	0.415839	338	1.23418e+06	338	1.23418e+06
Middle Atlantic	Single-Family Detached	3	1940-59	0.232119	0.219984	0.0647588	0.483138	29	137405	29	137405
Middle Atlantic	Single-Family Detached	4+	1940-59	0	1	0	0	3	13372.9	10	58505.5
Middle Atlantic	Mobile Home	1	1960-79	0	1	0	0	12	25684.9	12	25684.9
Middle Atlantic	Mobile Home	2	1960-79	0	1	0	0	12	25684.9	12	25684.9
Middle Atlantic	Mobile Home	3	1960-79	0	1	0	0	12	25684.9	12	25684.9
Middle Atlantic	Mobile Home	4+	1960-79	0	1	0	0	12	25684.9	12	25684.9
Middle Atlantic	Multi-Family with 2 - 4 Units	1	1960-79	0	1	0	0	44	128934	44	128934
Middle Atlantic	Multi-Family with 2 - 4 Units	2	1960-79	0	1	0	0	44	128934	44	128934
Middle Atlantic	Multi-Family with 2 - 4 Units	3	1960-79	0	1	0	0	44	128934	44	128934
Middle Atlantic	Multi-Family with 2 - 4 Units	4+	1960-79	0	1	0	0	44	128934	44	128934
Middle Atlantic	Multi-Family with 5+ Units	1	1960-79	0	1	0	0	99	256488	99	256488
Middle Atlantic	Multi-Family with 5+ Units	2	1960-79	0	1	0	0	99	256488	99	256488
Middle Atlantic	Multi-Family with 5+ Units	3	1960-79	0	1	0	0	99	256488	99	256488
Middle Atlantic	Multi-Family with 5+ Units	4+	1960-79	0	1	0	0	99	256488	99	256488
Middle Atlantic	Single-Family Attached	1	1960-79	0	0.587838	0.0402664	0.371895	12	72813.6	12	72813.6
Middle Atlantic	Single-Family Attached	2	1960-79	0.118277	0.46591	0.0376729	0.378141	25	167542	25	167542
Middle Atlantic	Single-Family Attached	3	1960-79	0.0616637	0.641638	0.00163028	0.295068	7	55551.4	64	342360
Middle Atlantic	Single-Family Attached	4+	1960-79	0	1	0	0	0	0	12	71677.9
Middle Atlantic	Single-Family Detached	1	1960-79	0	0.427344	0.0387217	0.533934	109	741905	109	741905
Middle Atlantic	Single-Family Detached	2	1960-79	0.050074	0.335766	0.0302322	0.583927	165	1.05719e+06	165	1.05719e+06
Middle Atlantic	Single-Family Detached	3	1960-79	0.0729743	0.289785	0.0528518	0.584389	8	50299.3	21	88230.7
Middle Atlantic	Single-Family Detached	4+	1960-79	0	1	0	0	2	12475.7	10	58505.5
Middle Atlantic	Mobile Home	1	1980-99	0	1	0	0	23	43697.7	23	43697.7
Middle Atlantic	Mobile Home	2	1980-99	0	1	0	0	23	43697.7	23	43697.7
Middle Atlantic	Mobile Home	3	1980-99	0	1	0	0	23	43697.7	23	43697.7
Middle Atlantic	Mobile Home	4+	1980-99	0	1	0	0	23	43697.7	23	43697.7
