Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 5+ Units	Wood	SD	2000s	0	0.468141	0	0.531859	0	0	0	21	103803
Multi-Family with 5+ Units	Electricity	SD	2010s	0.350112	0.537035	0	0.112853	0	3	8679.07	21	86014.2
Multi-Family with 5+ Units	Fuel Oil	SD	2010s	0	0.333146	0	0.666854	0	0	0	19	118077
Multi-Family with 5+ Units	Natural Gas	SD	2010s	0	0.868052	0	0.131948	0	2	6415.78	11	79935.6
Multi-Family with 5+ Units	None	SD	2010s	0	0	0	0	1	1	3886.79	76	725667
Multi-Family with 5+ Units	Other Fuel	SD	2010s	0	0.468141	0	0.531859	0	0	0	21	103803
Multi-Family with 5+ Units	Propane	SD	2010s	0	0.333146	0	0.666854	0	0	0	19	118077
Multi-Family with 5+ Units	Wood	SD	2010s	0	0.468141	0	0.531859	0	0	0	21	103803
Multi-Family with 5+ Units	Electricity	SD	<1940	0	0.560681	0	0.439319	0	0	0	12	71832
Multi-Family with 5+ Units	Fuel Oil	SD	<1940	0	0.333146	0	0.666854	0	0	0	19	118077
Multi-Family with 5+ Units	Natural Gas	SD	<1940	0	0.772063	0	0.227937	0	1	2689.73	17	98641.3
Multi-Family with 5+ Units	None	SD	<1940	0	0	0	0	1	0	0	32	344131
Multi-Family with 5+ Units	Other Fuel	SD	<1940	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 5+ Units	Propane	SD	<1940	0	0.333146	0	0.666854	0	0	0	19	118077
Multi-Family with 5+ Units	Wood	SD	<1940	0	0.290043	0	0.709957	0	0	0	75	564178
Single-Family Attached	Electricity	SD	1940s	0.222519	0.312799	0.119464	0.345218	0	0	0	24	27366.8
Single-Family Attached	Fuel Oil	SD	1940s	0	0.841802	0	0.158198	0	0	0	53	72976.8
Single-Family Attached	Natural Gas	SD	1940s	0	0.873613	0	0.126387	0	0	0	195	308121
Single-Family Attached	None	SD	1940s	0	0	0	0	1	0	0	77	520210
Single-Family Attached	Other Fuel	SD	1940s	0	0.144735	0	0.855265	0	0	0	22	52318.9
Single-Family Attached	Propane	SD	1940s	0	0.837078	0	0.162922	0	0	0	48	67308.4
Single-Family Attached	Wood	SD	1940s	0	0.144735	0	0.855265	0	0	0	22	52318.9
Single-Family Attached	Electricity	SD	1950s	0.172437	0.390234	0	0.437329	0	0	0	12	37422
Single-Family Attached	Fuel Oil	SD	1950s	0	0.5805	0	0.4195	0	0	0	13	47976.3
Single-Family Attached	Natural Gas	SD	1950s	0	0.971628	0	0.0283723	0	0	0	136	660595
Single-Family Attached	None	SD	1950s	0	0	0	0	1	0	0	77	520210
Single-Family Attached	Other Fuel	SD	1950s	0	0.13651	0	0.86349	0	0	0	23	198821
Single-Family Attached	Propane	SD	1950s	0	0.640099	0	0.359901	0	0	0	12	43509.2
Single-Family Attached	Wood	SD	1950s	0	0.13651	0	0.86349	0	0	0	23	198821
Single-Family Attached	Electricity	SD	1960s	0.30821	0.231279	0	0.46051	0	0	0	13	56608.7
Single-Family Attached	Fuel Oil	SD	1960s	0	0.60627	0	0.39373	0	0	0	18	62980.7
Single-Family Attached	Natural Gas	SD	1960s	0	0.929729	0	0.0702708	0	0	0	113	520750
Single-Family Attached	None	SD	1960s	0	0	0	0	1	0	0	136	786693
Single-Family Attached	Other Fuel	SD	1960s	0	0.091797	0	0.908203	0	0	0	16	110762
Single-Family Attached	Propane	SD	1960s	0	0.594108	0	0.405892	0	0	0	16	61093.7
Single-Family Attached	Wood	SD	1960s	0	0.091797	0	0.908203	0	0	0	16	110762
Single-Family Attached	Electricity	SD	1970s	0.265195	0.418811	0	0.315994	0	0	0	46	200765
Single-Family Attached	Fuel Oil	SD	1970s	0	0.754292	0	0.245708	0	0	0	31	124157
Single-Family Attached	Natural Gas	SD	1970s	0	0.9287	0	0.0713003	0	1	1720.4	13	37856.5
Single-Family Attached	None	SD	1970s	0	0	0	0	1	0	0	136	786693
Single-Family Attached	Other Fuel	SD	1970s	0	0.0189361	0	0.981064	0	0	0	13	87544.5
Single-Family Attached	Propane	SD	1970s	0	0.741087	0	0.258913	0	0	0	27	110348
Single-Family Attached	Wood	SD	1970s	0	0.0189361	0	0.981064	0	0	0	13	87544.5
Single-Family Attached	Electricity	SD	1980s	0.29362	0.526445	0	0.179935	0	0	0	31	93873.3
Single-Family Attached	Fuel Oil	SD	1980s	0	0.708579	0	0.291421	0	0	0	15	41079.8
Single-Family Attached	Natural Gas	SD	1980s	0	1	0	0	0	2	2053.47	16	52161.1
Single-Family Attached	None	SD	1980s	0	0	0	0	1	0	0	139	843203
Single-Family Attached	Other Fuel	SD	1980s	0	0.256606	0	0.743394	0	0	0	15	116132
Single-Family Attached	Propane	SD	1980s	0	0.685652	0	0.314348	0	0	0	12	30801.6
Single-Family Attached	Wood	SD	1980s	0	0.256606	0	0.743394	0	0	0	15	116132
Single-Family Attached	Electricity	SD	1990s	0.279432	0.538478	0	0.182089	0	0	0	24	122434
Single-Family Attached	Fuel Oil	SD	1990s	0	0.902981	0	0.0970191	0	0	0	29	128735
Single-Family Attached	Natural Gas	SD	1990s	0	1	0	0	0	2	2549.35	27	95024.6
Single-Family Attached	None	SD	1990s	0	0	0	0	1	0	0	139	843203
Single-Family Attached	Other Fuel	SD	1990s	0	0.256606	0	0.743394	0	0	0	15	116132
Single-Family Attached	Propane	SD	1990s	0	0.933576	0	0.0664244	0	0	0	23	101249
Single-Family Attached	Wood	SD	1990s	0	0.256606	0	0.743394	0	0	0	15	116132
Single-Family Attached	Electricity	SD	2000s	0.356087	0.465143	0	0.17877	0	0	0	44	171587
Single-Family Attached	Fuel Oil	SD	2000s	0	0.897007	0	0.102993	0	0	0	25	108110
Single-Family Attached	Natural Gas	SD	2000s	0	1	0	0	0	2	1941.23	25	55426.1
Single-Family Attached	None	SD	2000s	0	0	0	0	1	0	0	115	716729
Single-Family Attached	Other Fuel	SD	2000s	0	0.201339	0	0.798661	0	0	0	13	76043
Single-Family Attached	Propane	SD	2000s	0	0.915101	0	0.084899	0	0	0	18	70897.2
Single-Family Attached	Wood	SD	2000s	0	0.201339	0	0.798661	0	0	0	13	76043
Single-Family Attached	Electricity	SD	2010s	0.371509	0.444476	0.0261392	0.157876	0	1	1568.2	36	135245
Single-Family Attached	Fuel Oil	SD	2010s	0	0.57574	0	0.42426	0	0	0	19	55367.9
Single-Family Attached	Natural Gas	SD	2010s	0	0.882692	0	0.117308	0	5	6011.65	20	34242.9
Single-Family Attached	None	SD	2010s	0	0	0	0	1	0	0	115	716729
Single-Family Attached	Other Fuel	SD	2010s	0	0.201339	0	0.798661	0	0	0	13	76043
Single-Family Attached	Propane	SD	2010s	0	0.568991	0	0.431009	0	0	0	16	52647
Single-Family Attached	Wood	SD	2010s	0	0.201339	0	0.798661	0	0	0	13	76043
Single-Family Attached	Electricity	SD	<1940	0.222519	0.312799	0.119464	0.345218	0	0	0	24	70722
Single-Family Attached	Fuel Oil	SD	<1940	0	0.841802	0	0.158198	0	0	0	53	188589
Single-Family Attached	Natural Gas	SD	<1940	0	0.873613	0	0.126387	0	0	0	195	796255
Single-Family Attached	None	SD	<1940	0	0	0	0	1	0	0	77	520210
Single-Family Attached	Other Fuel	SD	<1940	0	0.144735	0	0.855265	0	0	0	22	135204
Single-Family Attached	Propane	SD	<1940	0	0.837078	0	0.162922	0	0	0	48	173940
Single-Family Attached	Wood	SD	<1940	0	0.144735	0	0.855265	0	0	0	22	135204
Single-Family Detached	Electricity	SD	1940s	0.23903	0.269147	0.128328	0.363495	0	5	3218.1	21	25476.4
Single-Family Detached	Fuel Oil	SD	1940s	0	0.841802	0	0.158198	0	1	541.439	53	72976.8
Single-Family Detached	Natural Gas	SD	1940s	0	0.53106	0	0.46894	0	11	6401.63	11	6401.63
Single-Family Detached	None	SD	1940s	0	0	0	0	1	0	0	77	520210
Single-Family Detached	Other Fuel	SD	1940s	0	0.144735	0	0.855265	0	0	0	22	52318.9
Single-Family Detached	Propane	SD	1940s	0	0.836574	0	0.163426	0	5	2945.33	47	67101
Single-Family Detached	Wood	SD	1940s	0	0.144735	0	0.855265	0	1	533.634	22	52318.9
Single-Family Detached	Electricity	SD	1950s	0.106718	0.421224	0	0.472058	0	1	1671.92	11	34668.9
Single-Family Detached	Fuel Oil	SD	1950s	0	0.5805	0	0.4195	0	0	0	13	47976.3
Single-Family Detached	Natural Gas	SD	1950s	0	1	0	0	0	12	19759.9	12	19759.9
Single-Family Detached	None	SD	1950s	0	0	0	0	1	0	0	77	520210
Single-Family Detached	Other Fuel	SD	1950s	0	0.13651	0	0.86349	0	0	0	23	198821
Single-Family Detached	Propane	SD	1950s	0	0.640099	0	0.359901	0	2	3567.89	12	43509.2
Single-Family Detached	Wood	SD	1950s	0	0.13651	0	0.86349	0	0	0	23	198821
Single-Family Detached	Electricity	SD	1960s	0.30821	0.231279	0	0.46051	0	1	1853	13	56608.7
Single-Family Detached	Fuel Oil	SD	1960s	0	0.60627	0	0.39373	0	0	0	18	62980.7
Single-Family Detached	Natural Gas	SD	1960s	0	0.824222	0	0.175778	0	11	18922.8	11	18922.8
Single-Family Detached	None	SD	1960s	0	0	0	0	1	0	0	136	786693
Single-Family Detached	Other Fuel	SD	1960s	0	0.091797	0	0.908203	0	0	0	16	110762
Single-Family Detached	Propane	SD	1960s	0	0.594108	0	0.405892	0	1	1886.2	16	61093.7
Single-Family Detached	Wood	SD	1960s	0	0.091797	0	0.908203	0	0	0	16	110762
Single-Family Detached	Electricity	SD	1970s	0.293902	0.405876	0	0.300222	0	6	11312.9	40	181155
Single-Family Detached	Fuel Oil	SD	1970s	0	0.754292	0	0.245708	0	0	0	31	124157
Single-Family Detached	Natural Gas	SD	1970s	0	0.93732	0	0.0626796	0	16	27832.4	16	27832.4
Single-Family Detached	None	SD	1970s	0	0	0	0	1	0	0	136	786693
Single-Family Detached	Other Fuel	SD	1970s	0	0.0189361	0	0.981064	0	0	0	13	87544.5
Single-Family Detached	Propane	SD	1970s	0	0.741087	0	0.258913	0	2	3345.96	27	110348
