Dependency=Clothes Washer Presence	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage	Option=EnergyStar	Option=None	Option=Standard	Option=Void	source_count	source_weight	fallback_count	fallback_weight
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	1980s	0	0	0	1	2.95868	30768.3	2.95868	30768.3
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	1990s	0	0	0	1	1.95795	20313.7	1.95795	20313.7
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	2000s	0	0	0	1	1.34881	10833.1	1.34881	10833.1
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	0	1	0.565631	3650.31	0.565631	3650.31
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	0	1	5.22121	39226.3	5.22121	39226.3
None	0-100%	Multi-Family with 2 - 4 Units	Owner	1940s	0	1	0	0	0.0132485	45.0365	0.0132485	45.0365
None	0-100%	Multi-Family with 2 - 4 Units	Owner	1950s	0	1	0	0	0.00552019	70.0802	0.00552019	70.0802
None	0-100%	Multi-Family with 2 - 4 Units	Owner	1960s	0	1	0	0	0.00750746	85.5441	0.00750746	85.5441
None	0-100%	Multi-Family with 2 - 4 Units	Owner	1970s	0	1	0	0	0.0101572	112.073	0.0101572	112.073
None	0-100%	Multi-Family with 2 - 4 Units	Owner	1980s	0	1	0	0	0.00750746	91.2898	0.00750746	91.2898
None	0-100%	Multi-Family with 2 - 4 Units	Owner	1990s	0	1	0	0	0.00496817	60.2708	0.00496817	60.2708
None	0-100%	Multi-Family with 2 - 4 Units	Owner	2000s	0	1	0	0	0.00342252	32.1417	0.00342252	32.1417
None	0-100%	Multi-Family with 2 - 4 Units	Owner	2010s	0	1	0	0	0.00143525	10.8305	0.00143525	10.8305
None	0-100%	Multi-Family with 2 - 4 Units	Owner	<1940	0	1	0	0	0.0132485	116.385	0.0132485	116.385
None	0-100%	Multi-Family with 2 - 4 Units	Renter	1940s	0	1	0	0	4.70683	13570.5	4.70683	13570.5
None	0-100%	Multi-Family with 2 - 4 Units	Renter	1950s	0	1	0	0	1.96118	21116.8	1.96118	21116.8
None	0-100%	Multi-Family with 2 - 4 Units	Renter	1960s	0	1	0	0	2.6672	25776.4	2.6672	25776.4
None	0-100%	Multi-Family with 2 - 4 Units	Renter	1970s	0	1	0	0	3.60857	33770	3.60857	33770
None	0-100%	Multi-Family with 2 - 4 Units	Renter	1980s	0	1	0	0	2.6672	27507.7	2.6672	27507.7
None	0-100%	Multi-Family with 2 - 4 Units	Renter	1990s	0	1	0	0	1.76506	18161	1.76506	18161
None	0-100%	Multi-Family with 2 - 4 Units	Renter	2000s	0	1	0	0	1.21593	9685.04	1.21593	9685.04
None	0-100%	Multi-Family with 2 - 4 Units	Renter	2010s	0	1	0	0	0.509907	3263.48	0.509907	3263.48
None	0-100%	Multi-Family with 2 - 4 Units	Renter	<1940	0	1	0	0	4.70683	35069.4	4.70683	35069.4
None	0-100%	Multi-Family with 5+ Units	Not Available	1940s	0	0	0	1	4.18774	12206	4.18774	12206
None	0-100%	Multi-Family with 5+ Units	Not Available	1950s	0	0	0	1	1.9915	18845.7	1.9915	18845.7
None	0-100%	Multi-Family with 5+ Units	Not Available	1960s	0	0	0	1	3.72243	35787.2	3.72243	35787.2
None	0-100%	Multi-Family with 5+ Units	Not Available	1970s	0	0	0	1	5.08112	49623.8	5.08112	49623.8
None	0-100%	Multi-Family with 5+ Units	Not Available	1980s	0	0	0	1	3.29435	32678.1	3.29435	32678.1
None	0-100%	Multi-Family with 5+ Units	Not Available	1990s	0	0	0	1	1.6751	16400.5	1.6751	16400.5
None	0-100%	Multi-Family with 5+ Units	Not Available	2000s	0	0	0	1	1.58203	14394.6	1.58203	14394.6
None	0-100%	Multi-Family with 5+ Units	Not Available	2010s	0	0	0	1	0.949221	8219.2	0.949221	8219.2
None	0-100%	Multi-Family with 5+ Units	Not Available	<1940	0	0	0	1	4.18774	31543.2	4.18774	31543.2
None	0-100%	Multi-Family with 5+ Units	Owner	1940s	0	1	0	0	0.00739719	20.1467	0.00739719	20.1467
None	0-100%	Multi-Family with 5+ Units	Owner	1950s	0	1	0	0	0.00351778	31.1059	0.00351778	31.1059
None	0-100%	Multi-Family with 5+ Units	Owner	1960s	0	1	0	0	0.00657528	59.0689	0.00657528	59.0689
None	0-100%	Multi-Family with 5+ Units	Owner	1970s	0	1	0	0	0.00897526	81.9069	0.00897526	81.9069
None	0-100%	Multi-Family with 5+ Units	Owner	1980s	0	1	0	0	0.00581913	53.937	0.00581913	53.937
None	0-100%	Multi-Family with 5+ Units	Owner	1990s	0	1	0	0	0.00295888	27.07	0.00295888	27.07
None	0-100%	Multi-Family with 5+ Units	Owner	2000s	0	1	0	0	0.0027945	23.7592	0.0027945	23.7592
None	0-100%	Multi-Family with 5+ Units	Owner	2010s	0	1	0	0	0.0016767	13.5663	0.0016767	13.5663
None	0-100%	Multi-Family with 5+ Units	Owner	<1940	0	1	0	0	0.00739719	52.0638	0.00739719	52.0638
None	0-100%	Multi-Family with 5+ Units	Renter	1940s	0	1	0	0	3.84292	11234.4	3.84292	11234.4
None	0-100%	Multi-Family with 5+ Units	Renter	1950s	0	1	0	0	1.82752	17345.5	1.82752	17345.5
None	0-100%	Multi-Family with 5+ Units	Renter	1960s	0	1	0	0	3.41593	32938.4	3.41593	32938.4
None	0-100%	Multi-Family with 5+ Units	Renter	1970s	0	1	0	0	4.66275	45673.5	4.66275	45673.5
None	0-100%	Multi-Family with 5+ Units	Renter	1980s	0	1	0	0	3.0231	30076.8	3.0231	30076.8
None	0-100%	Multi-Family with 5+ Units	Renter	1990s	0	1	0	0	1.53717	15095	1.53717	15095
None	0-100%	Multi-Family with 5+ Units	Renter	2000s	0	1	0	0	1.45177	13248.8	1.45177	13248.8
None	0-100%	Multi-Family with 5+ Units	Renter	2010s	0	1	0	0	0.871063	7564.92	0.871063	7564.92
None	0-100%	Multi-Family with 5+ Units	Renter	<1940	0	1	0	0	3.84292	29032.2	3.84292	29032.2
None	0-100%	Single-Family Attached	Not Available	1940s	0	0	0	1	0.153789	330.48	0.153789	330.48
None	0-100%	Single-Family Attached	Not Available	1950s	0	0	0	1	0.0999627	453.124	0.0999627	453.124
None	0-100%	Single-Family Attached	Not Available	1960s	0	0	0	1	0.153789	885.634	0.153789	885.634
None	0-100%	Single-Family Attached	Not Available	1970s	0	0	0	1	0.153789	759.343	0.153789	759.343
None	0-100%	Single-Family Attached	Not Available	1980s	0	0	0	1	0.169168	939.729	0.169168	939.729
None	0-100%	Single-Family Attached	Not Available	1990s	0	0	0	1	0.115342	721.129	0.115342	721.129
None	0-100%	Single-Family Attached	Not Available	2000s	0	0	0	1	0.0768944	350.827	0.0768944	350.827
None	0-100%	Single-Family Attached	Not Available	2010s	0	0	0	1	0.0230683	63.5225	0.13841	606.619
None	0-100%	Single-Family Attached	Not Available	<1940	0	0	0	1	0.153789	854.035	0.153789	854.035
None	0-100%	Single-Family Attached	Owner	1940s	0	1	0	0	0.00908662	20.242	0.00908662	20.242
None	0-100%	Single-Family Attached	Owner	1950s	0	1	0	0	0.0059063	27.7541	0.0059063	27.7541
None	0-100%	Single-Family Attached	Owner	1960s	0	1	0	0	0.00908662	54.2456	0.00908662	54.2456
None	0-100%	Single-Family Attached	Owner	1970s	0	1	0	0	0.00908662	46.5101	0.00908662	46.5101
None	0-100%	Single-Family Attached	Owner	1980s	0	1	0	0	0.00999529	57.5589	0.00999529	57.5589
None	0-100%	Single-Family Attached	Owner	1990s	0	1	0	0	0.00681497	44.1696	0.00681497	44.1696
None	0-100%	Single-Family Attached	Owner	2000s	0	1	0	0	0.00454331	21.4883	0.00454331	21.4883
None	0-100%	Single-Family Attached	Owner	2010s	0	1	0	0	0.00136299	3.89079	0.00817796	37.1557
None	0-100%	Single-Family Attached	Owner	<1940	0	1	0	0	0.00908662	52.3101	0.00908662	52.3101
None	0-100%	Single-Family Attached	Renter	1940s	0	1	0	0	0.0880991	187.142	0.0880991	187.142
None	0-100%	Single-Family Attached	Renter	1950s	0	1	0	0	0.0572644	256.592	0.0572644	256.592
None	0-100%	Single-Family Attached	Renter	1960s	0	1	0	0	0.0880991	501.512	0.0880991	501.512
None	0-100%	Single-Family Attached	Renter	1970s	0	1	0	0	0.0880991	429.996	0.0880991	429.996
None	0-100%	Single-Family Attached	Renter	1980s	0	1	0	0	0.0969091	532.144	0.0969091	532.144
None	0-100%	Single-Family Attached	Renter	1990s	0	1	0	0	0.0660744	408.357	0.0660744	408.357
None	0-100%	Single-Family Attached	Renter	2000s	0	1	0	0	0.0440496	198.664	0.0440496	198.664
None	0-100%	Single-Family Attached	Renter	2010s	0	1	0	0	0.0132149	35.9711	0.0792892	343.512
None	0-100%	Single-Family Attached	Renter	<1940	0	1	0	0	0.0880991	483.618	0.0880991	483.618
None	0-100%	Single-Family Detached	Not Available	1940s	0	0	0	1	0.175209	412.988	0.175209	412.988
None	0-100%	Single-Family Detached	Not Available	1950s	0	0	0	1	0.0776244	674.531	0.0776244	674.531
None	0-100%	Single-Family Detached	Not Available	1960s	0	0	0	1	0.0576638	377.074	0.0576638	377.074
None	0-100%	Single-Family Detached	Not Available	1970s	0	0	0	1	0.068753	536.662	0.068753	536.662
None	0-100%	Single-Family Detached	Not Available	1980s	0	0	0	1	0.068753	461.093	0.068753	461.093
None	0-100%	Single-Family Detached	Not Available	1990s	0	0	0	1	0.0465746	387.058	0.0465746	387.058
None	0-100%	Single-Family Detached	Not Available	2000s	0	0	0	1	0.0377033	229.035	0.0377033	229.035
None	0-100%	Single-Family Detached	Not Available	2010s	0	0	0	1	0.0332676	162.097	0.0332676	162.097
None	0-100%	Single-Family Detached	Not Available	<1940	0	0	0	1	0.175209	1067.26	0.175209	1067.26
None	0-100%	Single-Family Detached	Owner	1940s	0	1	0	0	0.0809473	184.591	0.0809473	184.591
None	0-100%	Single-Family Detached	Owner	1950s	0	1	0	0	0.0358627	301.492	0.0358627	301.492
None	0-100%	Single-Family Detached	Owner	1960s	0	1	0	0	0.0266409	168.539	0.0266409	168.539
None	0-100%	Single-Family Detached	Owner	1970s	0	1	0	0	0.0317641	239.869	0.0317641	239.869
None	0-100%	Single-Family Detached	Owner	1980s	0	1	0	0	0.0317641	206.093	0.0317641	206.093
None	0-100%	Single-Family Detached	Owner	1990s	0	1	0	0	0.0215176	173.001	0.0215176	173.001
None	0-100%	Single-Family Detached	Owner	2000s	0	1	0	0	0.017419	102.371	0.017419	102.371
None	0-100%	Single-Family Detached	Owner	2010s	0	1	0	0	0.0153697	72.4519	0.0153697	72.4519
None	0-100%	Single-Family Detached	Owner	<1940	0	1	0	0	0.0809473	477.026	0.0809473	477.026
None	0-100%	Single-Family Detached	Renter	1940s	0	1	0	0	0.0179415	45.3692	0.0179415	45.3692
None	0-100%	Single-Family Detached	Renter	1950s	0	1	0	0	0.00794879	74.1013	0.00794879	74.1013
None	0-100%	Single-Family Detached	Renter	1960s	0	1	0	0	0.00590481	41.4238	0.00590481	41.4238
None	0-100%	Single-Family Detached	Renter	1970s	0	1	0	0	0.00704035	58.9555	0.00704035	58.9555
None	0-100%	Single-Family Detached	Renter	1980s	0	1	0	0	0.00704035	50.6539	0.00704035	50.6539
None	0-100%	Single-Family Detached	Renter	1990s	0	1	0	0	0.00476927	42.5206	0.00476927	42.5206
None	0-100%	Single-Family Detached	Renter	2000s	0	1	0	0	0.00386084	25.1609	0.00386084	25.1609
None	0-100%	Single-Family Detached	Renter	2010s	0	1	0	0	0.00340662	17.8074	0.00340662	17.8074
None	0-100%	Single-Family Detached	Renter	<1940	0	1	0	0	0.0179415	117.244	0.0179415	117.244
None	100-150%	Mobile Home	Not Available	1940s	0	0	0	1	0.05381	61.473	2.7174	3998.62
None	100-150%	Mobile Home	Not Available	1950s	0	0	0	1	0.080715	789.275	1.37215	7020.79
None	100-150%	Mobile Home	Not Available	1960s	0	0	0	1	0.295955	1639.22	0.295955	1639.22
None	100-150%	Mobile Home	Not Available	1970s	0	0	0	1	0.43048	2252.06	0.43048	2252.06
None	100-150%	Mobile Home	Not Available	1980s	0	0	0	1	0.457385	2683.69	0.457385	2683.69
None	100-150%	Mobile Home	Not Available	1990s	0	0	0	1	0.349765	2230.34	0.349765	2230.34
None	100-150%	Mobile Home	Not Available	2000s	0	0	0	1	0.26905	1213.79	0.26905	1213.79
None	100-150%	Mobile Home	Not Available	2010s	0	0	0	1	0.188335	1025.58	0.672625	2418.88
None	100-150%	Mobile Home	Not Available	<1940	0	0	0	1	0.05381	158.86	2.7174	10333.4
None	100-150%	Mobile Home	Owner	1940s	0	1	0	0	0.0339842	39.7426	1.7162	2585.13
None	100-150%	Mobile Home	Owner	1950s	0	1	0	0	0.0509763	510.27	0.866597	4538.98
None	100-150%	Mobile Home	Owner	1960s	0	1	0	0	0.186913	1059.77	0.186913	1059.77
None	100-150%	Mobile Home	Owner	1970s	0	1	0	0	0.271873	1455.97	0.271873	1455.97
None	100-150%	Mobile Home	Owner	1980s	0	1	0	0	0.288866	1735.02	0.288866	1735.02
None	100-150%	Mobile Home	Owner	1990s	0	1	0	0	0.220897	1441.93	0.220897	1441.93
None	100-150%	Mobile Home	Owner	2000s	0	1	0	0	0.169921	784.721	0.169921	784.721
None	100-150%	Mobile Home	Owner	2010s	0	1	0	0	0.118945	663.041	0.424802	1563.82
None	100-150%	Mobile Home	Owner	<1940	0	1	0	0	0.0339842	102.704	1.7162	6680.57
None	100-150%	Mobile Home	Renter	1940s	0	1	0	0	0.00226198	2.36021	0.11423	153.524
None	100-150%	Mobile Home	Renter	1950s	0	1	0	0	0.00339298	30.3036	0.0576806	269.558
None	100-150%	Mobile Home	Renter	1960s	0	1	0	0	0.0124409	62.9367	0.0124409	62.9367
None	100-150%	Mobile Home	Renter	1970s	0	1	0	0	0.0180959	86.466	0.0180959	86.466
None	100-150%	Mobile Home	Renter	1980s	0	1	0	0	0.0192269	103.038	0.0192269	103.038
None	100-150%	Mobile Home	Renter	1990s	0	1	0	0	0.0147029	85.6323	0.0147029	85.6323
None	100-150%	Mobile Home	Renter	2000s	0	1	0	0	0.0113099	46.6025	0.0113099	46.6025
None	100-150%	Mobile Home	Renter	2010s	0	1	0	0	0.00791695	39.3763	0.0282748	92.871
None	100-150%	Mobile Home	Renter	<1940	0	1	0	0	0.00226198	6.09932	0.11423	396.742
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	1940s	0	0	0	1	1.13666	1961.58	1.13666	1961.58
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	1950s	0	0	0	1	0.473607	3052.36	0.473607	3052.36
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	1960s	0	0	0	1	0.644105	3725.9	0.644105	3725.9
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	1970s	0	0	0	1	0.871437	4881.35	0.871437	4881.35
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	1980s	0	0	0	1	0.644105	3976.15	0.644105	3976.15
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	1990s	0	0	0	1	0.426246	2625.11	0.426246	2625.11
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	2000s	0	0	0	1	0.293636	1399.94	0.293636	1399.94
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	0	1	0.123138	471.726	0.123138	471.726
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	0	1	1.13666	5069.17	1.13666	5069.17
None	100-150%	Multi-Family with 2 - 4 Units	Owner	1940s	0	1	0	0	0.0118773	28.1807	0.0118773	28.1807
None	100-150%	Multi-Family with 2 - 4 Units	Owner	1950s	0	1	0	0	0.00494886	43.8513	0.00494886	43.8513
None	100-150%	Multi-Family with 2 - 4 Units	Owner	1960s	0	1	0	0	0.00673045	53.5275	0.00673045	53.5275
None	100-150%	Multi-Family with 2 - 4 Units	Owner	1970s	0	1	0	0	0.00910591	70.1271	0.00910591	70.1271
None	100-150%	Multi-Family with 2 - 4 Units	Owner	1980s	0	1	0	0	0.00673045	57.1228	0.00673045	57.1228
None	100-150%	Multi-Family with 2 - 4 Units	Owner	1990s	0	1	0	0	0.00445398	37.7132	0.00445398	37.7132
None	100-150%	Multi-Family with 2 - 4 Units	Owner	2000s	0	1	0	0	0.0030683	20.112	0.0030683	20.112
None	100-150%	Multi-Family with 2 - 4 Units	Owner	2010s	0	1	0	0	0.0012867	6.77697	0.0012867	6.77697
None	100-150%	Multi-Family with 2 - 4 Units	Owner	<1940	0	1	0	0	0.0118773	72.8254	0.0118773	72.8254
None	100-150%	Multi-Family with 2 - 4 Units	Renter	1940s	0	1	0	0	0.913202	1519.53	0.913202	1519.53
None	100-150%	Multi-Family with 2 - 4 Units	Renter	1950s	0	1	0	0	0.380501	2364.51	0.380501	2364.51
None	100-150%	Multi-Family with 2 - 4 Units	Renter	1960s	0	1	0	0	0.517481	2886.25	0.517481	2886.25
None	100-150%	Multi-Family with 2 - 4 Units	Renter	1970s	0	1	0	0	0.700121	3781.32	0.700121	3781.32
None	100-150%	Multi-Family with 2 - 4 Units	Renter	1980s	0	1	0	0	0.517481	3080.12	0.517481	3080.12
None	100-150%	Multi-Family with 2 - 4 Units	Renter	1990s	0	1	0	0	0.342451	2033.53	0.342451	2033.53
None	100-150%	Multi-Family with 2 - 4 Units	Renter	2000s	0	1	0	0	0.23591	1084.46	0.23591	1084.46
None	100-150%	Multi-Family with 2 - 4 Units	Renter	2010s	0	1	0	0	0.0989302	365.421	0.0989302	365.421
None	100-150%	Multi-Family with 2 - 4 Units	Renter	<1940	0	1	0	0	0.913202	3926.82	0.913202	3926.82
None	100-150%	Multi-Family with 5+ Units	Not Available	1940s	0	0	0	1	1.58158	2828.25	1.58158	2828.25
None	100-150%	Multi-Family with 5+ Units	Not Available	1950s	0	0	0	1	0.752129	4366.72	0.752129	4366.72
None	100-150%	Multi-Family with 5+ Units	Not Available	1960s	0	0	0	1	1.40585	8292.22	1.40585	8292.22
None	100-150%	Multi-Family with 5+ Units	Not Available	1970s	0	0	0	1	1.91898	11498.3	1.91898	11498.3
None	100-150%	Multi-Family with 5+ Units	Not Available	1980s	0	0	0	1	1.24418	7571.81	1.24418	7571.81
None	100-150%	Multi-Family with 5+ Units	Not Available	1990s	0	0	0	1	0.632632	3800.15	0.632632	3800.15
None	100-150%	Multi-Family with 5+ Units	Not Available	2000s	0	0	0	1	0.597485	3335.37	0.597485	3335.37
None	100-150%	Multi-Family with 5+ Units	Not Available	2010s	0	0	0	1	0.358491	1904.46	0.358491	1904.46
None	100-150%	Multi-Family with 5+ Units	Not Available	<1940	0	0	0	1	1.58158	7308.84	1.58158	7308.84
None	100-150%	Multi-Family with 5+ Units	Owner	1940s	0	1	0	0	0.00645332	12.8843	0.00645332	12.8843
None	100-150%	Multi-Family with 5+ Units	Owner	1950s	0	1	0	0	0.00306891	19.8929	0.00306891	19.8929
None	100-150%	Multi-Family with 5+ Units	Owner	1960s	0	1	0	0	0.00573629	37.7759	0.00573629	37.7759
None	100-150%	Multi-Family with 5+ Units	Owner	1970s	0	1	0	0	0.00783003	52.3813	0.00783003	52.3813
None	100-150%	Multi-Family with 5+ Units	Owner	1980s	0	1	0	0	0.00507661	34.494	0.00507661	34.494
None	100-150%	Multi-Family with 5+ Units	Owner	1990s	0	1	0	0	0.00258133	17.3119	0.00258133	17.3119
None	100-150%	Multi-Family with 5+ Units	Owner	2000s	0	1	0	0	0.00243792	15.1945	0.00243792	15.1945
None	100-150%	Multi-Family with 5+ Units	Owner	2010s	0	1	0	0	0.00146275	8.67593	0.00146275	8.67593
None	100-150%	Multi-Family with 5+ Units	Owner	<1940	0	1	0	0	0.00645332	33.296	0.00645332	33.296
None	100-150%	Multi-Family with 5+ Units	Renter	1940s	0	1	0	0	1.38567	2459.35	1.38567	2459.35
None	100-150%	Multi-Family with 5+ Units	Renter	1950s	0	1	0	0	0.658964	3797.15	0.658964	3797.15
None	100-150%	Multi-Family with 5+ Units	Renter	1960s	0	1	0	0	1.23171	7210.63	1.23171	7210.63
None	100-150%	Multi-Family with 5+ Units	Renter	1970s	0	1	0	0	1.68128	9998.51	1.68128	9998.51
None	100-150%	Multi-Family with 5+ Units	Renter	1980s	0	1	0	0	1.09006	6584.18	1.09006	6584.18
None	100-150%	Multi-Family with 5+ Units	Renter	1990s	0	1	0	0	0.554269	3304.48	0.554269	3304.48
None	100-150%	Multi-Family with 5+ Units	Renter	2000s	0	1	0	0	0.523476	2900.32	0.523476	2900.32
None	100-150%	Multi-Family with 5+ Units	Renter	2010s	0	1	0	0	0.314086	1656.06	0.314086	1656.06
None	100-150%	Multi-Family with 5+ Units	Renter	<1940	0	1	0	0	1.38567	6355.51	1.38567	6355.51
None	100-150%	Single-Family Attached	Not Available	1940s	0	0	0	1	0.0960748	151.256	0.0960748	151.256
None	100-150%	Single-Family Attached	Not Available	1950s	0	0	0	1	0.0624486	207.389	0.0624486	207.389
None	100-150%	Single-Family Attached	Not Available	1960s	0	0	0	1	0.0960748	405.343	0.0960748	405.343
None	100-150%	Single-Family Attached	Not Available	1970s	0	0	0	1	0.0960748	347.541	0.0960748	347.541
None	100-150%	Single-Family Attached	Not Available	1980s	0	0	0	1	0.105682	430.101	0.105682	430.101
None	100-150%	Single-Family Attached	Not Available	1990s	0	0	0	1	0.0720561	330.051	0.0720561	330.051
None	100-150%	Single-Family Attached	Not Available	2000s	0	0	0	1	0.0480374	160.569	0.0480374	160.569
None	100-150%	Single-Family Attached	Not Available	2010s	0	0	0	1	0.0144112	29.0734	0.0864674	277.641
None	100-150%	Single-Family Attached	Not Available	<1940	0	0	0	1	0.0960748	390.88	0.0960748	390.88
None	100-150%	Single-Family Attached	Owner	1940s	0	1	0	0	0.0210741	32.5055	0.0210741	32.5055
None	100-150%	Single-Family Attached	Owner	1950s	0	1	0	0	0.0136982	44.5686	0.0136982	44.5686
None	100-150%	Single-Family Attached	Owner	1960s	0	1	0	0	0.0210741	87.1097	0.0210741	87.1097
None	100-150%	Single-Family Attached	Owner	1970s	0	1	0	0	0.0210741	74.6878	0.0210741	74.6878
None	100-150%	Single-Family Attached	Owner	1980s	0	1	0	0	0.0231815	92.4304	0.0231815	92.4304
None	100-150%	Single-Family Attached	Owner	1990s	0	1	0	0	0.0158056	70.9292	0.0158056	70.9292
None	100-150%	Single-Family Attached	Owner	2000s	0	1	0	0	0.0105371	34.5068	0.0105371	34.5068
None	100-150%	Single-Family Attached	Owner	2010s	0	1	0	0	0.00316112	6.24798	0.0189667	59.6662
None	100-150%	Single-Family Attached	Owner	<1940	0	1	0	0	0.0210741	84.0016	0.0210741	84.0016
None	100-150%	Single-Family Attached	Renter	1940s	0	1	0	0	0.0271511	43.5239	0.0271511	43.5239
None	100-150%	Single-Family Attached	Renter	1950s	0	1	0	0	0.0176482	59.676	0.0176482	59.676
None	100-150%	Single-Family Attached	Renter	1960s	0	1	0	0	0.0271511	116.637	0.0271511	116.637
None	100-150%	Single-Family Attached	Renter	1970s	0	1	0	0	0.0271511	100.005	0.0271511	100.005
None	100-150%	Single-Family Attached	Renter	1980s	0	1	0	0	0.0298662	123.761	0.0298662	123.761
None	100-150%	Single-Family Attached	Renter	1990s	0	1	0	0	0.0203633	94.9721	0.0203633	94.9721
None	100-150%	Single-Family Attached	Renter	2000s	0	1	0	0	0.0135755	46.2036	0.0135755	46.2036
None	100-150%	Single-Family Attached	Renter	2010s	0	1	0	0	0.00407266	8.36586	0.024436	79.8912
None	100-150%	Single-Family Attached	Renter	<1940	0	1	0	0	0.0271511	112.476	0.0271511	112.476
None	100-150%	Single-Family Detached	Not Available	1940s	0	0	0	1	0.192875	322.549	0.192875	322.549
None	100-150%	Single-Family Detached	Not Available	1950s	0	0	0	1	0.085451	526.818	0.085451	526.818
None	100-150%	Single-Family Detached	Not Available	1960s	0	0	0	1	0.0634779	294.499	0.0634779	294.499
None	100-150%	Single-Family Detached	Not Available	1970s	0	0	0	1	0.0756852	419.14	0.0756852	419.14
None	100-150%	Single-Family Detached	Not Available	1980s	0	0	0	1	0.0756852	360.12	0.0756852	360.12
None	100-150%	Single-Family Detached	Not Available	1990s	0	0	0	1	0.0512706	302.297	0.0512706	302.297
None	100-150%	Single-Family Detached	Not Available	2000s	0	0	0	1	0.0415048	178.88	0.0415048	178.88
