Building,ASHRAE IECC Climate Zone 2004,Bathroom Spot Vent Hour,County and PUMA,AIANNH Area,CEC Climate Zone,City,County,AHS Region,ASHRAE IECC Climate Zone 2004 - Sub-CZ Split,Building America Climate Zone,Dehumidifier,Door Area,Doors,Eaves,Electric Vehicle Battery,Electric Vehicle Miles Traveled,Energystar Climate Zone 2023,Generation And Emissions Assessment Region,Ground Thermal Conductivity,HVAC System Is Faulted,HVAC System Is Scaled,Holiday Lighting,Hot Water Distribution,ISO RTO Region,Interior Shading,Lighting Interior Use,Lighting Other Use,Mechanical Ventilation,Metropolitan and Micropolitan Statistical Area,County Metro Status,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Natural Ventilation,Orientation,Overhangs,PUMA,Geometry Building Type ACS,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Building Type RECS,Cooling Setpoint Has Offset,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Corridor,Neighbors,PUMA Metro Status,REEDS Balancing Area,Radiant Barrier,Range Spot Vent Hour,State,Census Division,Census Division RECS,Census Region,Custom State,Lighting,Location Region,Plug Loads,Usage Level,Clothes Dryer Usage Level,Clothes Washer Usage Level,Cooking Range Usage Level,Dishwasher Usage Level,Hot Water Fixtures,Plug Load Diversity,Refrigerator Usage Level,Vacancy Status,Ceiling Fan,Has PV,Battery,PV Orientation,PV System Size,Tenure,Vintage,Heating Fuel,HVAC Heating Type,HVAC Secondary Heating Fuel,HVAC Secondary Heating Type,HVAC Secondary Heating Efficiency,HVAC Secondary Heating Partial Space Conditioning,Vintage ACS,Geometry Foundation Type,HVAC Cooling Type,Cooling Setpoint,HVAC Has Shared System,HVAC Cooling Efficiency,HVAC Cooling Autosizing Factor,HVAC Has Ducts,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Autosizing Factor,HVAC Heating Type And Fuel,HVAC Shared Efficiencies,HVAC System Single Speed AC Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed ASHP Charge,Heating Setpoint,Heating Setpoint Has Offset,Heating Setpoint Offset Magnitude,Heating Setpoint Offset Period,Income,Income RECS2015,Income RECS2020,Geometry Floor Area,Bedrooms,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Building Type Height,Geometry Stories Low Rise,Geometry Attic Type,Geometry Garage,Geometry Space Combination,Duct Location,Duct Leakage and Insulation,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,HVAC Cooling Partial Space Conditioning,Infiltration,Insulation Ceiling,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Insulation Roof,Insulation Slab,Insulation Wall,Misc Well Pump,Occupants,Area Median Income,Federal Poverty Level,Clothes Washer Presence,Clothes Dryer,Clothes Washer,Cooking Range,Cooling Unavailable Days,Dishwasher,Electric Vehicle Charge At Home,Electric Vehicle Ownership,Electric Vehicle Charger,Electric Vehicle Outlet Access,Heating Unavailable Days,Household Has Tribal Persons,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Refrigerator,Roof Material,State Metro Median Income,Water Heater Fuel,Water Heater Efficiency,Water Heater In Unit,Water Heater Location,Window Areas,Windows
11,3B,Hour3,"G0600890, G06008900",No,11,"CA, Redding","CA, Shasta County",Non-CBSA Pacific,3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,"Midsize, Battery Electric Vehicle, 300 mile range",3000,South-Central,CAISO,1.4,No,No,No Exterior Use,Uninsulated,CAISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Redding, CA MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",Southeast,None,"CA, 08900",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback -4h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",9,No,Hour18,CA,Pacific,Pacific,West,Others,100% LED,CR11,94%,High,120% Usage,120% Usage,120% Usage,120% Usage,130% Usage,200%,105% Usage,Occupied,None,No,None,None,None,Owner,1970s,Natural Gas,Ducted Heating,None,None,None,0%,1960-79,Slab,Central AC,76F,None,"AC, SEER 15",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,72F,No,0F,None,80000-99999,80000-99999,60000-99999,1500-1999,2,1500-2499,1,None,None,None,Single-Family Detached,1,None,2 Car,"Single-Family Detached, Slab, No Attic, 2 Car Garage",Garage,"30% Leakage to Outside, R-4",<8,Wood Frame,"Vinyl, Light",100% Conditioned,15 ACH50,None,None,None,None,"Finished, R-19",Uninsulated,"Wood Stud, R-7",None,1,150%+,400%+,Yes,Gas,EnergyStar,Gas,Never,318 Rated kWh,80-99%,No,None,Yes,Never,No,EF 17.6,None,None,None,None,None,EF 17.6,Composition Shingles,150%+,Natural Gas,Natural Gas Standard,Yes,Garage,F12 B12 L12 R12,"Double, Clear, Metal, Air"
12,4A,Hour18,"G5100870, G51051225",No,None,Not in a census Place,"VA, Henrico County",Non-CBSA South Atlantic,4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",19000,North-Central,PJM East,1.1,No,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Richmond, VA MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",Northeast,None,"VA, 51225",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",99,No,Hour9,VA,South Atlantic,South Atlantic,South,Others,100% LED,CR08,106%,High,120% Usage,120% Usage,120% Usage,120% Usage,170% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1990s,Natural Gas,Ducted Heating,None,None,None,0%,1980-99,Heated Basement,Central AC,72F,None,"AC, SEER 13",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,67F,No,0F,None,200000+,140000+,150000+,3000-3999,4,2500-3999,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,"Single-Family Detached, Heated Basement, Vented Attic, 2 Car Garage",Heated Basement,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Vinyl, Light",100% Conditioned,15 ACH50,R-30,Uninsulated,"Wall R-10, Exterior","R-10, Exterior","Unfinished, Uninsulated",None,"Wood Stud, R-15",None,2,150%+,400%+,Yes,Electric,EnergyStar,Gas,Never,318 Rated kWh,80-99%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,150%+,Natural Gas,Natural Gas Standard,Yes,Heated Basement,F12 B12 L12 R12,"Double, Clear, Metal, Air"
13,5A,Hour22,"G2500010, G25004800",No,None,In another census Place,"MA, Barnstable County",Non-CBSA New England,5A,Cold,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",11000,Northern,ISONE,1.1,No,No,No Exterior Use,Uninsulated,NEISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Barnstable Town, MA MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",Southeast,None,"MA, 04800",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,Not/partially in metro area,131,No,Hour14,MA,New England,New England,Northeast,Others,100% LED,CR03,99%,High,120% Usage,120% Usage,120% Usage,120% Usage,120% Usage,200%,105% Usage,Vacant,"Standard Efficiency, No usage",No,None,None,None,Not Available,1970s,Natural Gas,Non-Ducted Heating,None,None,None,0%,1960-79,Heated Basement,Room AC,70F,None,"Room AC, EER 10.7",None,No,"Fuel Wall/Floor Furnace, 68% AFUE",No,None,Natural Gas Fuel Wall/Floor Furnace,None,None,None,None,None,55F,Yes,6F,Night -4h,Not Available,Not Available,Not Available,1000-1499,2,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Heated Basement, Vented Attic, No Garage",None,None,<8,Wood Frame,"Wood, Medium/Dark",40% Conditioned,15 ACH50,R-38,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-7",Typical Efficiency,0,Not Available,Not Available,Yes,Electric,EnergyStar,Gas,Never,318 Rated kWh,80-99%,No,None,No,Never,Not Available,None,None,None,None,None,None,EF 19.9,Composition Shingles,Not Available,Natural Gas,Natural Gas Standard,Yes,Heated Basement,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain"
14,5A,Hour5,"G2500090, G25000703",No,None,In another census Place,"MA, Essex County","CBSA Boston-Cambridge-Newton, MA-NH",5A,Cold,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",15000,Northern,ISONE,1.1,No,No,No Exterior Use,Uninsulated,NEISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Boston-Cambridge-Newton, MA-NH MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",North,None,"MA, 00703",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",131,No,Hour16,MA,New England,New England,Northeast,Others,100% LED,CR03,99%,High,120% Usage,120% Usage,120% Usage,120% Usage,120% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,None,None,None,0%,<1940,Vented Crawlspace,Room AC,75F,None,"Room AC, EER 9.8",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,75F,Yes,3F,Night -2h,200000+,140000+,150000+,3000-3999,2,2500-3999,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,"Single-Family Detached, Vented Crawlspace, Vented Attic, 2 Car Garage",Crawlspace,"10% Leakage to Outside, Uninsulated",<8,Wood Frame,"Wood, Medium/Dark",20% Conditioned,20 ACH50,R-19,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",Typical Efficiency,2,150%+,400%+,Yes,Gas,Standard,Gas,Never,318 Rated kWh,100%,No,None,No,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",150%+,Natural Gas,Natural Gas Standard,Yes,Living Space,F12 B12 L12 R12,"Double, Clear, Non-metal, Air"
15,3A,Hour13,"G4001430, G40001201",Yes,None,"OK, Tulsa","OK, Tulsa County",Non-CBSA West South Central,3A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",17000,South-Central,SPP South,0.8,No,No,No Exterior Use,Uninsulated,SPP,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Tulsa, OK MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",East,None,"OK, 01201",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, principal city",51,No,Hour18,OK,West South Central,West South Central,South,Others,100% LED,CR09,113%,High,120% Usage,120% Usage,120% Usage,120% Usage,180% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1950s,Natural Gas,Ducted Heating,None,None,None,0%,1940-59,Slab,Central AC,70F,None,"AC, SEER 13",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,65F,No,0F,None,80000-99999,80000-99999,60000-99999,1000-1499,4,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Slab, Vented Attic, No Garage",Attic,"20% Leakage to Outside, R-4",<8,Wood Frame,"Brick, Medium/Dark",100% Conditioned,20 ACH50,R-30,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, Uninsulated",None,2,150%+,400%+,Yes,Electric,Standard,Gas,Never,318 Rated kWh,20-39%,No,None,Yes,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,150%+,Natural Gas,Natural Gas Standard,Yes,Living Space,F15 B15 L15 R15,"Single, Clear, Non-metal"
16,5A,Hour17,"G0900010, G09000102",No,None,"CT, Stamford","CT, Fairfield County",Non-CBSA New England,5A,Cold,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",15000,Northern,ISONE,1.4,No,No,No Exterior Use,Uninsulated,NEISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Bridgeport-Stamford-Norwalk, CT MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",West,None,"CT, 00102",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",132,No,Hour8,CT,New England,New England,Northeast,Others,100% LED,CR03,99%,Low,80% Usage,80% Usage,80% Usage,80% Usage,80% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,None,None,None,0%,<1940,Unheated Basement,Room AC,68F,None,"Room AC, EER 10.7",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,67F,No,0F,None,200000+,140000+,150000+,2000-2499,2,1500-2499,1,None,None,None,Single-Family Detached,1,Unvented Attic,None,"Single-Family Detached, Unheated Basement, Unvented Attic, No Garage",Unheated Basement,"30% Leakage to Outside, Uninsulated",<8,Concrete,"Vinyl, Light",20% Conditioned,15 ACH50,R-19,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"CMU, 6-in Hollow, Uninsulated",Typical Efficiency,3,150%+,400%+,Yes,Electric,Standard,Gas,Never,318 Rated kWh,80-99%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",150%+,Natural Gas,Natural Gas Standard,Yes,Unheated Basement,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain"
17,5A,Hour17,"G1700310, G17003524",No,None,"IL, Chicago","IL, Cook County","CBSA Chicago-Naperville-Elgin, IL-IN-WI",5A,Cold,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",7000,Northern,PJM West,1.4,No,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Chicago-Naperville-Elgin, IL-IN-WI MSA",Metropolitan,Gas Fireplace,None,None,"Cooling Season, 7 days/wk",North,None,"IL, 03524",3 or 4 Unit,None,None,Multi-Family with 2 - 4 Units,No,0F,None,Double-Loaded Interior,27,"In metro area, principal city",80,None,Hour16,IL,East North Central,East North Central,Midwest,Others,100% LED,CR04,96%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Renter,<1940,Natural Gas,Ducted Heating,None,None,None,0%,<1940,Unheated Basement,Central AC,72F,None,"AC, SEER 13",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,70F,No,0F,None,80000-99999,80000-99999,60000-99999,1000-1499,2,0-1499,3,Top,3,Not Applicable,Multi-Family with 2 - 4 Units,3,None,None,"Multi-Family with 2 - 4 Units Top Unit, Unheated Basement, No Attic, No Garage",Living Space,"0% Leakage to Outside, Uninsulated",<8,Brick,None,100% Conditioned,10 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-13",None,"Brick, 12-in, 3-wythe, Uninsulated",None,2,120-150%,400%+,Yes,Electric,Standard,Gas,Never,318 Rated kWh,80-99%,No,None,No,Never,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,120-150%,Natural Gas,Natural Gas Standard,Yes,Living Space,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain"
18,3A,Hour8,"G1300670, G13003004",No,None,Not in a census Place,"GA, Cobb County","CBSA Atlanta-Sandy Springs-Roswell, GA",3A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",17000,South-Central,SERTP,1.1,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Atlanta-Sandy Springs-Roswell, GA MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",West,None,"GA, 03004",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",94,No,Hour14,GA,South Atlantic,South Atlantic,South,Others,100% Incandescent,CR09,106%,High,120% Usage,120% Usage,120% Usage,120% Usage,130% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,None,None,None,0%,2000-09,Unheated Basement,Central AC,76F,None,"AC, SEER 15",None,Yes,"Fuel Furnace, 92.5% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,67F,Yes,3F,Night -3h,200000+,140000+,150000+,2500-2999,3,2500-3999,1,None,None,None,Single-Family Detached,1,Unvented Attic,2 Car,"Single-Family Detached, Unheated Basement, Unvented Attic, 2 Car Garage",Unheated Basement,"10% Leakage to Outside, R-6",<8,Wood Frame,"Brick, Medium/Dark",100% Conditioned,10 ACH50,R-30,Ceiling R-19,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-11",None,3,150%+,400%+,Yes,Electric,Standard,Gas,Never,290 Rated kWh,100%,No,None,Yes,Never,No,EF 17.6,None,None,None,None,None,EF 17.6,Composition Shingles,150%+,Natural Gas,Natural Gas Standard,Yes,Garage,F30 B30 L30 R30,"Double, Low-E, Non-metal, Air, M-Gain"
19,4A,Hour18,"G3600610, G36003810",No,None,"NY, New York","NY, New York County","CBSA New York-Newark-Jersey City, NY-NJ-PA",4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"SUV, Battery Electric Vehicle, 300 mile range",17000,North-Central,NYISO,1.1,No,No,No Exterior Use,Uninsulated,NYISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"New York-Newark-Jersey City, NY-NJ-PA MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",East,None,"NY, 03810",50 or more Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,27,"In metro area, principal city",127,None,Hour19,NY,Middle Atlantic,Middle Atlantic,Northeast,Others,100% Incandescent,CR07,89%,Low,80% Usage,80% Usage,80% Usage,80% Usage,60% Usage,50%,95% Usage,Occupied,None,No,None,None,None,Renter,<1940,Natural Gas,Non-Ducted Heating,None,None,None,0%,<1940,Unheated Basement,None,70F,None,None,None,No,"Fuel Boiler, 80% AFUE",No,None,Natural Gas Fuel Boiler,None,None,None,None,None,70F,No,0F,None,200000+,140000+,150000+,500-749,2,0-1499,8,Middle,326,Middle,"Multi-Family with 5+ Units, 8+ Stories",4+,None,None,"Multi-Family with 5+ Units Middle Unit, Unheated Basement, No Attic, No Garage",None,None,8+,Steel Frame,"Aluminum, Light",None,25 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-38",None,"Wood Stud, Uninsulated",None,2,150%+,400%+,None,None,None,Gas,Never,None,0-19%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",150%+,Natural Gas,Natural Gas Standard,No,Conditioned Mechanical Room,F30 B30 L30 R30,"Single, Clear, Non-metal"
20,4A,Hour4,"G3600610, G36003809",No,None,"NY, New York","NY, New York County","CBSA New York-Newark-Jersey City, NY-NJ-PA",4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",15000,North-Central,NYISO,1.1,No,No,No Exterior Use,Uninsulated,NYISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"New York-Newark-Jersey City, NY-NJ-PA MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",South,None,"NY, 03809",50 or more Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,12,"In metro area, principal city",127,None,Hour8,NY,Middle Atlantic,Middle Atlantic,Northeast,Others,100% Incandescent,CR07,89%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,90% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Renter,1960s,Natural Gas,Non-Ducted Heating,None,None,None,0%,1960-79,Slab,None,72F,None,None,None,No,"Fuel Wall/Floor Furnace, 68% AFUE",No,None,Natural Gas Fuel Wall/Floor Furnace,None,None,None,None,None,68F,No,0F,None,<10000,<20000,<20000,500-749,1,0-1499,21,Middle,183,Middle,"Multi-Family with 5+ Units, 8+ Stories",4+,None,None,"Multi-Family with 5+ Units Middle Unit, Slab, No Attic, No Garage",None,None,8+,Steel Frame,"Aluminum, Light",None,25 ACH50,None,None,None,None,"Finished, R-30",Uninsulated,"Wood Stud, Uninsulated",None,1,0-30%,0-100%,None,None,None,Gas,Never,None,0-19%,No,None,No,Never,No,None,None,None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",0-30%,Natural Gas,Natural Gas Standard,No,Conditioned Mechanical Room,F30 B30 L30 R30,"Single, Clear, Metal"
21,2A,Hour6,"G1201050, G12010501",No,None,"FL, Lakeland","FL, Polk County",Non-CBSA South Atlantic,"2A - FL, GA, AL, MS",Hot-Humid,None,20 ft^2,Fiberglass,2 ft,"Compact, Battery Electric Vehicle, 300 mile range",1000,Southern,FRCC,1.1,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Lakeland-Winter Haven, FL MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",East,None,"FL, 10501",Single-Family Detached,None,None,Single-Family Detached,Yes,9F,Night Setback -5h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",101,No,Hour16,FL,South Atlantic,South Atlantic,South,Others,100% CFL,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,110% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Owner,2000s,Electricity,Ducted Heat Pump,None,None,None,0%,2000-09,Slab,Ducted Heat Pump,78F,None,Ducted Heat Pump,None,Yes,"ASHP, SEER 13, 7.7 HSPF",No,None,Electricity ASHP,None,None,None,None,None,75F,No,0F,None,80000-99999,80000-99999,60000-99999,2000-2499,3,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,"Single-Family Detached, Slab, Vented Attic, 2 Car Garage",Attic,"20% Leakage to Outside, R-8",<8,Brick,None,100% Conditioned,10 ACH50,R-38,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Brick, 12-in, 3-wythe, R-11",None,2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,Never,318 Rated kWh,100%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",150%+,Electricity,Electric Premium,Yes,Living Space,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain"
22,5A,Hour4,"G3600010, G36002002",No,None,Not in a census Place,"NY, Albany County",Non-CBSA Middle Atlantic,5A,Cold,None,20 ft^2,Fiberglass,2 ft,"Midsize, Battery Electric Vehicle, 300 mile range",1000,Northern,NYISO,1.7,No,No,No Exterior Use,Uninsulated,NYISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Albany-Schenectady-Troy, NY MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",North,None,"NY, 02002",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",127,No,Hour17,NY,Middle Atlantic,Middle Atlantic,Northeast,Others,100% CFL,CR07,101%,High,120% Usage,120% Usage,120% Usage,120% Usage,120% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1950s,Natural Gas,Ducted Heating,None,None,None,0%,1940-59,Heated Basement,Central AC,75F,None,"AC, SEER 13",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,75F,Yes,12F,Night,100000-119999,100000-119999,100000-149999,1500-1999,4,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,1 Car,"Single-Family Detached, Heated Basement, Vented Attic, 1 Car Garage",Heated Basement,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Vinyl, Light",80% Conditioned,15 ACH50,R-30,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",None,2,150%+,400%+,Yes,Gas,Standard,Gas,Never,318 Rated kWh,100%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,150%+,Natural Gas,Natural Gas Premium,Yes,Heated Basement,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain"
23,5A,Hour15,"G2601630, G26003211",No,None,"MI, Detroit","MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",5A,Cold,None,20 ft^2,Fiberglass,2 ft,"Midsize, Battery Electric Vehicle, 300 mile range",17000,Northern,MISO Central,1.4,No,No,No Exterior Use,Uninsulated,MISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Detroit-Warren-Dearborn, MI MSA",Metropolitan,None,None,None,"Cooling Season, 7 days/wk",South,None,"MI, 03211",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, principal city",103,No,Hour18,MI,East North Central,East North Central,Midwest,Others,100% LED,CR04,85%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,None,None,None,0%,<1940,Heated Basement,Room AC,65F,None,"Room AC, EER 12.0",None,Yes,"Fuel Furnace, 92.5% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,70F,No,0F,None,80000-99999,80000-99999,60000-99999,1000-1499,3,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Heated Basement, Vented Attic, No Garage",Heated Basement,"0% Leakage to Outside, Uninsulated",<8,Brick,None,20% Conditioned,15 ACH50,R-38,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Brick, 12-in, 3-wythe, Uninsulated",None,2,120-150%,400%+,Yes,Gas,EnergyStar,Gas,Never,None,80-99%,No,None,Yes,Never,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,120-150%,Natural Gas,Natural Gas Standard,Yes,Heated Basement,F6 B6 L6 R6,"Double, Clear, Non-metal, Air"
