Dependency=geometry_unit_cfa_bin_simp,Dependency=vintage_simp,Dependency=heating_fuel,100,101-124,125,126-199,200,201+,<100,source_weight,source_count,fallback_count,fallback_weight
1000-1999,1990+,non-electricity,0.2974683544303798,0.0,0.24683544303797472,0.06962025316455697,0.24050632911392408,0.07594936708860761,0.06962025316455697,52.66666666666666,57.0,57.0,52.66666666666666
1000-1999,<1940,electricity,0.07618200681784495,0.0,0.4570920409070698,0.07618200681784495,0.0,0.0,0.3905439454572402,9.543140028288544,12.0,12.0,9.543140028288544
1000-1999,<1940,non-electricity,0.884105220847662,0.001973449153677817,0.003408177392702425,0.015787593229422536,0.04736277968826761,0.005920347461033451,0.041442432227234156,506.7270155586987,507.0,507.0,506.7270155586987
2000+,1940-69,electricity,0.0,0.0,0.9047619047619047,0.0,0.04761904761904761,0.0,0.04761904761904761,2.3604651162790704,21.0,21.0,2.3604651162790704
2000+,1940-69,non-electricity,0.8587405139129277,0.003861003861003861,0.0,0.0,0.10304886166955132,0.0,0.03434962055651711,29.112403100775193,30.0,30.0,29.112403100775193
2000+,1970-79,electricity,0.05357142857142856,0.017857142857142856,0.6964285714285714,0.07142857142857142,0.08928571428571427,0.017857142857142856,0.05357142857142856,0.372093023255814,56.0,56.0,0.372093023255814
2000+,1970-79,non-electricity,0.8206298681705859,0.0006883682221724805,0.013330969274362258,0.03674462096286206,0.0857374489133448,0.006124103493810343,0.03674462096286206,4.0,4.0,165.0,163.28920649540038
2000+,1980-89,electricity,0.17142857142857146,0.0,0.7142857142857144,0.08571428571428573,0.0,0.0,0.028571428571428577,13.071253071253068,35.0,35.0,13.071253071253068
2000+,1980-89,non-electricity,0.8206298681705859,0.0006883682221724805,0.013330969274362258,0.03674462096286206,0.0857374489133448,0.006124103493810343,0.03674462096286206,5.0,5.0,165.0,163.28920649540038
2000+,1990+,electricity,0.04234769687964338,0.0,0.6916790490341753,0.05646359583952451,0.1953937592867756,0.0,0.014115898959881128,16.023809523809526,64.0,64.0,16.023809523809526
2000+,1990+,non-electricity,0.48711502199874296,0.0,0.10747957259585167,0.06473915776241358,0.17033312382149593,0.052796983029541174,0.11753614079195475,18.94047619047619,29.0,29.0,18.94047619047619
2000+,<1940,electricity,0.044741146455460706,0.0,0.8088880195002032,0.044741146455460706,0.028444270566707314,0.0,0.073185417022168,1.5912305516265912,9.0,30.0,3.9516956679056614
2000+,<1940,non-electricity,0.8627796610169491,0.0,0.0014124293785310734,0.04793220338983051,0.06390960451977401,0.0,0.023966101694915254,125.17680339462518,126.0,126.0,125.17680339462518
